Title	Date	Summary	Author	Index Terms	Author's Biographical Information	Addressee's Biographical Information	Finding Aid	Cite as	Repository	Transcriptions/Translations Note	Restrictions	Donor Information	Contact and Ordering Information	Item URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/0	0	1.jp2	/p16313coll34/image/1.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/1	1	2.jp2	/p16313coll34/image/2.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/2	2	3.jp2	/p16313coll34/image/3.jp2
duplantierf01004d_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/3	3	4.pdf	/p16313coll34/image/4.pdf
duplantierf01004e_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/4	4	5.pdf	/p16313coll34/image/5.pdf
Marquis de Mondion to Joseph Allard Duplantier, 1781 Apr. 03	1781-04-03	Charles Laurent Marquis de Mondion, Seigneur de Beaupré, Béziers, France, writes Joseph Allard Duplantier, Voiron, France, to tell him that the extract that Duplantier sent from Du Chatelet [sic.]’s letter concerning Antoine Trénonay's death is not sufficient for the regiment’s needs and that a notarized death certificate must be sent instead.  He asserts that Mr. Champoleon will write concerning Duplantier’s late brother-in-law's possessions, and he recommends going through Minister of the Navy Charles-Eugène-Gabriel de la Croix, Marquis de Castries, when responding to Mr. du Chatelet [du Chastelet] in St. Vincent.  De Mondion speculates that the addressee's son is in Boston and mentions the Count de Nieul in closing.	Beaupré, Charles Laurent Marquis de Mondion, seigneur de.	Trénonay, Antoine de, d. 1780--Death and burial.	de Mondion, Charles Laurent, 1740-1782:  He was a  captain in the Foix regiment.	Duplantier, Joseph Allard: 1726-1801: Jean Claude Trénonay's brother-in-law and father to Armand Duplantier.  'Allard' served in the Chambre de Députés after the French Revolution as the deputy from Dauphiné and Isère.	http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/5	5	6.cpd	/p16313coll34/image/6.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/6	6	7.jp2	/p16313coll34/image/7.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/7	7	8.jp2	/p16313coll34/image/8.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/8	8	9.jp2	/p16313coll34/image/9.jp2
duplantierf01012d_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/9	9	10.pdf	/p16313coll34/image/10.pdf
