Title	Artist	Date	Subject	Description	Notes	Edition	Type	Original Format	Original Size	Digital Format	Repository	Repository Collection Guide	Restrictions	Cite As	Contact Info	Frame Size	Accession Number	Language	Object File Name	Item URL	Collection URL	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Cataloger	Cataloged Date	Digitized By	Publisher	Digitized Date	Credit Line	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Young teenager	Durieux, Caroline, 1896-1989	1979	Women	Profile portrait of a teenager with chin length, straight, brown hair, green eyes, and a prominent nose. Drawing is very sparse with little detail, no shading, light etc.	Paper texture is coarse.		Image	Pencil on paper	18 x 12-1/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		95.3.8		cd000173	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		08-10-2004	Charles W. Durieux			2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/0	0	14022139102003_450.jp2		/CWD/image/14022139102003_450.jp2
Almost	Durieux, Caroline, 1896-1989	1971	Abstract paintings	A long rectangular background is dominated by an amoeba-like mass on the left. It has a stringy tail behind it and other abstract forms that fall away from the body. Adding to that effect are the elements colored  on orange red. Behind the tail there is a red sphere that is thickly painted.		3 of 10	Image	Black and white  cliché- verre with some hand color	9-1/8 x 19-7/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		76.12.1		cd000013	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-12	JC		2004-07-13				2004-08-13	2008-03-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/1	1	3119139102003_381.jp2		/CWD/image/3119139102003_381.jp2
Gulf coast memory	Durieux, Caroline, 1896-1989	1971	Abstract paintings	Unknown object on black background.			Image	BLACK AND WHITE CLICHÉ VERRE	14-7/8 x 7-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.15	NA	cd000047	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-11-13	NA	NA	NA		NA		2003-11-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/2	2	67118139102003_373.jp2		/CWD/image/67118139102003_373.jp2
Fashion	Durieux, Caroline, 1896-1989	1953	Women	the satire in this print is seen in the depiction of a female's face "adorned" with the exotic , fantastic, and extremely ornate eyeglasses which were in vogue in the 1950's. The satire 's comment is made in that the lady is no beauty, and the eyeglasses she thinks beautiful, only add to her unsuspected, unbecoming flamboyancy.	the drawing was initially made with the radioactive ink applied with dry brush. The print presents a highly textured tonal areas due to the natural texture of the paper. The fibers of the drawing from which the print was made on sensitized paper were made radioactive and the fibers print in dark tones thus allowing this condition of the paper to work for the artist.	Ed. of 5	Image	Black electron	13-7/8 x 11 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		67.1.8		cd000143	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	PA		2004-08-10		assisted by Naomi Wheeler		2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/3	3	78113139102003_262.jp2		/CWD/image/78113139102003_262.jp2
CARTOON DRAWING FOR PAINTING CAFÉ TUPINUBMA	Durieux, Caroline, 1896-1989	CA. 1934	NA	NA			Image	PENCIL ON PAPER	H: 11-7/8"" W: 14-3/8""	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		91.26	NA		See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2003-10-09	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/4	4	56221139102003_438.jp2		/CWD/image/56221139102003_438.jp2
Dirge	Durieux, Caroline, 1896-1989	1953	Abstract paintings	Five jelly-fish-like configurations each having a hand and lower arm covering its face range from the foreground to the background of this print. A sense of motion is conveyed in the print by the cilia-like configurations decorating each head and trailing off the rear in a jelly-fish-like manner. In addition, the brushed-gray background enhances the feeling of motion.	Another copy from this edition 2001.3.68	Ed.8	Image	Black lithograph	9-3/4 x 6-12/16 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.3		cd000131	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-20	JC		08-03-2004		Harry and Naomi Wheeler		2004-08-03	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/6	6	40620139102003_412.jp2		/CWD/image/40620139102003_412.jp2
Grief	Durieux, Caroline, 1896-1989	1953	Abstract paintings;	An unknown objects looks like a men holding his head with hands, with a grievous expression.	Another print in same edition Acc. No. 2001.3.69		Image	BLACK ELECTRON	7 x 6 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.69	NA	cd000156	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-11-25	NA	NA	NA		NA		2003-11-26	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/7	7	93716139102003_334.jp2		/CWD/image/93716139102003_334.jp2
SEARCH FOR LIFE	Durieux, Caroline, 1896-1989	1977	NA	NA	also Acc. No. 95.3.6		Image	BLACK ELECTRON WITH HAND COLOR	D: 9-13/16	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.24	NA			Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-16	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/8	8	37520139102003_411.jp2		/CWD/image/37520139102003_411.jp2
Aux halles	Durieux, Caroline, 1896-1989	1957	Women; Paris	The subject is that of a rather tough-looking woman from the market district in Paris. The artist felt she was typical of those "ladies" who were frequently seen in this area of the city.	The print is an etching using the standardlift ground technique on a copper plate. The work was printed first in black and white on cream-toned paper. To add warmth, a light red color was applied by hand.	Ed. 20	Image	Color etching	7-7/8 x 5-7/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.76		cd000005	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	color	1:1				XZ	2003-11-11	PA		2004-07-13		Printed in Paris by La Courriere		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/9	9	29617139102003_342.jp2		/CWD/image/29617139102003_342.jp2
Grief	Caroline W. Durieux (1896-1989)	1953	NA	Human head held in a gesture of grief by two gnarled hands.	another print in same edition Acc. No. 68.9.69		Image	Electron print	H. 13-3/8   W. 10-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		2001.3.69	NA	cd000191	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-23	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/10	10	43712139102003_235.jp2		/CWD/image/43712139102003_235.jp2
