Title	Photographer	Date	Subjects	Notes	Type	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Collection Source	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Old Basin, head of Canal Carondelet.	Unknown	Unknown	New Orleans (La.)--Pictorial works.;Canals--Louisiana--New Orleans--Pictorial works.	Image of sailing boats at dock.  Buildings in background.	Image	Planographic prints;8.00" x 10.00"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980001	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/0	0	1.jpg	/LSU_CLT/image/1.jpg
Schooner Louisiana.	Unknown	Unknown	Schooners--Louisiana--Photographs.	Manuscript note on verso: Sch Louisiana that participated in the Battle of New Orleans on the 8th of Jan 1815.	Image	Gelatin silver prints;7.50" x 10.00"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980002	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/1	1	2.jpg	/LSU_CLT/image/2.jpg
Planters Sugar Refinery.	George Francois Mugnier (New Orleans, La.)	ca. 1880	New Orleans (La.)--Photographs.;Planters Sugar Refinery (New Orleans, La.)--Photographs.;George Francois Mugnier (New Orleans, La.)	Manuscript note on verso: Planters Sugar Refinery N. Peters (St. Louis & Toulouse) c. 1880 Mugnier.	Image	Gelatin silver prints;8.00" x 10.00"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980003	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/2	2	3.jpg	/LSU_CLT/image/3.jpg
Tugboat Barryton.	Teunisson (New Orleans, La.)	1921 August 1	New Orleans (La.)--Photographs.;Tugboats--Louisiana--New Orleans--Photographs.;Barryton (Tugboat)--Photographs.;Teunisson (New Orleans, La.)	Image of west-bound tugboat on Mississippi River at Girod Street; St. Patrick's Church in distant background.	Image	Gelatin silver prints;7.25" x 9.50"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980004	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/3	3	4.jpg	/LSU_CLT/image/4.jpg
Tugboat Buttercup.	Teunisson (New Orleans, La.)	1921	New Orleans (La.)--Photographs.;Tugboats--Louisiana--New Orleans--Photographs.;Buttercup (Tugboat)--Photographs.;Teunisson (New Orleans, La.)	Image of west-bound tugboat on Mississippi River at Girod Street.	Image	Gelatin silver prints;8.00" x 10.00"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980005	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/4	4	5.jpg	/LSU_CLT/image/5.jpg
Tugboat Adler.	Teunisson (New Orleans, La.)	ca. 1920	New Orleans (La.)--Photographs.;Tugboats--Louisiana--New Orleans--Photographs.;Adler (Tugboat)--Photographs.;Teunisson (New Orleans, La.)	Front view of tugboat taken on Mississippi River.	Image	Gelatin silver prints;8.00" x 10.00"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980006	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/5	5	6.jpg	/LSU_CLT/image/6.jpg
Grand Isle.	Unknown	Unknown	Grand Isle (La.)--Photographs.	Distant view of houses on shoreline.	Image	Gelatin silver prints;3.50" x 5.50"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980007	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/6	6	7.jpg	/LSU_CLT/image/7.jpg
U.S. Custom House.	Unknown	Unknown	New Orleans (La.)--Photographs.;Municipal buildings--Louisiana--New Orleans--Photographs.	Image of building front and side taken from Canal Street.	Image	Gelatin silver prints;3.50" x 5.75"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980008	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/7	7	8.jpg	/LSU_CLT/image/8.jpg
Shrimp shelling.	Unknown	Unknown	Shrimpers (Persons)--Louisiana--Photographs.	Manuscript note on verso: Dancing barefooted on the dried shrimp to break the shells.  They are then sifted.	Image	Gelatin silver prints;3.25" x 5.50"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980009	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/8	8	9.jpg	/LSU_CLT/image/9.jpg
Manila Village Store.	Unknown	Unknown	Stores, retail--Louisiana--Photographs.	Manuscript note on verso: Fisher Bros store.	Image	Gelatin silver prints;3.50" x 5.75"	jpeg	Charles L. Thompson Collection	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	Charles L. Thompson Collection, (Mss. 998).	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Charles L. Thompson Collection, Mss. 998, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	09980010	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CLT.php?CISOROOT=/LSU_CLT	IRP		2005-10-19	2005-10-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CLT/id/9	9	10.jpg	/LSU_CLT/image/10.jpg
