Title	Compound	Photographer	Date	Dates	Subjects	Notes	Type	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
View No. 1. Missionary Ridge. Slocomb's Battery, 5th Company, Washington Artillery.	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board on tree marks right of position of Slocomb's Battery (5th Company Washington Artillery) during the battle on the evening of November 25, 1863. The position is to the right of Bate's Brigade, between it and the left of Deas' Brigade some 450 yards from Bragg's headquarters, to the right. The view is facing Chattanooga, which is hidden by the forest growth, since the battle. The ridge here was denuded of trees, and the valley bellow and slopes to it, offered an unobstructed view, at the time. The left half of Slocomb's Battery stood some 75 yards to the left of this point. The depression in the ground running between the two large trees, about the left centre, marks the location of the trench and breastworks.<br>This position was fixed on September 24th, 1894, by the Louisiana and National Commissioners and marked and noted by E. E. Betts, engineer of National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040001r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/943	943	944.jpg	/LSU_CNP/image/944.jpg
View No. 1. Missionary Ridge. Slocomb's Battery, 5th Company, Washington Artillery.	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board on tree marks right of position of Slocomb's Battery (5th Company Washington Artillery) during the battle on the evening of November 25, 1863. The position is to the right of Bate's Brigade, between it and the left of Deas' Brigade some 450 yards from Bragg's headquarters, to the right. The view is facing Chattanooga, which is hidden by the forest growth, since the battle. The ridge here was denuded of trees, and the valley bellow and slopes to it, offered an unobstructed view, at the time. The left half of Slocomb's Battery stood some 75 yards to the left of this point. The depression in the ground running between the two large trees, about the left centre, marks the location of the trench and breastworks.<br>This position was fixed on September 24th, 1894, by the Louisiana and National Commissioners and marked and noted by E. E. Betts, engineer of National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040001v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/944	944	945.jpg	/LSU_CNP/image/945.jpg
View No. 2. Missionary Ridge. 13th and 20th Louisiana Regiment-Infantry.	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board shows where stood the right of the 13th and 20th Louisiana Regiment of Infantry, during the battle on the evening of November 25th, 1863. The position is in front of Bragg's headquarters, and the point marked is on the slope, facing Chattanooga, to the right of the tower erected near the site of Bragg's headquarters. Chattanooga is hidden from view by the forest growth since the battle. The houses seen in the right corner, have been built since the battle and stand beyond the road (now abandoned) which crossed the ridge, immediately to the right of Bragg's headquarters. This position was fixed September 24th, 1894, by the Louisiana, and the National Commissioners, and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040002r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/945	945	946.jpg	/LSU_CNP/image/946.jpg
View No. 2. Missionary Ridge. 13th and 20th Louisiana Regiment-Infantry.	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board shows where stood the right of the 13th and 20th Louisiana Regiment of Infantry, during the battle on the evening of November 25th, 1863. The position is in front of Bragg's headquarters, and the point marked is on the slope, facing Chattanooga, to the right of the tower erected near the site of Bragg's headquarters. Chattanooga is hidden from view by the forest growth since the battle. The houses seen in the right corner, have been built since the battle and stand beyond the road (now abandoned) which crossed the ridge, immediately to the right of Bragg's headquarters. This position was fixed September 24th, 1894, by the Louisiana, and the National Commissioners, and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040002v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/946	946	947.jpg	/LSU_CNP/image/947.jpg
View No. 4. Missionary Ridge. First Louisiana Infantry (Regulars).	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board on cedar tree seen through open tower, marks the position of the 1ts Louisiana Regulars at Bragg's headquarters. The cedar trees seen, stood in front of Bragg's headquarters at the time of the battle. The tower has been erected to mark the site of the headquarters, and is used as an observatory. The forest growth hides the view of the valley and of Chattanooga, which is to the left. This position is to the rear, and a little to the right of the position of the 13th and 20th Louisiana, as seen in View No. 2. The houses seen in the distance, to the left of the tower, are the same that are shown in View No 2. <br>This position was fixed September 24th, 1894, by the Louisiana and the National Commissioners and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040004r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/949	949	950.jpg	/LSU_CNP/image/950.jpg
View No. 4. Missionary Ridge. First Louisiana Infantry (Regulars).	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board on cedar tree seen through open tower, marks the position of the 1ts Louisiana Regulars at Bragg's headquarters. The cedar trees seen, stood in front of Bragg's headquarters at the time of the battle. The tower has been erected to mark the site of the headquarters, and is used as an observatory. The forest growth hides the view of the valley and of Chattanooga, which is to the left. This position is to the rear, and a little to the right of the position of the 13th and 20th Louisiana, as seen in View No. 2. The houses seen in the distance, to the left of the tower, are the same that are shown in View No 2. <br>This position was fixed September 24th, 1894, by the Louisiana and the National Commissioners and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040004v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/950	950	951.jpg	/LSU_CNP/image/951.jpg
View No. 5. Missionary Ridge. Austin's Sharpshooters (14th Louisiana Battalion).	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board shows center of position held by Austin's Sharpshooters in the battle of the 25th November, 1863, on the slope of the ridge facing Chattanooga, which is to the left, hidden by forest growth. The position is below those, shown in Views 2, 3 and 4. The railroad seen, is an electric one, constructed in recent years.<br>This position was fixed by the Louisiana and the National Commissioners on September 24th, 1864, and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040005r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/951	951	952.jpg	/LSU_CNP/image/952.jpg
View No. 5. Missionary Ridge. Austin's Sharpshooters (14th Louisiana Battalion).	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board shows center of position held by Austin's Sharpshooters in the battle of the 25th November, 1863, on the slope of the ridge facing Chattanooga, which is to the left, hidden by forest growth. The position is below those, shown in Views 2, 3 and 4. The railroad seen, is an electric one, constructed in recent years.<br>This position was fixed by the Louisiana and the National Commissioners on September 24th, 1864, and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040005v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/952	952	953.jpg	/LSU_CNP/image/953.jpg
View No. 6. Missionary Ridge. Nineteenth Louisiana Infantry.	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board marks left of 19th Louisiana in the battle of November 25th, 1863, forming the left of Adams' Brigade of Stewart's Division. The position is to the left of those shown in Views Nos. 2, 3, 4 and 5 and is just below the crest of the ridge. The turnpike seen, is the one constructed on the crest of the ridge by the National Park Commission. The electric railroad runs on the slope below it. The view is looking south, with Chattanooga to the right.<br>This position was fixed by the Louisiana and the National Commissioners on September 24th, 1894, and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040006r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/953	953	954.jpg	/LSU_CNP/image/954.jpg
View No. 6. Missionary Ridge. Nineteenth Louisiana Infantry.	Yes	unknown	ca. 1894		Missionary Ridge, Battle of, Tenn., 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	White board marks left of 19th Louisiana in the battle of November 25th, 1863, forming the left of Adams' Brigade of Stewart's Division. The position is to the left of those shown in Views Nos. 2, 3, 4 and 5 and is just below the crest of the ridge. The turnpike seen, is the one constructed on the crest of the ridge by the National Park Commission. The electric railroad runs on the slope below it. The view is looking south, with Chattanooga to the right.<br>This position was fixed by the Louisiana and the National Commissioners on September 24th, 1894, and marked and noted by E. E. Betts, engineer of the National Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040006v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/954	954	955.jpg	/LSU_CNP/image/955.jpg
