Title	Photographer	Date	Physical Description	Notes	Subjects	Type	Digital Collection	Repository	Repository Collection Guide	Call Number/ Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
The old arsenal	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Arsenals--Louisiana--Baton Rouge--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963001	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/0	0	1.jp2	/p16313coll56/image/1.jp2
School children	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	School children--Louisiana--Baton Rouge-- Photographs	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963002	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/1	1	2.jp2	/p16313coll56/image/2.jp2
Hill Memorial Library. La. State University	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Baton Rouge (La.)--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963003	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/2	2	3.jp2	/p16313coll56/image/3.jp2
Confederate Soldier Monument	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Baton Rouge (La.)--Photographs.; Monuments--Louisiana--Baton Rouge--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963004	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/3	3	4.jp2	/p16313coll56/image/4.jp2
Old court house	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Baton Rouge (La.)--Photographs.; Historic buildings--Louisiana--Baton Rouge-- Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963006	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/4	4	5.jp2	/p16313coll56/image/5.jp2
Old State Capitol	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Old State Capitol (Baton Rouge, La.)--Photographs..; Baton Rouge (La.)--Photographs.; Capitols--Louisiana--Baton Rouge--Photographs.; Historic buildings--Louisiana--Baton Rouge-- Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963005	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/5	5	6.jp2	/p16313coll56/image/6.jp2
Bayou Plaquemine - the big store	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Bayous--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963008	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/6	6	7.jp2	/p16313coll56/image/7.jp2
Old planter's city home	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Baton Rouge (La.)--Photographs.; Dwellings--Louisiana--Baton Rouge--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963007	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/7	7	8.jp2	/p16313coll56/image/8.jp2
Petit Godell, La., from the forward deck	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Palmetto--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963009	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/8	8	9.jp2	/p16313coll56/image/9.jp2
Steamboat Owens sunk in Big Goddell, La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Owens (Steamboat)--Photographs.; Steamboats--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963010	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/9	9	10.jp2	/p16313coll56/image/10.jp2
