Title	Creator	Contributors	Date	Publisher	Subject	Coverage	Description	Notes	Language	Type	Repository	Restrictions	Cite As	Format	Contact and Ordering Information	Object File Name	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
River Basin Area and permafrost	Walker, H. J. (Harley Jesse), 1921-		1973		Hydrology;Permafrost;Arctic rivers;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000001	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/0	0	6933416782003_cd000001.gif	/CRD/image/6933416782003_cd000001.gif
River length and permafrost	Walker, H. J. (Harley Jesse), 1921-		1973		Colville River Delta (Alaska);Arctic rivers;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000002	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/1	1	53516782003_cd000002.gif	/CRD/image/53516782003_cd000002.gif
River length and continuous permafrost	Walker, H. J. (Harley Jesse), 1921-		1973		Hydrology;Permafrost;Arctic rivers;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000003	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/2	2	1463516782003_cd000003.gif	/CRD/image/1463516782003_cd000003.gif
Rivers ranked by length in permafrost	Walker, H. J. (Harley Jesse), 1921-		1973		Arctic rivers;Permafrost;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000004	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/3	3	2553516782003_cd000004.gif	/CRD/image/2553516782003_cd000004.gif
Arctic drainage and vegetation	Walker, H. J. (Harley Jesse), 1921-		1973		Hydrology;Vegetation;Arctic rivers;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000005	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/4	4	3963516782003_cd000005.gif	/CRD/image/3963516782003_cd000005.gif
Drainage and permafrost	Walker, H. J. (Harley Jesse), 1921-		1973		Glaciers;Arctic rivers;Permafrost;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000006	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/5	5	5523516782003_cd000006.gif	/CRD/image/5523516782003_cd000006.gif
Arctic drainage and climate	Walker, H. J. (Harley Jesse), 1921-		1973		Hydrology;Arctic rivers;Climate;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000007	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/6	6	6933516782003_cd000007.gif	/CRD/image/6933516782003_cd000007.gif
Permafrost and glaciers in the Arctic	Walker, H. J. (Harley Jesse), 1921-		1973		Glaciers;Permafrost;Drainage basins;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000008	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/7	7	8183516782003_cd000008.gif	/CRD/image/8183516782003_cd000008.gif
Sea ice/Glaciers/Permafrost/Snow cover	Walker, H. J. (Harley Jesse), 1921-	Stearns, S. R.	1983	Clarendon Press	Sea ice;Arctic regions;Snow cover;Frozen ground;Permafrost;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000009	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/8	8	9433516782003_cd000009.gif	/CRD/image/9433516782003_cd000009.gif
Northslope structure	Walker, H. J. (Harley Jesse), 1921-		1973	Arctic Institute of North America	Geomorphology;North Slope;Structural;Geology;	70.22,-150.50			en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000010	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/9	9	683616782003_cd000010.gif	/CRD/image/683616782003_cd000010.gif
