Title	Photographer	Date	Subject	Description	Type	Original Format	Original Size	Collection Number	Digital Collection	Repository Collection	Repository	Digital Reproduction Information	Restrictions	Cite As	Contact and Ordering Information	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Female Industrial Worker	Donn Young	unknown	New Orleans (La.)--Photographs;Working class women--Photographs;Blue collar workers--Photographs;African American women--Photographs;	African American woman wearing a hardhat climbing a ladder on an industrial site.	Image	Polyester color transparencies	35 mm	494401f011c	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/0	0	1.jpg	Volume11\494401f011c.tif	/LSU_DYP/image/1.jpg
Female Industrial Worker	Donn Young	unknown	New Orleans (La.)--Photographs;Working class women--Photographs;Blue collar workers--Photographs;African American women--Photographs;	African American women in work boots with a shovel and a wheelbarrow.	Image	Polyester color transparencies	35 mm	494401f011e	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/1	1	2.jpg	Volume11\494401f011e.tif	/LSU_DYP/image/2.jpg
Female Industrial Worker	Donn Young	unknown	New Orleans (La.)--Photographs;Working class women--Photographs;Blue collar workers--Photographs;African American women--Photographs;	African American woman with a clipboard examining a piece of industrial equipment.	Image	Polyester color transparencies	35 mm	494401f013a	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/2	2	3.jpg	Volume11\494401f013a.tif	/LSU_DYP/image/3.jpg
Farmer on Tractor	Donn Young	unknown	New Orleans (La.)--Photographs;Farmers--Photographs;Agriculture--Louisiana--Photographs;	A farmer on a tractor driving between furrows on farm land	Image	Polyester color transparencies	35 mm	494401f022c	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/3	3	4.jpg	Volume11\494401f022c.tif	/LSU_DYP/image/4.jpg
Marching Band	Donn Young	unknown	New Orleans (La.)--Photographs;Marching bands--Photographs;Canal Street (New Orleans, La.)--Photographs;	"Crusaders" Marching Band in front of Doubletree Hotel on Canal Street in New Orleans.	Image	Polyester color transparencies	35 mm	494403c0115a	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/4	4	5.jpg	Volume11\494403c0115a.tif	/LSU_DYP/image/5.jpg
Shopping for Produce In Outdoor Market	Donn Young	unknown	New Orleans (La.)--Photographs;Farm produce--Photographs;Fruits--Photographs;Vegetables--Photographs;Produce trade--Louisiana--New Orleans--Photographs;	Photograph of a fresh farm produce in an outdoor market.	Image	Polyester color transparencies	35 mm	494406a013a	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/5	5	6.jpg	Volume11\494406a013a.tif	/LSU_DYP/image/6.jpg
Produce In Outdoor Market	Donn Young	unknown	New Orleans (La.)--Photographs;Farm produce--Photographs;Fruits--Photographs;Vegetables--Photographs;Produce trade--Louisiana--New Orleans--Photographs;	Photograph of a fresh farm produce in outdoor market stall.	Image	Polyester color transparencies	35 mm	494406a014a	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/6	6	7.jpg	Volume11\494406a014a.tif	/LSU_DYP/image/7.jpg
Jambalaya	Donn Young	unknown	New Orleans (La.)--Photographs;Cookery--Louisiana--New Orleans--Photographs;Food--Louisiana--New Orleans--Photographs;Cookery, American--Louisiana style--Photographs;Cookery, Cajun--Photographs;	Plate of jambalaya prepared in Zatarain's Test Kitchen.	Image	Polyester color transparencies	35 mm	494406c023a	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/7	7	8.jpg	Volume11\494406c023a.tif	/LSU_DYP/image/8.jpg
Finger Food Platter	Donn Young	unknown	New Orleans (La.)--Photographs;Food presentation--Photographs;Food--Louisiana--New Orleans--Photographs;Buffets (Cookery)--Photographs;Appetizers--Photographs;	A platter of various finger foods artfully arranged	Image	Polyester color transparencies	120 mm	494406c0303	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/8	8	9.jpg	Volume11\494406c0303.tif	/LSU_DYP/image/9.jpg
Debutantes in Jackson Square	Donn Young	unknown	New Orleans (La.)--Photographs;Jackson Square (New Orleans, La.)--Photographs;St. Louis Cathedral (New Orleans, La.)--Photographs;Debutantes--Photographs;	Four debutantes standing between a statue in Jackson Square and St. Louis Cathedral	Image	Polyester color transparencies	35 mm	494407c011c	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/9	9	10.jpg	Volume11\494407c011c.tif	/LSU_DYP/image/10.jpg
