Title	Creator	Date	Physical Description	Summary	Description	Language	Type	Subjects	Series	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/460	460	488.jp2	/p16313coll76/image/488.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/461	461	489.jp2	/p16313coll76/image/489.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/462	462	490.jp2	/p16313coll76/image/490.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/463	463	491.jp2	/p16313coll76/image/491.jp2
Antoine Doussan to Auguste Doussan, 1827 Dec. 5	Doussan, Antoine J.	1827-12-05	1 letter.	Baton Rouge, December 5, 1827, Antoine Doussan to Auguste Doussan at Hôtel des Abeilles, Rue du Foin St. Jacques, Paris.  Antoine advises Auguste not to dwell on botany to the exclusion of the sciences of healing and to study botany as a doctor, not a naturalist.  The same applies to physics, math, and chemistry.  Auguste needs to focus on clinical lectures.  Antoine imagines Auguste will be taking anatomy and physiology.  'Faymoreau' and 'Dr. Donadier' are mentioned in a marginal note.  Antoine has given Faymoreau a rattlesnake tail and tooth.  Antoine is too far away to direct Auguste's studies, so he suggests that Auguste attach himself to a professor who can advise him.  Antoine is angry over the absence of a professorial chair for such advising.  Antoine instructs Auguste to receive Faymoreau well, and the latter can tell Auguste more about Antoine.  Antoine wants Auguste and Faymoreau to get him a Lamark botany (or any botany that might be better) as well as a microscope for botany.  Antoine has authorized Maison [Peltier?] to augment Auguste's monthly allowance.  Antoine admonishes Auguste to buy only those books necessary for his studies.  Antoine describes his personal library.  In a postscript, the writer adds, 'Ta belle-soeur t'envoie par Faymoreau dix piastres pour tes étrennes du jour de l'an.'	Antoine Doussan, Baton Rouge, to Auguste Doussan at Hôtel des Abeilles, Rue du Foin St. Jacques, Paris. The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana.  Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana. Antoine Doussan writes to advise Auguste Doussan on his education. He suggests that Auguste attach himself to a professor who can advise him, mentioning 'Faymoreau' and 'Dr. Donadier', and instructs him to obtain a microscope and Jean-Baptiste Lamarck's work on botany. He also writes that he has authorized Maison [Peltier?] to augment Auguste's monthly allowance and admonishes Auguste to buy only those books necessary for his studies. Antoine also describes his personal library.	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; French Americans--Louisiana; Baton Rouge (La.)--History--19th Century; Paris (France)--History--19th Century; Botany--Study and Teaching--France--19th Century; Medicine--Study and Teaching--France--19th Century; Medical Students--France--19th Century; Books and Reading--Louisiana--19th Century; Books and Reading--France--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 300	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/464	464	492.cpd	/p16313coll76/image/492.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/465	465	493.jp2	/p16313coll76/image/493.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/466	466	494.jp2	/p16313coll76/image/494.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/467	467	495.jp2	/p16313coll76/image/495.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/468	468	496.jp2	/p16313coll76/image/496.jp2
Antoine Doussan to Auguste Doussan, 1835 Dec. 2	Doussan, Antoine J.	1835-12-02	1 letter.	Baton Rouge, December 2, 1835, Antoine Doussan to Auguste Doussan.  The writer relates business transactions that he is performing in Louisiana for Auguste and Louise Doussan.  He mentions dealings with Guillaume Doussan and discusses Doussan slaves and their costs.	Antoine Doussan, Baton Rouge, to Auguste Doussan. The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana.Antoine relates business transactions that he is performing in Louisiana for Auguste and Louise Doussan.  He mentions dealings with Guillaume Doussan and discusses Doussan slaves and their costs.	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Doussan, Louise Perrin; Doussan, Guillaume; Baton Rouge (La.)--History--19th Century; Louisiana--Economic Conditions--19th Century; Slaves--Louisiana--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 316	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/469	469	497.cpd	/p16313coll76/image/497.cpd
