Title	Author	Author's location	Author's profession	Author's social class	Author's gender	Author's birthplace	Date written	Language	Letter type	Transcription	Subject	Digital Collection	Repository	Repository Collection	Physical location	Original Type/format	Description	Digital reproduction information	Item number	Contact and Ordering Information	Restrictions	Cite as	Item URL	Collection URL	Cataloger	Cataloged date	Full Text	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Uranie Reynès letter, 1862 Dec. 31	Reynès, Uranie	New Orleans, LA	Wife of Emile Reynès	Upper middle class	Female	Unknown	1862-12-31	fr	Personal letter	See transcript link on the left navigation bar.	New Orleans (La. – History – Civil War, 1861-1865.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	103812311862	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/52	52	53.cpd		/LSU_CFF/image/53.cpd
Térèse de Jésus letter, 1868 May 12	Térèse de Jésus	New Orleans, LA	Nun	Upper class	Female	Louisiana?	1868-05-12	fr	Letter of separation	See transcript link on the left navigation bar.	Reconstruction (U.S. history, 1865-1877) – Louisiana.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc103805121868	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/58	58	59.cpd		/LSU_CFF/image/59.cpd
Joseph Reynès letter, 1869 June 2	Reynès, Joseph	New Orleans, LA	Public Official - Director of the LA State Bank	Upper class	Male	Louisiana	1869-06-02	fr	Personal/Business letter	See transcript link on the left navigation bar.	Banks – Louisiana.; Banks and banking – Louisiana – New Orleans.; Louisiana State Bank.; Reconstruction (U.S. history, 1865-1877) – Louisiana.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc103806021869	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/63	63	64.cpd		/LSU_CFF/image/64.cpd
Polyxène Mazureau Reynès letter, 1863 Feb. 19	Reynès, Polyxène Mazureau	New Orleans, LA	Wife of Joseph Reynès	Upper middle class	Female	Louisiana	1863-02-19	fr	Personal letter	See transcript link on the left navigation bar.	Reynès, Polyxène Mazureau. New Orleans (La. – History – Civil War, 1861-1865.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc103802191863	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2011-03-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/67	67	68.cpd		/LSU_CFF/image/68.cpd
Alexandrine de la Chaise de Pradel letter, 1765 July 12	Pradel, Alexandrine de la Chaise de	New Orleans, LA	Wife of Jean Charles de Pradel	Upper class	Female	France	1765-07-12	fr	Personal/Business letter	See transcript link on the left navigation bar.	French Americans – Louisiana.; Pradel, Alexandrine de la Chaise de. Plantation owners – Louisiana.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Jean Charles de Pradel and family papers, 1719-1954.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc286607121765	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Jean Charles de Pradel and Family Papers, Mss. 2866, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/80	80	81.cpd		/LSU_CFF/image/81.cpd
Jean Charles de Pradel letter, 1751 May 24	Pradel, Jean Charles de	Port Louis, LA	Planter	Upper class	Male	France	1751-05-24	fr	Personal letter	See transcript link on the left navigation bar.	French Americans – Louisiana. De la Chaise family.; Education – France.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Jean Charles de Pradel and family papers, 1719-1954.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc286605241751	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Jean Charles de Pradel and Family Papers, Mss. 2866, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/90	90	91.cpd		/LSU_CFF/image/91.cpd
Page 1								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/91	91	92.tif		/LSU_CFF/image/92.tif
Page 2								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/92	92	93.tif		/LSU_CFF/image/93.tif
Page 3								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/93	93	94.tif		/LSU_CFF/image/94.tif
Page 4								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/94	94	95.tif		/LSU_CFF/image/95.tif
Page 5								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/95	95	96.tif		/LSU_CFF/image/96.tif
Page 6								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/96	96	97.tif		/LSU_CFF/image/97.tif
Page 7								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/97	97	98.tif		/LSU_CFF/image/98.tif
Page 8								fr		See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collections (LLMVC)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.		See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs <br> http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2007-04-28	2007-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/98	98	99.tif		/LSU_CFF/image/99.tif
Jean Charles de Pradel letter, 1763 Sept. 26	Pradel, Jean Charles de	Port Louis, LA	Planter	Upper class	Male	France	1763-09-26	fr	Personal letter	See transcript link on the left navigation bar.	French Americans – Louisiana. Slavery – Louisiana. Slaveholders – Louisiana.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Jean Charles de Pradel and family papers, 1719-1954.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc286609261763	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Jean Charles de Pradel and Family Papers, Mss. 2866, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/100	100	101.cpd		/LSU_CFF/image/101.cpd
Jean Charles de Pradel letter, 1729 Oct. 4	Pradel, Jean Charles de	New Orleans, LA	Planter	Upper class	Male	France	1729-10-04	fr	Personal letter	See transcript link on the left navigation bar.	French Americans – Louisiana.; Plantation owners – Louisiana.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Jean Charles de Pradel and family papers, 1719-1954.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc286609041729	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Jean Charles de Pradel and Family Papers, Mss. 2866, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/105	105	106.cpd		/LSU_CFF/image/106.cpd
Charles Edouard Reynès letter, 1863 August 14	Reynès, Charles Edouard	Shreveport, LA	Soldier - Confederate States Army	Fallen middle class	Male	Louisiana?	1863-08-14	fr	Personal letter	See transcript link on the left navigation bar.	Louisiana – History – Civil War, 1861-1865 – Personal narratives, Confederate.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc103808141863	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/110	110	111.cpd		/LSU_CFF/image/111.cpd
Célestine Reynès letter, 1863 March 25	Reynès, Célestine	New Orleans, LA	Daughter of Joseph and Polyxène Reynès	Upper middle class	Female	Louisiana	1863-03-25	fr	Personal letter	See transcript link on the left navigation bar.	New Orleans (La. – History – Civil War, 1861-1865.)	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc103803251863	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/120	120	121.cpd		/LSU_CFF/image/121.cpd
Alfred Roman letter, 1869 June 5	Roman, Alfred	New Orleans, LA	Unknown	Upper class?	Male	France?	1869-06-05	fr	Personal letter	See transcript link on the left navigation bar.	Reconstruction (U.S. history, 1865-1877) – Louisiana.	Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc103806051869	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/125	125	126.cpd		/LSU_CFF/image/126.cpd
A.B. Roman letter, 1841 Sept. 11	Roman, A.B.	St. Jacques	Farmer	Upper class?	Male	St. Jacques	1841-09-11	fr	Personal letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Reynès family papers, 1743-1929 (bulk 1862-1869).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	103809111841	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Reynès Family Papers, Mss. 1038, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Anamaria L. Brandon	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/129	129	130.cpd		/LSU_CFF/image/130.cpd
Jacques Roman letter, 1795 August 29	Roman, Jacques	Opelousas, LA	Officer?	Middle class	Male	Louisiana?	1795-08-29	fr	Petition	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Opelousas and Attakapas Districts collection, 1777-1805.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc075608291795	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Opelousas District Papers, Mss. 756, 1171, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/133	133	134.cpd		/LSU_CFF/image/134.cpd
François Duplessis letter, 1795 August 15	Duplessis, François	Opelousas, LA	Lieutenant	Middle class	Male	Louisiana?	1795-08-15	fr	Complaint	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Opelousas and Attakapas Districts collection, 1777-1805.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc075608151795	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Opelousas District Papers, Mss. 756, 1171, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/138	138	139.cpd		/LSU_CFF/image/139.cpd
