Title	Description	Size	Date	Time period	Subject	Provenance continent	Provenance country	Provenance state or other	Associated artifacts	Storage location	File Name	Creator	Contributors	Publisher	Type	Format	Identifier	Language	Relation	Rights	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Repository	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/0	0	1.jp2	/p16313coll9/image/1.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/1	1	2.jp2	/p16313coll9/image/2.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/2	2	3.jp2	/p16313coll9/image/3.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/3	3	4.jp2	/p16313coll9/image/4.jp2
Ludwig Greiner doll	Adult female, Greiner head, blue eyes, black curly hair, stuffed fabric body, fake leather arms, white cotton underwear with lace in legs, four layers of under-skirts  (two white, one blue, one lace), blue dress, gathering on skirt, bodice has back opening, wide lace collar around neckline, one brooch on front lace collar, white fabric made flowers on shoulders, two fabric-made roses on the front skirt, black lace under-sleeves, knitted socks, black shoes with ribbon insteps, machine made clothes. Accompanying information describes as the Ludwig Greiner Doll. Greiner label on shoulder. First doll head patented in USA was by Greiner, 1858. Heads were made--1 lb white paper cooked, lb rye flour, 1 lb Spanish whiting, 102 glue, linen and muslin cut into pieces.""	78 cm	1858	1850s	Dolls	North America	USA			Box 13																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/4	4	5.cpd	/p16313coll9/image/5.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/5	5	6.jp2	/p16313coll9/image/6.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/6	6	7.jp2	/p16313coll9/image/7.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/7	7	8.jp2	/p16313coll9/image/8.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/8	8	9.jp2	/p16313coll9/image/9.jp2
European doll	Adult female, bisque head, arms and limbs, blue eyes, light brown curly hair, stuffed fabric body, pink underwear pink under-skirt with ruffle, light blue (faded) brocaded outer garment with front skirt opening, pointed bodice, decolletage collar, pearl necklace and earrings, machinemade, reproduction of European doll of early 1800s.	46 cm	1858	1850s	Dolls	North America	USA			Box 4																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/9	9	10.cpd	/p16313coll9/image/10.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/10	10	11.jp2	/p16313coll9/image/11.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/11	11	12.jp2	/p16313coll9/image/12.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/12	12	13.jp2	/p16313coll9/image/13.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/13	13	14.jp2	/p16313coll9/image/14.jp2
Schoenhut doll	Female child, all-wood doll, light brown mohair wig, sleeping eyes, open mouth with two upper teeth, fully spring-jointed(including ankles), white lace-trimmed blouse, skirt with suspender, bloomer, black flat sole leather shoes, Schoenhut family came from Germany to U.S. And started a toy factory in 1872. Went out of business in 1935. Stamped on back of body, 'SCHOENHUT DOLL, Pat. Jan. 17, 1911 U.S.A.' (Ref. 1) Shoes were replaced.	53 cm	1911	1900s	Dolls	North America	USA			Box 9																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/14	14	15.cpd	/p16313coll9/image/15.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/15	15	16.jp2	/p16313coll9/image/16.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/16	16	17.jp2	/p16313coll9/image/17.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/17	17	18.jp2	/p16313coll9/image/18.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/18	18	19.jp2	/p16313coll9/image/19.jp2
Modern doll	Female child, celluloid head, composition body, dark brown short wig, open mouth with two teeth, sleeping glass eyes, swivel neck, jointed at shoulders and hips, bare foot, ivory color flat hat with ribbon tape, white underdress with crochet trimmed lace, short yellow dress with decorating tape. Accompanying information describes that the doll is only named as 'Modern doll' then said the U.S. is leading all countries in the production of dolls. All,hand and machine-made.	29 cm			Dolls	North America	USA			Box 16																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/19	19	20.cpd	/p16313coll9/image/20.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/20	20	21.jp2	/p16313coll9/image/21.jp2
Front 2																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/21	21	22.jp2	/p16313coll9/image/22.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/22	22	23.jp2	/p16313coll9/image/23.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/23	23	24.jp2	/p16313coll9/image/24.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/24	24	25.jp2	/p16313coll9/image/25.jp2
Mc Guffey Ann	Female Child, composition head and body, mohair wig short and curl front, braided back, swivel neck, sleeping eyes with lashes, open mouth with four upper teeth, jointed at shoulders, hips, white under-dress, plaid short dress, white pinafore, black leather shoes with off-white socks, machine-made, McGuffey Ann, Miss McGuffy, a contemporary American doll, is named for William Holmes McGuffey's 'Electric Reader' which was used in American Elementary schools from 1836-1857. The Ann McGuffey dolls came about 1937 to commemorate 100th anniversary of the famous primer.""	33 cm	1937	1930s	Dolls	North America	USA			Box 16																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/25	25	26.cpd	/p16313coll9/image/26.cpd
Angle 1																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/26	26	27.jp2	/p16313coll9/image/27.jp2
Angle 2																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/27	27	28.jp2	/p16313coll9/image/28.jp2
Angle 3																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/28	28	29.jp2	/p16313coll9/image/29.jp2
Bye-lo Baby	Bye-Lo Baby, made in Germany, 3 days old baby, 25cm including pillow couch, bisque head on cloth with celluloid hands, closed mouth, blue sleeping eyes, flange neck, Bye-Lo Baby is lying on white, lace decorated pillow couch, doll and dress are machine-made. It was designed by Grace Story Putnam in 1920s. Model was a live baby, when the Bye-Lo Baby came on the market, its success was immediate. The newspaper called it 'The Million Dollar Baby', Grace Story Putnam was a water colorist. After their divorce in the early 1920s, she determined to create a doll in imitation of a baby about three days old and searched the hospitals of Los Angeles in search of a perfect model, finding one eventually in a salvation army home. (Ref. 1) Another source indicated that this doll is the Dream Baby.	25 cm	1924	1920s	Dolls	North America	USA			Box 16																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/29	29	30.cpd	/p16313coll9/image/30.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/30	30	31.jp2	/p16313coll9/image/31.jp2
