Title	Compound	Photographer	Date	Dates	Subjects	Notes	Type	Original Format/Size	Digital Format	Digital Size	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Physical Description	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Ironclad. Essex, Farragut's fleet. Mississippi River La.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	ca. 1863		United States--History--Civil War, 1861-1865--Photographs;Baton Rouge (La.)--Photographs;Armored vessels--Louisiana--Baton Rouge--Photographs;Essex (Ironclad)--Photographs;United States. Navy. Gulf Coast Blockading Squadron--Photographs;	Originally a St Louis ferry boat, the largest on the Mississippi river, the Essex passed the Vicksburg batteries and reached Baton Rouge in July, 1862. It supported General Williams and his men when confederate forces attacked from the east on the morning of August 5, 1862. [East, "Civil War Album," text, p. 38; image, p. 39.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	2560 x 1572	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940013ar	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/0	0	1.jpg	/LSU_GSC/image/1.jpg
Ironclad. Essex, Farragut's fleet. Mississippi River La.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	ca. 1863		United States--History--Civil War, 1861-1865--Photographs;Baton Rouge (La.)--Photographs;Armored vessels--Louisiana--Baton Rouge--Photographs;Essex (Ironclad)--Photographs;United States. Navy. Gulf Coast Blockading Squadron--Photographs;	Originally a St Louis ferry boat, the largest on the Mississippi river, the Essex passed the Vicksburg batteries and reached Baton Rouge in July, 1862. It supported General Williams and his men when confederate forces attacked from the east on the morning of August 5, 1862. [East, "Civil War Album," text, p. 38; image, p. 39.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	1583 x 2560	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940013av	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/1	1	2.jpg	/LSU_GSC/image/2.jpg
Gun mounted on a mound in Fort William which used to be the cemetery for the officers of the regular army.	Yes	McPherson & Oliver, Baton Rouge	ca. 1863		Armies--Officers--Photographs;Artillery--Photographs;Artillery men--Photographs;Fort Williams (La.)--Photographs;McPherson & Oliver, photographers;McPherson, William D. (Photographer);United States--History--Civil War, 1861-1865--Photogr	An army gun on the Indian mound in the northeastern part of the ground, not far from the powder magazine and the cemetery. The mound itself had served as a burial ground for officers of the post and their families as far back as the 1830s. [East, "Civil War Album," text, p. 50; image, p. 51.	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	2560 x 1626	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940001r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2008-03-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/2	2	3.jpg	/LSU_GSC/image/3.jpg
Gun mounted on a mound in Fort William which used to be the cemetery for the officers of the regular army.	Yes	McPherson & Oliver, Baton Rouge	ca. 1863		Armies--Officers--Photographs;Artillery--Photographs;Artillery men--Photographs;Fort Williams (La.)--Photographs;McPherson & Oliver, photographers;McPherson, William D. (Photographer);United States--History--Civil War, 1861-1865--Photogr	An army gun on the Indian mound in the northeastern part of the ground, not far from the powder magazine and the cemetery. The mound itself had served as a burial ground for officers of the post and their families as far back as the 1830s. [East, "Civil War Album," text, p. 50; image, p. 51.	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	1633 x 2560	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940001v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2008-03-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/3	3	4.jpg	/LSU_GSC/image/4.jpg
18th NY battery Captain Fort Williams 1863.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	1863		United States--History--Civil War, 1861-1865--Photographs;Artillery--Photographs;Artillery battery--Photographs;Fort Williams (La.)--Photographs;United States. Army--Artillery--Drill and tactics--Photographs;Baton Rouge (La.)--Photographs	A section of Captain Mack's battery was doing routine artillery training. [East, "Civil War Album," text, p. 54; image, p. 55.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	2560 x 1659	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940002r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/4	4	5.jpg	/LSU_GSC/image/5.jpg
18th NY battery Captain Fort Williams 1863.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	1863		United States--History--Civil War, 1861-1865--Photographs;Artillery--Photographs;Artillery battery--Photographs;Fort Williams (La.)--Photographs;United States. Army--Artillery--Drill and tactics--Photographs;Baton Rouge (La.)--Photographs	A section of Captain Mack's battery was doing routine artillery training. [East, "Civil War Album," text, p. 54; image, p. 55.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	1644 x 2560	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940002v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/5	5	6.jpg	/LSU_GSC/image/6.jpg
Deaf, Dumb, Blind Asylum Baton Rouge La Now used as a General Hospital. U.S.A.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	ca. 1863		United States--History--Civil War, 1861-1865--Photographs;Architecture, Gothic--Louisiana--Baton Rouge--Photographs;United States--History--Civil War, 1861-1865--Photographs;Baton Rouge (La.)--Photographs	In 1863, it served as a military hospital crowded with the sick and wounded. [East, "Civil War Album," text, p. 94; image, p. 95.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	2560 x 1557	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940003r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/6	6	7.jpg	/LSU_GSC/image/7.jpg
Deaf, Dumb, Blind Asylum Baton Rouge La Now used as a General Hospital. U.S.A.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	ca. 1863		United States--History--Civil War, 1861-1865--Photographs;Architecture, Gothic--Louisiana--Baton Rouge--Photographs;United States--History--Civil War, 1861-1865--Photographs;Baton Rouge (La.)--Photographs	In 1863, it served as a military hospital crowded with the sick and wounded. [East, "Civil War Album," text, p. 94; image, p. 95.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	1581 x 2560	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940003v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/7	7	8.jpg	/LSU_GSC/image/8.jpg
General Dudley's Headquarters, Baton Rouge, La.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	ca. 1863		United States--History--Civil War, 1861-1865--Photographs;Church Street (Baton Rouge, La.)--Photographs;Baton Rouge (La.)--Photographs;Dwellings--Louisiana--Baton Rouge--Photographs;United States. Army--Headquarters--Photographs	Before 1863, this was the home of Samuel M. Hart, a prominent citizen who had left the city the previous year. [East, "Civil War Album," text, p. 57; image, p. 59.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	2560 x 1575	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940004r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/8	8	9.jpg	/LSU_GSC/image/9.jpg
General Dudley's Headquarters, Baton Rouge, La.	Yes	Ascribed to McPherson & Oliver, Baton Rouge	ca. 1863		United States--History--Civil War, 1861-1865--Photographs;Church Street (Baton Rouge, La.)--Photographs;Baton Rouge (La.)--Photographs;Dwellings--Louisiana--Baton Rouge--Photographs;United States. Army--Headquarters--Photographs	Before 1863, this was the home of Samuel M. Hart, a prominent citizen who had left the city the previous year. [East, "Civil War Album," text, p. 57; image, p. 59.]	Photographs	Albumen prints;2.5" x 4.0" (CDV studio card)	jpeg	1577 x 2560	G.H. Suydam Collection	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G. H. Suydam Collection (Mss. 1394).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/1394.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	G. H. Suydam Collection (Mss. 1394), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	13940004v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GSC.php?CISOROOT=/LSU_GSC	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GSC/id/9	9	10.jpg	/LSU_GSC/image/10.jpg
