Title	Compound	Photographer	Date	Dates	Subjects	Notes	Type	Original Format/Size	Digital Type	Digital Size	Digital Reproduction Information	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Physical Description	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Camp Walker, West Point, 1857	No	unknown	ca. 1857		United States Military Academy--Photographs<br>Military camps--Photographs	The camera faces a tent camp across a deep foreground of open sand with patches of grass. A small group of men in uniform stands in front of one of the tents facing the camera. The distance between the camera and these men makes their faces indistinguishable. This page marked "1."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530001	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/44	44	45.jpg	/LSU_GCS/image/45.jpg
Laboratory and River, West Point	No	unknown	ca. 1857		United States Military Academy--Photographs	The camera faces a group of buildings across a deep, rolling foreground of grass. A wall with crenellated towers at the corners partially hides the buildings. This page marked "2."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530002	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/45	45	46.jpg	/LSU_GCS/image/46.jpg
[Alexander, Edward Porter], Engineers, Rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits with legs crossed facing right in a chair next to a table with a knitted throw covering it. His right hand rests in his lap, his left appears to rest on the chair seat. This page marked "3." Identification of the sitter verified by the USMA.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530003	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/46	46	47.jpg	/LSU_GCS/image/47.jpg
[Anderson, Robert H.], Infantry, Rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table and he wears a sash with tassels around his waist. This page marked "4." Identification of the sitter verified by the USMA.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530004	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/47	47	48.jpg	/LSU_GCS/image/48.jpg
Beach, Francis, Artillery, Hartford, Conn.	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits sideways in a chair, his left arm resting on the top of the chair. This page marked "5."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530005	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/48	48	49.jpg	/LSU_GCS/image/49.jpg
[Berry, Thomas J.], Dragoons, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, and holds a sword at an angle across his lap. This page marked "6." Identification of the sitter verified by the USMA.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530006	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/49	49	50.jpg	/LSU_GCS/image/50.jpg
Brewer, Richard, Maryland, Graduates in next class	No	unknown	ca. 1857		United States Military Academy. Class of 1858--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing right, his arms folded across his chest. This page marked "7."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530007	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/50	50	51.jpg	/LSU_GCS/image/51.jpg
Bell, William Hempshire, West Chester, Chester Co., Pa, Yours truly, Graduates in next class	No	unknown	ca. 1857		United States Military Academy. Class of 1858--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, a flat brimmed hat with the strap placed under his chin, and what appear to be leather gauntlets, sits facing left in a chair next to a table with a knitted throw covering it. He holds a sword at an angle across his lap. This page marked "8."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530008	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/51	51	52.jpg	/LSU_GCS/image/52.jpg
Baylor, Thomas G., Norfolk Va, ordnance	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing left, one hand rests on his left thigh, the other hangs at his side. This page marked "9."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530009	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/52	52	53.jpg	/LSU_GCS/image/53.jpg
Cunningham, George A., Alabama, cavalry, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, and holds a sword at an angle across his lap. This page marked "10."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530010	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/53	53	54.jpg	/LSU_GCS/image/54.jpg
