Title	Compound	Photographer	Date	Dates	Notes	Subjects	Type	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Physical Description	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
No. 63. Canal Street, from Chartres.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view.	New Orleans (La.)--Photographs;Canal Street (New Orleans, La.)--Photographs;Cable cars (Streetcars)--Louisiana--New Orleans--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;Mugnier, George Francois, 1855-1936.;Photographer	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890001	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/0	0	1.jpg	/LSU_GFM/image/1.jpg
No. 64. Canal St., East from Baronne. 		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view.	Cable cars (Streetcars)--Louisiana--New Orleans--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;New Orleans (La.)--Photographs;Canal Street (New Orleans, La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890002	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/1	1	2.jpg	/LSU_GFM/image/2.jpg
No. 65. Canal St., East from Camp		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view.	New Orleans (La.)--Photographs;Canal Street (New Orleans, La.)--Photographs;Cable cars (Streetcars)--Louisiana--New Orleans--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890003	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/2	2	3.jpg	/LSU_GFM/image/3.jpg
Canal St. east from Carondolet		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view.	New Orleans (La.)--Photographs;Canal Street (New Orleans, La.)--Photographs;Cable cars (Streetcars)--Louisiana--New Orleans--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890004	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/3	3	4.jpg	/LSU_GFM/image/4.jpg
No. 590. Esplanade Street.		George Francois Mugnier	ca. 1885-1910		Glass negative view of Esplanade Ave. with trees, houses, and churches.	New Orleans (La.)--Photographs;Esplanade Avenue (New Orleans, La.)--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890005	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/4	4	5.jpg	/LSU_GFM/image/5.jpg
No. 580. Stern-Wheel Steamboat.		George Francois Mugnier`	ca. 1885-1910		Glass negative view of steamboat at shoreline.	Steamboats--Photographs;Mabel Comeaux (Steamboat)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890006	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/5	5	6.jpg	/LSU_GFM/image/6.jpg
Steamboat Natchez		George Francois Mugnier	ca. 1885-1910		Glass negative view of steamboat with cargo at dock.	Steamboats--Photographs;Natchez (Steamboat)--Photographs;Cotton trade--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 7.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890007	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/6	6	7.jpg	/LSU_GFM/image/7.jpg
No. 552 Str. Jno. W Cannon Loading,		George Francois Mugnier	ca. 1885-1910		Glass negative view of three steamboats at dock, with cargo.	Steamboats--Photographs;John W. Cannon (Steamboat)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890008	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/7	7	8.jpg	/LSU_GFM/image/8.jpg
Morgan's Louisiana & Texas R.R. & S.S. Co. - Inward N. York - Freight Depot		George Francois Mugnier	ca. 1885-1910		Glass negative view of dock cargo area and workers.	New Orleans (La.)--Photographs;Docks--Louisiana--New Orleans--Photographs;Morgans Louisiana and Texas Rail and Steam Company (New Orleans, La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890009	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/8	8	9.jpg	/LSU_GFM/image/9.jpg
Steamboat Ldg N.O		George Francois Mugnier	ca. 1885-1910		Glass negative view of dock and steamboats.	New Orleans (La.)--Photographs;Steamboats--Photographs;Docks--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890010	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/9	9	10.jpg	/LSU_GFM/image/10.jpg
