Title	Author	Date	Physical description	Language	Type	Geographic focus	Subject	Description	Location of originals	Repository Collection	Repository Collection Guide	Contributors	Notes	Publisher	Format	Relation	Rights	Contact and Ordering Information	Cataloged Date	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Object File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/71	71	72.jp2	/p15140coll18/image/72.jp2
Page 2	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/72	72	73.jp2	/p15140coll18/image/73.jp2
Page 3	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/73	73	74.jp2	/p15140coll18/image/74.jp2
Page 4	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/74	74	75.jp2	/p15140coll18/image/75.jp2
Page 5	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/75	75	76.jp2	/p15140coll18/image/76.jp2
Page 6	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/76	76	77.jp2	/p15140coll18/image/77.jp2
Page 7	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/77	77	78.jp2	/p15140coll18/image/78.jp2
Page 8	Moyse, Hermann, 1891-1985	1917 Feb. 20	8 leaves.	en	correspondence	France	World War, 1914-1918--France	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 3	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/78	78	79.jp2	/p15140coll18/image/79.jp2
Page 1	Moyse, Hermann, 1891-1985	circa 1917 spring	5 pages.	en	correspondence	Baton Rouge (La.)	Correspondence	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 5	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/79	79	80.jp2	/p15140coll18/image/80.jp2
Page 2	Moyse, Hermann, 1891-1985	circa 1917 spring	5 pages.	en	correspondence	Baton Rouge (La.)	Correspondence	This folder contains 11 letters from Hermann Moyse to his parents, Simon and Flora Moyse, and to Rosalie Gottlieb, written while he was in a small town in France (1 letter), in Baton Rouge (La.), and at Citizens Training Camp at Fort Logan H. Roots in Arkansas (9 letters).	Mss. 4671, Box 1a: 5	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-05-13	2010-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/80	80	81.jp2	/p15140coll18/image/81.jp2
