Title	Photographer	Date	Subjects	Notes	Type	Original Format/Size	Digital Format	Repository	Repository Collection	Collection Source	Relation	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	McPherson & Oliver, photographers	1862	Old State Capitol (Baton Rouge, La.)--Photographs;McPherson, William D. (photographer);Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs	The camera stands on River Road looking up toward the west face of the Louisiana State Capitol. The Federal national flag flies from the left turret and Federal troops may be seen around the entrance to the building.	Image	Albumen prints<br>2.50" x 4.00" (CDV studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louisiana State Capitol, 1862.	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Louisiana State Capitol carte de visite (Mss. 4915), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	4915001r	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/22	22	23.jpg	/LSU_BRT/image/23.jpg
E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	McPherson & Oliver, photographers	1862	Old State Capitol (Baton Rouge, La.)--Photographs;McPherson, William D. (photographer);Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs	The camera stands on River Road looking up toward the west face of the Louisiana State Capitol. The Federal national flag flies from the left turret and Federal troops may be seen around the entrance to the building.	Image	Albumen prints<br>2.50" x 4.00" (CDV studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louisiana State Capitol, 1862.	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Louisiana State Capitol carte de visite (Mss. 4915), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	4915001v	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/23	23	24.jpg	/LSU_BRT/image/24.jpg
Louisiana State Capitol carte de visite	McPherson & Oliver, photographers	1862	Old State Capitol (Baton Rouge, La.)--Photographs;McPherson, William D. (photographer);Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs	The camera stands on River Road looking up toward the west face of the Louisiana State Capitol. The Federal national flag flies from the left turret and Federal troops may be seen around the entrance to the building.	Image	Albumen prints; 2.50" x 4.00" (CDV studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louisiana State Capitol, 1862.	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Louisiana State Capitol carte de visite (Mss. 4915), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	4915001	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2012-05-11	2012-05-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/24	24	25.cpd	/LSU_BRT/image/25.cpd
Building at Florida and 3rd. Street	Unknown	ca. 1900	Baton Rouge (La.)--History--19th century--Photographs.;Building sites--Louisiana--Baton Rouge--Photographs.	Dismantling a building at Florida and 3rd. Streets, future site of the Istrouma Hotel.	Image	Albumen prints; 6.00" x 8.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170001	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2012-05-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/25	25	26.jpg	/LSU_BRT/image/26.jpg
Steamboat T. P. Leathers	Andrew D. Lytle (Baton Rouge, La.)	ca. 1890	Baton Rouge (La.)--History--19th century--Photographs.;Steamboats--Louisiana--Baton Rouge--Photographs.;T. P. Leathers (Steamboat)--Photographs.;Andrew D. Lytle (Baton Rouge, La.)	Steamboat T. P. Leathers loaded with cotton bales at dock.	Image	Albumen prints; 7.00" x 9.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170002	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2012-05-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/26	26	27.jpg	/LSU_BRT/image/27.jpg
Yellow fever quarantine camp	Andrew D. Lytle (Baton Rouge, La.)	1897	Baton Rouge (La.)--History--19th century--Photographs.;Yellow fever--Louisiana--Baton Rouge--History--19th century--Photographs.;Andrew D. Lytle (Baton Rouge, La.)	Group of men, two on horseback, facing camera in front of a tent at a yellow fever quarantine camp.	Image	Albumen prints; 4.25" x 6.50" (Cabinet studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170003	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2012-05-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/27	27	28.jpg	/LSU_BRT/image/28.jpg
Steamboat John Howard	Andrew D. Lytle (Baton Rouge, La.)	ca. 1890	Baton Rouge (La.)--History--19th century--Photographs.; Steamboats--Louisiana--Baton Rouge--Photographs.; John Howard (Steamboat)--Photographs.; Andrew D. Lytle (Baton Rouge, La.)	Steamboat John Howard at river's edge, loaded with cotton bales.	Image	Albumen prints; 5.25" x 8.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170004	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2012-05-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/28	28	29.jpg	/LSU_BRT/image/29.jpg
First electric cars in Baton Rouge	Andrew D. Lytle (Baton Rouge, La.)	ca. 1890	Baton Rouge (La.)--History--19th century--Photographs.;Cable cars (Streetcars)--Louisiana--Baton Rouge--Photographs.;Andrew D. Lytle (Baton Rouge, La.)	Image taken at corner of Lafayette and Main Streets showing crowd, streetcars and the Hotel Lafayette.  Manuscript note on verso: First electric cars Baton Rouge.	Image	Albumen prints&lt;br&gt;5.25" x 8.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170005r	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2012-05-11	2012-05-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/29	29	30.jpg	/LSU_BRT/image/30.jpg
E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Andrew D. Lytle (Baton Rouge, La.)	ca. 1890	Baton Rouge (La.)--History--19th century--Photographs.;Cable cars (Streetcars)--Louisiana--Baton Rouge--Photographs.;Andrew D. Lytle (Baton Rouge, La.)	Image taken at corner of Lafayette and Main Streets showing crowd, streetcars and the Hotel Lafayette.  Manuscript note on verso: First electric cars Baton Rouge.	Image	Albumen prints<br>5.25" x 8.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170005v	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/30	30	31.jpg	/LSU_BRT/image/31.jpg
E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Andrew D. Lytle (Baton Rouge, La.)	ca. 1863	Baton Rouge--History--Civil War, 1861-1865--Photographs.;Military camps--Louisisna--Baton Rouge--Photographs.;Andrew D. Lytle (Baton Rouge, La.)	Roof-top view of tents, troops, and horses in distant field.  Manuscript note on verso: Federal troops in Baton Rouge.	Image	Albumen prints<br>4.25" x 6.50" (Cabinet studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Favrot (Joseph St. Clair) Family Papers	IRP	http://louisdl.louislibraries.org/cdm4/index_LSU_BRT.php?CISOROOT=/LSU_BRT	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Joseph St. Clair Favrot Family Papers (Mss. 3317), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	33170006r	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_BRT		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_BRT/id/31	31	32.jpg	/LSU_BRT/image/32.jpg
