Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Physical Description	Contact and Ordering Information	Item URL	Item Number	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Inauguration Day.		Unknown	1928 May 21		Long, Huey Pierce, 1893-1935--Photographs.;Simpson, Oramel Hinckley, 1870-1932--Photographs.;Governors--Louisiana--Inauguration--Photographs.	Huey P. Long and former Louisiana Governor O. H. Simpson, Inauguration Day, Baton Rouge, La., May 21, 1928.	Gelatin silver prints;3.25" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950001	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/0	0	1.jpg	/LSU_HPL/image/1.jpg
Inauguration Day platform.		Unknown	1928 May 21		Long, Huey Pierce, 1893-1935--Photographs.;Governors--Louisiana--Inauguration--Photographs.	Huey P. Long and others on platform, Inauguration Day, Baton Rouge, La., May 21, 1928.	Gelatin silver prints;3.25" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950002	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/1	1	2.jpg	/LSU_HPL/image/2.jpg
No Crop Bill.		Unknown	1932 Aug. 29		Long, Huey Pierce, 1893-1935--Photographs.	Huey P. Long sitting in bed and signing the No Crop Bill forbidding cotton planting in the new year, Baton Rouge, La., August 29, 1932.	Gelatin silver prints;3.00" x 4.00"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950003	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/2	2	3.jpg	/LSU_HPL/image/3.jpg
Public Service Commission.		Unknown	1934 Sept.		Long, Huey Pierce, 1893-1935--Photographs.;O'Connor, J. P. (James P.)--Photographs.;Allen, Oscar Kelly, 1882-1936--Photographs.	Huey P. Long with James P. O'Conner (left) and Gov. O. K. Allen after O'Conner's victory in election for Public Service Commission, September 1934.	Gelatin silver prints;3.00" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950004	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2008-07-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/3	3	4.jpg	/LSU_HPL/image/4.jpg
Tulane representative.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.	Huey P. Long with Tulane University representative, LSU/Tulane football game, ca. 1930.	Gelatin silver prints;3.25" x 5.00"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950005	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/4	4	5.jpg	/LSU_HPL/image/5.jpg
Two unidentified women.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.	Huey P. Long with unidentified women, ca. 1930.	Gelatin silver prints;3.00" x 4.50"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950006	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/5	5	6.jpg	/LSU_HPL/image/6.jpg
LSU cheerleaders.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Cheerleaders--Louisiana--Baton Rouge--Photographs.;Louisiana State University (Baton Rouge, La.)--Photographs.	Huey P. Long with three LSU cheerleaders at Tiger Stadium, ca. 1930.	Gelatin silver prints;3.75" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950007	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/6	6	7.jpg	/LSU_HPL/image/7.jpg
Football referees.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Football referees--Louisiana--Baton Rouge--Photographs.;Louisiana State University (Baton Rouge, La.)--Photographs.	Huey P. Long talking with referees at LSU football game in Tiger Stadium, ca. 1930.	Gelatin silver prints;3.75" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950008	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/7	7	8.jpg	/LSU_HPL/image/8.jpg
WDSU Radio.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Radio broadcasting--Louisiana--New Orleans--Photographs.	Huey P. Long speaking on WDSU Radio, ca. 1930.	Gelatin silver prints;3.75" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950009	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/8	8	9.jpg	/LSU_HPL/image/9.jpg
Veterans protest parade.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Veterans--Louisiana--New Orleans--Photographs.	Huey P. Long leading veterans' protest parade, New Orleans, La., ca. 1930.	Gelatin silver prints;3.25" x 4.25"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950010	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/9	9	10.jpg	/LSU_HPL/image/10.jpg
