Title	Interviewee	Interviewer	Date(s) of interview	Summary	Abstract	Listen to Interview	Read Transcript	Subjects (LCSH)	Digital Collection	Repository	Repository Collection	Physical Description	Item Location	Digital reproduction information	Call number/Tape number	Contact and Ordering Information	Restrictions	Cite As	Item URL	Collection URL	Cataloger	Cataloged date	Acquisition	Coverage	Publisher	Notes	Language	Original Format	Transcript with Sound	Format	To Order	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Crump Yearbook Close-up																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/68	68	15.jpg	/IBE/image/15.jpg
Yearbook Page																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/69	69	16.jpg	/IBE/image/16.jpg
Audio Crump 202A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/70	70	17.ram	/IBE/image/17.ram
Transcript Crump 202A-B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/71	71	18.pdf	/IBE/image/18.pdf
Audio Crump 202B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/72	72	19.ram	/IBE/image/19.ram
Audio Crump 203A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/73	73	20.ram	/IBE/image/20.ram
Transcript Crump 203A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/74	74	21.pdf	/IBE/image/21.pdf
Audio Crump 204A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/75	75	22.ram	/IBE/image/22.ram
Audio Crump 204B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/76	76	23.ram	/IBE/image/23.ram
Transcript Crump 204A-B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/77	77	24.pdf	/IBE/image/24.pdf
Audio Crump 205A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/78	78	25.ram	/IBE/image/25.ram
