Common name (on plate)	Notes	Current common name	Scientific name (on plate)	Current scientific name	Common name of plant	Scientific name of plant	Current scientific plant name	Artist	Date drawn	Publication Date	Plate number	Part number	Printer (publisher)	Engraver/lithographer	Donated by	Physical description	Original Format	Subjects	Author of notes	Language	Location of bird drawn	Bibliographic Information	Digital Collection	Repository	Repository Collection	Collection Information	Digital reproduction information	Restrictions	Cite As	Contact and Ordering Information	Item number	Accession number	Item URL	Collection URL	Cataloger	Cataloged date	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Golden-winged Woodpecker		Golden Flicker	Picus auratus	Colaptes auratus				Audubon, John James (1785-1851)	1821		37	8	R. Havell	R. Havell	Dr. George W. Fair	30in x 40in; Depicts two quarreling females, top, plus three males, all on a dead tree trunk.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with large format 4in x 5in camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00055	20039	See "reference url" on the navigation bars.	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070501	Engravings	Image		2007-04-27	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/0	0	1.jp2		/LSU_JJA/image/1.jp2
Red-tailed Hawk			Falco borealis	Buteo jamaicensis				Audubon, John James (1785-1851)	1821		51	11	R. Havell Sr.	R. Havell Jr.	Dr. and Mrs. Winston C. Hilton	30in x 40in; Depicts a male attacking a female in an attempt to wrest away the rabbit she holds in her talons.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with large format 4in x 5: view camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00057	20055	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070501	Engravings	Image		2007-04-27	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/1	1	2.jp2		/LSU_JJA/image/2.jp2
Carolina Parrot			Psitacus carolinesis	Conuropsis carolinesis	Cuckle Burr			John James Audubon			26	6	R. Havell & Son	R. Havell & Son	Dr. and Mrs. Frank A. Rickey	30in x 40in; Depicts seven birds feeding in a cocklebur.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E. A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries.  Copyright of the original is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00054	20027		Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070501	Engravings	Image		2007-04-27	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/3	3	4.jp2		/LSU_JJA/image/4.jp2
Tennessee Warbler			Sylvia peregrina	Vermivora peregrina				Audubon, John James (1785-1851)	1821		154	31	R. Havell	R. Havell	Dr. and Mrs. Joseph W. Brouillette	30in x 40in; Depicts one bird in a holly.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Oakley Plantation		John James Audubon	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00019	20112	See "reference url" on the navigation bars.	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070501	Engravings	Image		2007-04-27	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/4	4	5.jp2		/LSU_JJA/image/5.jp2
Barred Owl			Strix nebulosa	Strix varia				Audubon, John James (1785-1851)	1821		46	10	R. Havell, Sr.	R. Havell, Jr.	Dean and Mrs. E.B. Robert	30in x 40in, depicts one male on a thick branch facing a squirrel	Watercolored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00056	20049	See "reference url" on the navigation bars.	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070501	Engravings	Image		2007-05-01	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/6	6	7.jp2		/LSU_JJA/image/7.jp2
Black billed Cuckoo [i.e. Yellow-billed Cuckoo]	In its first state, this plate was erroneously labeled “Black billed Cuckoo.”  This was corrected, so some versions of this same plate are labeled “Yellow billed Cuckoo."		Coccyzus erythrophthalmus	Coccyaux americanus	Paw Paw	Popaw porceliatrilobia		Audubon, John James (1785-1851)	1821		2		W.H. Lizars	W.H. Lizars	Dr. and Mrs. Hulen B. Williams	30in x 40in; depicts two birds in a fruited paw paw tree. The bird on the right is catching a Tiger Swallowtail butterfly.	Watercolored etching with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00052	20034	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070501	Etchings	Image		2007-05-01	2008-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/7	7	8.jp2		/LSU_JJA/image/8.jp2
Prothonotary Warbler		Prothonotary Warbler	Dacnis protonotarius	Protonotaria citrea	Cane Vine			Audubon, John James (1785-1851)	1821		3		W.H. Lizars	W.H. Lizars	Dr. and Mrs. Authur G. Keller	30in x 40in; Depicts two birds in a cane vine.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4 in x 5in view camera outfitted with a Better Light Precision Digital Imaging back	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00003	20003	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070501	Engravings	Image		2007-05-01	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/8	8	9.jp2		/LSU_JJA/image/9.jp2
American Oyster Catcher				Haematopus palliatus				Audubon, John James (1785-1851)	1821		324 (223 E.Fol.)	65	J.B. Chevalier	J.T. Bowen		11in x 7in; depicts one bird on a flat rock with water all around, mountains and a ship in the distance	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00021		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/9	9	10.jp2		/LSU_JJA/image/10.jp2
Spotted Sandpiper				Actitis macularius				Audubon, John James (1785-1851)	1821		342 (310 E.Fol.)	69	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts two birds on either side of a stream.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00022		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/10	10	11.jp2		/LSU_JJA/image/11.jp2
Red-cockaded Woodpecker		Red-cockaded Woodpecker		Picoides borealis				Audubon, John James (1785-1851)	1821		264 (389 E.Fol.)	No. 53	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts a female bird, top, and two male birds, center and bottom, all on a tree trunk.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00023		See "reference url" on navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/11	11	12.jp2		/LSU_JJA/image/12.jp2
