Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
U. S. Engineer's Battle Map - Port Hudson, 1863	No	unknown	ca. 1880		United States--History--Civil War, 1861-1865--Pictorial works;Port Hudson (La.)--History--Siege, 1863--Pictorial works	135 mi N of New Orleans	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750001	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/107	107	108.jpg	/LSU_WLS/image/108.jpg
Map of Port Hudson defenders (Rebel)	No	unknown	ca. 1880		United States--History--Civil War, 1861-1865--Pictorial works;Port Hudson (La.)--History--Siege, 1863--Pictorial works	21 heavy cannon, 50 guns all	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750002	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/108	108	109.jpg	/LSU_WLS/image/109.jpg
Saw-mill at Ross, or Mt. Pleasant Landing.	No	unknown	ca. 1880		United States--History--Civil War, 1861-1865--Pictorial works;Pleasant Hill (La.)--Pictorial works	50 miles S of Sheveport [sic] April 9, 1864 last battle in south before Trans-Miss Depart surrender May 26 1865.[The last major battle of the Red River Campaign took place 09 April 1864 at Pleasant Hill, not Mount Pleasant. On 12 April 1864 Union and Confederate forces fought a small engagement at Blair's Landing, also called Pleasant Hill Landing, on the Red River. This image may be Pleasant Hill itself rather than Blair's Landing. mem]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750003	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/109	109	110.jpg	/LSU_WLS/image/110.jpg
Citadel near the water's edge.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241139, and Port Hudson CDVs (PHCDV), 487701. These CDVs carry the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750004	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/110	110	111.jpg	/LSU_WLS/image/111.jpg
Interior view Citadel looking South.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750005	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/111	111	112.jpg	/LSU_WLS/image/112.jpg
Entrance to the mine under the Citadel on the extreme South.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241147, and Port Hudson CDVs (PHCDV), 487702. These CDVs carry the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750006	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/112	112	113.jpg	/LSU_WLS/image/113.jpg
Part of Major Bayley's 17 gun battery (Ours).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750007	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/113	113	114.jpg	/LSU_WLS/image/114.jpg
Capt. Grimsby's Battery (Indiana) (Battery 24).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750008	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/114	114	115.jpg	/LSU_WLS/image/115.jpg
Indiana Battery (Battery 24).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750009	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/115	115	116.jpg	/LSU_WLS/image/116.jpg
Another part of Major Bayley's Battery (56).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750010	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/116	116	117.jpg	/LSU_WLS/image/117.jpg
