Title	Creator	Contributors	Date	Subjects	Description	Original Format/Size	Publisher	Language	Format	Repository	Coverage	Restrictions	Cite as	Cataloger	Catalog Date	Object File Name	Contact and Ordering Information	Item URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Thomas Boyd Hall architectural drawing, sheet 1	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Architecture;Louisiana;Buildings--Designs and plans;Louisiana State University (Baton Rouge, La.);		Architectural drawings;lcsh;34.55x23"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000001	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/0	0	23117193062003_tl000001.jpg	/TLD/image/23117193062003_tl000001.jpg
Thomas Boyd Hall architectural drawing, sheet 2	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Architecture;Louisiana;Buildings--Designs and plans;Louisiana State University (Baton Rouge, La.);		Architectural drawings;lcsh;34.62x22.95"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000002	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/1	1	46617193062003_tl000002.jpg	/TLD/image/46617193062003_tl000002.jpg
Thomas Boyd Hall architectural drawing, sheet 7	Link, Theodore C.		1922;1924	Architecture;Baton Rouge, La.;Buildings--Designs and plans;Louisiana;Architectural drawing;Louisiana State University (Baton Rouge, La.);		Architectural drawings;lcsh;34.4x23"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000003	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/2	2	65317193062003_tl000003.jpg	/TLD/image/65317193062003_tl000003.jpg
Thomas Boyd Hall architectural drawing, sheet 8	Link, Theodore C.		1922;1924	Architecture;Baton Rouge, La.;Buildings--Designs and plans;Louisiana;Architectural drawing;Louisiana State University (Baton Rouge, La.);		Architectural drawings;lcsh;34.56x22.88"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000004	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/3	3	85617193062003_tl000004.jpg	/TLD/image/85617193062003_tl000004.jpg
David Boyd Hall architectural drawing, sheet 3	Link, Theodore C.		1922;1924	Architecture;Baton Rouge, La.;Buildings--Designs and plans;Louisiana;Architectural drawing;Louisiana State University (Baton Rouge, La.);		Architectural drawings;lcsh;34.25x23.09"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000005	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/4	4	6018193062003_tl000005.jpg	/TLD/image/6018193062003_tl000005.jpg
David Boyd Hall architectural drawing, sheet 4	Link, Theodore C.		1922;1924	Architecture;Baton Rouge, La.;Buildings--Designs and plans;Louisiana;Architectural drawing;Louisiana State University (Baton Rouge, La.);		Architectural drawings;lcsh;34.25x22.72"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000006	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/5	5	24718193062003_tl000006.jpg	/TLD/image/24718193062003_tl000006.jpg
David Boyd Hall architectural drawing, sheet 9	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.5x22.89"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000007	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/6	6	45018193062003_tl000007.jpg	/TLD/image/45018193062003_tl000007.jpg
David Boyd Hall architectural drawing, sheet 11	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.5x22.89"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000008	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/7	7	65318193062003_tl000008.jpg	/TLD/image/65318193062003_tl000008.jpg
David Boyd Hall and Thomas Boyd Hall heating drawing, sheet 1	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.4x22.75"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000009	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/8	8	84118193062003_tl000009.jpg	/TLD/image/84118193062003_tl000009.jpg
David Boyd Hall and Thomas Boyd Hall  heating drawing, sheet 2	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.5x22.92"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000010	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/9	9	2819193062003_tl000010.jpg	/TLD/image/2819193062003_tl000010.jpg
