Title	Date	Author	Subject Terms	Geographic Terms	Publication Information	Physical Description	Notes	Call No./Stacks location	Category	Contributors	Type	Format	Language	Relation	Rights	Audience	FILE NAME	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Capt. Thos. P. Leathers before the U.S. Committee on Commerce, Washington, D.C., March 31, 1882	1882	Leathers, Thomas P.	Flood control--Mississippi River Watershed; Floods--Mississippi River		New Orleans : L. Graham & Son, 1882	8 p. ; 23 cm.	Cover title	TC423.4 .L43 1882	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/0	0	1.pdf	/p16313coll35/image/1.pdf
Acts of the Legislature for leveeing, draining and reclaiming swamp lands in certain portions of the parishes of Orleans and Jefferson	1859	Louisiana. Laws, statutes, etc.	Levees--Louisiana; Drainage laws--Louisiana		New Orleans, Bulletin Book and Job Office, 1859.	16 p. 23 cm.		KFL451.7 .A3 1859	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/1	1	2.pdf	/p16313coll35/image/2.pdf
Bank protection, Mississippi River : plant, methods, and material in use on works under direction of Mississippi River Commission	1922	United States. Mississippi River Commission.	Levees--Mississippi River		Washington : Government Printing Office, 1922.	ii, 49 p., 24 p. of plates : ill. (part folded) ; 24 cm.	Plates numbered 1 to 23, 26. Most plates printed on both sides.	TC425 .M62 A5 1922	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/2	2	3.pdf	/p16313coll35/image/3.pdf
Bayou Manchac and Amite River, Louisiana: Feasibility report	1979	United States. Army. Corps of Engineers. New Orleans District.	Inland navigation--Louisiana.	Manchac, Bayou (La.)--Navigation.; Amite River (La.)--Navigation.	New Orleans, LA : Dept. of the Army, New Orleans District, Corps of Engineers, 1979.	ii, 30 p. : ill., maps ; 27 cm.	August 1979.	D 103.62:M 31/3 X											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/3	3	4.pdf	/p16313coll35/image/4.pdf
Col. Fullers survey of Red River : letter from the Secretary of War, transmitting report and maps of Col. Fullers survey of Red River	1855	United States. War Dept.		Red River (Tex.-La.)--Navigation.	Washington, D.C. : s.n., 1855	6 p. ; 24 cm.	Caption title; At head of title: 33d Congress, 2d session. House of Representatives. Ex. doc. no. 90; March 3, 1855. Laid upon the table and ordered to be printed; Report signed: Charles A. Fuller, U. S. agent and engineer. The same report was also submitted to the U.S. Senate in a separate document dated February 24, 1855; Librarys LLMVC copy is not accompanied by maps.	TC425 .R4 U68 1855B LARA	inland navigation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/4	4	5.pdf	/p16313coll35/image/5.pdf
Report of the Secretary of War : in compliance with a resolution of the Senate of February 17, 1855, calling for a report and map of Colonel Fullers survey of Red River, in the region of the raft	1855	United States. War Dept.		Red River (Tex.-La.)--Navigation; Red River (Tex.-La.)--Maps	Washington, D.C. : s.n., 1855	6 p. : folded map ; 23 cm.	Caption title; At head of title: 33d Congress, 2d Session. Senate. Ex. doc. no. 62; February 24, 1855. Read, ordered to lie on the table and be printed.; Report is signed: Charles A. Fuller, United States agent and engineer; Map has caption: Map of Red River with its bayous and lakes in the vicinity of the raft. Drawn by Chas. A. Fuller, January 1855.	TC425 .R4 U68 1855 LARA	inland navigation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/5	5	6.pdf	/p16313coll35/image/6.pdf
Dredging alternatives study, Cubits Gap, Lower Mississippi River	1990	Lin, H. J.	Sediment transport--Mississippi River--Forecasting; Stream channelization--Louisiana--Mathematical models; Dredging--Mississippi River--Evaluation.	Mississippi River--Channelization--Evaluation.	[Vicksburg, Miss. : U.S. Army Engineer Waterways Experiment Station ; Springfield, Va. : Available from National Technical Information Service, 1990]	35, [18] p. : ill. ; 28 cm.	Cover title; November 1990.	D 103.24/2:HL-90-20/RPT.2											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/6	6	7.pdf	/p16313coll35/image/7.pdf
Filling and emptying system, New Ship Lock, Mississippi River-Gulf Outlet, Louisiana	1978	Ables, Jackson H.	Hydraulic models; Locks (Hydraulic engineering)		Vicksburg, Miss. : U.S. Army Engineer Waterways Experiment Station, [1978]	34, [49] p., 43 p. of plates : ill., maps ; 27 cm.	Cover title; Final report; Hydraulics Laboratory; September 1978.	D 103.24/2:H-78-16											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/7	7	8.pdf	/p16313coll35/image/8.pdf
Financial statement of the Atchafalaya basin levee district from April 1, 1896, to July 1, 1898	1898	Louisiana. Atchafalaya Basin Levee District.	Levees--Louisiana		Baton Rouge, Printed at the Truth book and job office, 1898.	8 p. 22 cm.		HJ2053 .L8 A82	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/8	8	9.pdf	/p16313coll35/image/9.pdf
Final environmental statement: East Pearl River, Louisiana and Mississippi (maintenance dredging)	1975	United States. Army. Corps of Engineers. Mobile District.	Dredging--Environmental aspects--Louisiana; Stream channelization--Environmental aspects--Louisiana; Inland navigation--Louisiana; Environmental impact statements--Louisiana.	Pearl River.	Mobile, Ala. : U.S. Army Engineer District, Mobile, Ala., 1975.	ii, 49, [84] p. : maps ; 27 cm.		D 103.62:P 31 X											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/9	9	10.pdf	/p16313coll35/image/10.pdf
