Title	Author	Date	Biographical note	Summary	Physical Description	Language	Publisher	Type	Geographic Focus	Subject	Notes	Repository	Repository collection	Repository collection guide	Location of originals	Cite as	Restrictions	Contact and Ordering Information	Item number	Item URL	Collection URL	Format	Relation	Coverage-Temporal	Cataloger	Cataloged Date	Image Resolution (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Transcription	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Cover												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/0	0	1.jp2	/p120701coll12/image/1.jp2
Page 1												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/1	1	2.jp2	/p120701coll12/image/2.jp2
Page 2												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/2	2	3.jp2	/p120701coll12/image/3.jp2
Page 3												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/3	3	4.jp2	/p120701coll12/image/4.jp2
Page 4												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/4	4	5.jp2	/p120701coll12/image/5.jp2
Page 5												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/5	5	6.jp2	/p120701coll12/image/6.jp2
Page 6												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/6	6	7.jp2	/p120701coll12/image/7.jp2
Page 7												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/7	7	8.jp2	/p120701coll12/image/8.jp2
Page 8												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/8	8	9.jp2	/p120701coll12/image/9.jp2
Page 9												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/9	9	10.jp2	/p120701coll12/image/10.jp2
Page 10												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/10	10	11.jp2	/p120701coll12/image/11.jp2
Page 11												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/11	11	12.jp2	/p120701coll12/image/12.jp2
