Title	Creator	Date	Subject(s)	Physical Description	Notes	Repository	Repository Collection Guide	Call Number/Location	Cite as	Restrictions	Publisher	Type	Format	Digital Collection	Language	Contact and Ordering Information	Item URL	Object File Name	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Open invitation inside						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/0	0	2.jp2	/p15140coll17/image/2.jp2
Open invitation						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/1	1	3.jp2	/p15140coll17/image/3.jp2
Partially open invitation						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/2	2	4.jp2	/p15140coll17/image/4.jp2
Folded invitation back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/3	3	5.jp2	/p15140coll17/image/5.jp2
Folded invitation front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/4	4	6.jp2	/p15140coll17/image/6.jp2
Krewe of Proteus invitation, 1884.	Krewe of Proteus (Organization)	1884	Krewe of Proteus (Organization); Balls (Parties)--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; New Orleans (La.)--Social life and customs.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/5	5	7.cpd	/p15140coll17/image/7.cpd
Open invitation inside						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/6	6	8.jp2	/p15140coll17/image/8.jp2
Closed invitation front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/7	7	9.jp2	/p15140coll17/image/9.jp2
Open invitation back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/8	8	10.jp2	/p15140coll17/image/10.jp2
Closed invitation back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2010-02-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/9	9	11.jp2	/p15140coll17/image/11.jp2
