Title	Postmark Date	Physical Description	Description/Notes	Geographic Location	Subjects	Publication Information	Digital Collection	Repository	Repository collection guide	Call Number/Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Digital Reproduction Information	Item URL	Collection URL	Biographical note	Summary	Language	Type	Repository collection	Item number	Format	Relation	Coverage-Temporal	Cataloger	Cataloged Date	Hardware/Software (Archival)	Digitized By	Digitized Date	Transcription	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Front															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/279	279	280.jp2	/p16313coll10/image/280.jp2
Back															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/280	280	281.jp2	/p16313coll10/image/281.jp2
A Bend in Bayou Plaquemine, Plaquemine, La	1914?	Postcard : color ; 3 x 5 in.		Plaquemine, La.	Picture postcards.; Photographic prints.		LSU Libraries Postcard Collections	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/3645post.pdf	Range E:65 (short shelf)	Louisiana Postcard Collection, Mss. 3645, 3754, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original materials is retained by descendants of the creators of these materials in accordance with U.S. copyright law.			See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/281	281	282.cpd	/p16313coll10/image/282.cpd
Front															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/282	282	283.jp2	/p16313coll10/image/283.jp2
Back															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/283	283	284.jp2	/p16313coll10/image/284.jp2
A Burning Gusher, Jennings, La	1910	Postcard : b&w ; 3 x 5 in.		Jennings, La.	Picture postcards.; Photographic prints.	Published for Owl Drug Store by Rosin & Co., Phila. And New York. Made in Germany.	LSU Libraries Postcard Collections	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/3645post.pdf	Range E:65 (short shelf)	Louisiana Postcard Collection, Mss. 3645, 3754, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original materials is retained by descendants of the creators of these materials in accordance with U.S. copyright law.			See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/284	284	285.cpd	/p16313coll10/image/285.cpd
Front															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/285	285	286.jp2	/p16313coll10/image/286.jp2
Back															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/286	286	287.jp2	/p16313coll10/image/287.jp2
A Country Home, C.H. Hummell, Hammond, La	1911	Postcard : color ; 3 x 5 in.		Hammond, La.	Picture postcards.; Photographic prints.		LSU Libraries Postcard Collections	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/3645post.pdf	Range E:65 (short shelf)	Louisiana Postcard Collection, Mss. 3645, 3754, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original materials is retained by descendants of the creators of these materials in accordance with U.S. copyright law.			See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/287	287	288.cpd	/p16313coll10/image/288.cpd
Front															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/288	288	289.jp2	/p16313coll10/image/289.jp2
Back															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/289	289	290.jp2	/p16313coll10/image/290.jp2
A Log Train, Hammond, La	1909	Postcard : color ; 3 x 5 in.		Hammond, La.	Picture postcards.; Photographic prints.		LSU Libraries Postcard Collections	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/3645post.pdf	Range E:65 (short shelf)	Louisiana Postcard Collection, Mss. 3645, 3754, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original materials is retained by descendants of the creators of these materials in accordance with U.S. copyright law.			See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/290	290	291.cpd	/p16313coll10/image/291.cpd
Front															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/291	291	292.jp2	/p16313coll10/image/292.jp2
Back															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/292	292	293.jp2	/p16313coll10/image/293.jp2
A Long Leaf Southern Pine, King of the Forest, Diameter Forty Inches- Bogalusa Brand	1951	Postcard : color ; 3 x 5 in.	Bogalusa logo on front	Bogalusa, La.	Picture postcards.; Photographic prints.	E.C. Kropp Co., Milwaukee; Bogalusa Trade Mark	LSU Libraries Postcard Collections	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/3645post.pdf	Range E:65 (short shelf)	Louisiana Postcard Collection, Mss. 3645, 3754, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original materials is retained by descendants of the creators of these materials in accordance with U.S. copyright law.			See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/293	293	294.cpd	/p16313coll10/image/294.cpd
Front															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/294	294	295.jp2	/p16313coll10/image/295.jp2
Back															See 'reference url' on the navigation bar																		2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll10/id/295	295	296.jp2	/p16313coll10/image/296.jp2
