Title	Compound	Photographer	Notes	Biographical Information	Description	Type	Date	Original Format/Size	Subject(s)	Geographic Focus	Collection Name	Box	Folder	Series	Sub-series	Digital Format	Digital Reproduction Information	Repository	Dates	Item Number	Related Items	Restrictions	Cataloger	Contact and Ordering Information	Cataloged date	Item URL	OCR	Cite As	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Foster hall, dormitory 1901	0	Unknown	Foster Hall exterior showing southwest side, with view of street, Experiment Station Laboratory, classrooms and machine shops in distance. Title from back. Foster Hall, student dormitory and dining hall, built in 1901 was situated between the Agricultural Hall and the Pavilion.				c. 1920	Gelatin silver prints; 7.50in x 9.50in	Murphy J. Foster Hall (Baton Rouge, La. - 1901-1923)--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs.		LSU Photograph Collection, 1886-1926	4	3	Buildings	Foster Hall		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000017				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2296	2296	2580.jp2	Volume156\a50000017.jpg	/LSU_UAP/image/2580.jp2
Foster hall dormitory	0	Unknown	Foster Hall, student dormitory and dining hall, built in 1901 was situated between the Agricultural Hall and the Pavilion. Exterior showing southwest side, with Experiment Station Laboratory in distance				c. 1905	Gelatin silver prints; 9.00in x 7.00in	Murphy J. Foster Hall (Baton Rouge, La. - 1901-1923)--Photographs.; Agricultural experiment stations--Louisiana--Baton Rouge--Photographs.; Louisiana State University Experiment Station Laboratory (Baton Rouge, La.)--Photographs.; Dormitories--Louisiana--		LSU Photograph Collection, 1886-1926	4	3	Buildings	Foster Hall		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000018				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2297	2297	2581.jp2	Volume156\a50000018.jpg	/LSU_UAP/image/2581.jp2
Pentagon Barracks exterior view	0	Unknown	The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors are used as classrooms, offices, reading rooms, armories; those on the second floor are occupied by cadets.				n.d.	Gelatin silver prints; 6.00in x 4.00in	Pentagon Barracks (Baton Rouge, La.)--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	1	Buildings	Pentagon Barracks		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000045				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2298	2298	2582.jp2	Volume156\a50000045.jpg	/LSU_UAP/image/2582.jp2
Pentagon Barracks exterior view of Buildings A, B and C from the south	0	Unknown	The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors were used as classrooms, offices, reading rooms, armories; those on the second floor were occupied by cadets.				n.d.	Gelatin silver prints; 7.63in x 4.75in	Pentagon Barracks (Baton Rouge, La.)--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	1	Buildings	Pentagon Barracks		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000047				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2299	2299	2583.jp2	Volume156\a50000047.jpg	/LSU_UAP/image/2583.jp2
Campus grounds, view is east from Pentagon Barracks toward President's Residence	0	Unknown	The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors were used as classrooms, offices, reading rooms, armories; those on the second floor were occupied by cadets.				n.d.	Gelatin silver prints; 14.00in x 11.00in	College presidents--Dwellings--Louisiana--Baton Rouge--Photographs.; Pentagon Barracks (Baton Rouge, La.)--Photographs.; Louisiana State University President’s Residence (Baton Rouge, La.)--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	1	Buildings	Aerial View & Campus Grounds		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000047a				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2300	2300	2584.jp2	Volume156\a50000047a.jpg	/LSU_UAP/image/2584.jp2
Pentagon Barracks exterior view from the southeast, with Mississippi River in distance	0	Unknown	The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors were used as classrooms, offices, reading rooms, armories; those on the second floor were occupied by cadets.				n.d.	Gelatin silver prints; 6.75in x 4.25in	Pentagon Barracks (Baton Rouge, La.)--Photographs.; Mississippi River--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	2	Buildings	Pentagon Barracks		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000051				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2301	2301	2585.jp2	Volume156\a50000051.jpg	/LSU_UAP/image/2585.jp2
La. State University and A. and M. College. The Pentagon	0	Unknown	Pentagon Barracks exterior view from their central courtyard southwest toward Building B. Handwritten on front- La. State University and A. and M. College. The Pentagon. The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors were used as classrooms, offices, reading rooms, armories; those on the second floor were occupied by cadets.				n.d.	Gelatin silver prints; 7.50in x 4.50in	Pentagon Barracks (Baton Rouge, La.)--Photographs.; Courtyards--Louisiana--Baton Rouge--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	2	Buildings	Pentagon Barracks		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000053				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2302	2302	2586.jp2	Volume156\a50000053.jpg	/LSU_UAP/image/2586.jp2
Pentagon Barracks exterior view	0	Unknown	The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors were used as classrooms, offices, reading rooms, armories; those on the second floor were occupied by cadets.				n.d.	Gelatin silver prints; 7.50in x 4.25in	Pentagon Barracks (Baton Rouge, La.)--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	2	Buildings	Pentagon Barracks		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000054				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2303	2303	2587.jp2	Volume156\a50000054.jpg	/LSU_UAP/image/2587.jp2
Pentagon Barracks exterior view of Building A from the southeast toward Mississippi River	0	Unknown	The Barracks are brick buildings with broad galleries in front and rear supported by massive brick columns.  Four buildings occupy four sides of a pentagon, with the fifth side opening out to the Mississippi River.  The rooms on the ground floors were used as classrooms, offices, reading rooms, armories; those on the second floor were occupied by cadets.				n.d.	Gelatin silver prints; 7.75in x 4.75in	Pentagon Barracks (Baton Rouge, La.)--Photographs.; Mississippi River--Photographs.; Dormitories--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	4	Buildings	Pentagon Barracks		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000058				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2304	2304	2588.jp2	Volume156\a50000058.jpg	/LSU_UAP/image/2588.jp2
Chemistry Building.; 1899; President's Home	0	Unknown	Campus grounds, with view east toward Chemical Laboratory and President's Residence. Handwritten on front- Chemistry Building.; 1899; President's Home.				1899	Gelatin silver prints; 6.75in x 4.25in	Louisiana State University Chemical Laboratory (Baton Rouge, La.)--Photographs.; College presidents--Dwellings--Louisiana--Baton Rouge--Photographs.; Louisiana State University President’s Residence (Baton Rouge, La.)--Photographs.; Chemical laboratories-		LSU Photograph Collection, 1886-1926	5	5	Buildings	Aerial views & Campus grounds		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000060				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2305	2305	2589.jp2	Volume156\a50000060.jpg	/LSU_UAP/image/2589.jp2
