Title	Subject	Author	Date Written	Date on Item	Location	Type	Language	Author's Profession or Status	Rights	Item Number	Cite As	Source	Repository Collection	Repository	Transcription	Contact and Ordering Information	Restrictions	Item URL	Collection URL	Publisher	Contributors	Description	Notes	Format	Identifier	Relation	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/4	4	5.jp2	/p15140coll6/image/5.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/5	5	6.jp2	/p15140coll6/image/6.jp2
180003011794c_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/6	6	7.pdf	/p15140coll6/image/7.pdf
Act of the Bureau du Citoyen, an 3 ventôse 11 [1795 Mar. 1]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	France. Bureau du Citoyen. 	1795-03-01 	11 ventôse III 	Paris 	acte du bureau du citoyen1 	fr	fonctionnaire 		180003011794 	Louis XVI and Marie Antoinette Cash Journal, Mss. 1800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La. 	#1800 vault 31 box 1 fold. 	Louis XVI and Marie-Antoinette cash journal 	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/7	7	8.cpd	/p15140coll6/image/8.cpd
Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/9	9	10.pdf	/p15140coll6/image/10.pdf
Antoine Laurent de Jussieu (?) letter, an 3 nivôse 20 [1795 Jan. 9]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Jussieu, Antoine Laurent de, 1748-1836.	1795-01-09	20 nivose III	Paris	lettre	fr	directeur du museum d'histoire naturelle		000001091795			TULANE 742 Lakanal, Joseph coll. Box.1 f.2	Tulane University, Louisiana Research Collection	See transcript link on the left navigation bar.	E-mail larc@tulane.edu with questions or comments. See instructions for ordering reprints of this item here: http://larc.tulane.edu/patron/copying.  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the Tulane University's Special Collections Library. Copyright is retained in accordance with U. S. copyright laws.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2010-10-28	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/10	10	11.cpd	/p15140coll6/image/11.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/11	11	12.jp2	/p15140coll6/image/12.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/12	12	13.jp2	/p15140coll6/image/13.jp2
Page 3	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/13	13	14.jp2	/p15140coll6/image/14.jp2
Page 4	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/14	14	15.jp2	/p15140coll6/image/15.jp2
