Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Digital Size	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Angelo Bada.		Unknown	1922		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Bada, Angelo--Portrait photographs.	Autographed studio portrait, in costume in "La Savoie."	Gelatin silver prints;5.50" x 7.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1874 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650001	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/1	1	2.jpg	/LSU_LHC/image/2.jpg
Lionel Barrymore.		Unknown	Unknown		Actors--United States--Portrait photographs.;Barrymore, Lionel, 1878-1954.	Autographed studio portrait.	Gelatin silver prints;10.00" x 13.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1997 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650002	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/2	2	3.jpg	/LSU_LHC/image/3.jpg
Mario Chamlee.		Fernand de Gueldy (Chicago, Ill.)	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Chamlee, Mario, 1892-1966--Portrait photographs.;Fernand de Gueldy (Chicago, Ill.)	Autographed studio portrait in costume.	Gelatin silver prints;7.00" x 9.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1975 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650003	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/3	3	4.jpg	/LSU_LHC/image/4.jpg
Julia Claussen.		Unknown	1927		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Claussen, Julia, 1879-1941--Portrait photographs.	Autographed studio portrait.	Gelatin silver prints;9.00" x 10.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2203 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650004	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/4	4	5.jpg	/LSU_LHC/image/5.jpg
Philine Falco.		Unknown	1922		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Falco, Philine--Portrait photographs.	Autographed studio portrait.	Gelatin silver prints;7.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1808 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650005	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/5	5	6.jpg	/LSU_LHC/image/6.jpg
Yvonne Gall.		Unknown	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Gall, Yvonne--Portrait photographs.	Autographed studio portrait postcard.	Postcards;3.50" x 5.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1659 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650006	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Postcards	Image		2005-10-26	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/6	6	7.jpg	/LSU_LHC/image/7.jpg
Marguerite Luft.		Bruno of Hollywood (New York, N.Y.)	1943		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Luft, Marguerite--Portrait photographs.;Bruno of Hollywood (New York, N.Y.)	Autographed studio portrait.	Gelatin silver prints;8.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2062 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650007	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2008-05-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/7	7	8.jpg	/LSU_LHC/image/8.jpg
Tito Schipa.		Daguerre (Chicago, Ill.)	1925		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Schipa, Tito, 1889-1965--Portrait photographs.;Daguerre (Chicago, Ill.)	Autographed studio portrait.	Gelatin silver prints;8.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2078 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650008	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/8	8	9.jpg	/LSU_LHC/image/9.jpg
Grace Moore.		G. L. Manuel Freres	1929		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Moore, Grace, 1898-1947--Portrait photographs.;G. L. Manuel Freres.	Autographed studio portrait in costume.	Gelatin silver prints;6.00" x 11.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1446 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650009	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/9	9	10.jpg	/LSU_LHC/image/10.jpg
G. Morera.		Unknown	1933		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Morera, G--Portrait photographs.	Autographed studio portrait.	Gelatin silver prints;5.75" x 7.75"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1996 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650010	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/10	10	11.jpg	/LSU_LHC/image/11.jpg
