Title	Creator	Contributors	Publisher	Subjects	Description	Notes	Date	Coverage	Original Format	Format	Language	Object File Name	Repository	Restrictions	Cite As	Contact and Ordering Information	Item URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Dutchtown Louisiana climate 1911-1920	Russell, Richard Joel, 1895-			Climatology; Dutchtown (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000230	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/0	0	49533172492004_rj000230.jpg	/RJR/image/49533172492004_rj000230.jpg
Grand Bayou - west side Alfords plantation	Russell, Richard Joel, 1895-			Local geography; Grand Bayou (La.);		1 p. 11x8.5""			Field notes		en	rj000167	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/1	1	60415172492004_rj000167.jpg	/RJR/image/60415172492004_rj000167.jpg
Cheneyville Louisiana climate 1882-1930	Russell, Richard Joel, 1895-			Climatology; Cheneyville (La.)--Climate;		1 p. 12x5""					en	rj000222	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/2	2	35431172492004_rj000222.jpg	/RJR/image/35431172492004_rj000222.jpg
Cameron Louisiana climate 1889-1897, 1901-1915	Russell, Richard Joel, 1895-			Climatology; Cameron (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000221	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/3	3	99530172492004_rj000221.jpg	/RJR/image/99530172492004_rj000221.jpg
Oral history interview, 1998	Hill, Rowena	Louisiana State University (Baton Rouge, La.) Frey Computing Services Center		Russell, Richard Joel 1895-; Louisiana--Coastal ecology; Louisiana State University (Baton Rouge, La.) Dept. of Geography and Anthropology; Louisiana State University (Baton Rouge, La.) Dept. of Geology; Louisiana State University (Baton Rouge, La.) Coastal Studies Institute;		Video 1 of 1. Time 001700. Recorded by Joel G. Williams and Patricia R. Vince	12/10/1998		AudioVisual		en	rj000253	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/4	4	33837172492004_rj000253.ram	/RJR/image/33837172492004_rj000253.ram
Louisiana State University monthly weather report for December 1931	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 11x8.5""			Field notes		en	rj000145	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/5	5	103172492004_rj000145.pdf	/RJR/image/103172492004_rj000145.pdf
Louisiana State University monthly weather report for September 1930	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 11x8.5""			Field notes		en	rj000147	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/6	6	9953172492004_rj000147.pdf	/RJR/image/9953172492004_rj000147.pdf
Louisiana Glenmora quadrangle	United States. Dept of the Interior. Geological Survey			Maps; Glenmora (La.); Louisiana--Maps;		19.2x16.5""		W0923730; W0923000; N0310000; N0305230; N30d52'30""/W92d30'00""; N30d52'30""/W92°30'00""	Maps		en	rj000046	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/7	7	15127172492004_rj000046.jpg	/RJR/image/15127172492004_rj000046.jpg
Louisiana State University monthly weather report for August 1931	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 11x8.5""			Field notes		en	rj000141	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/8	8	1201172492004_rj000141.pdf	/RJR/image/1201172492004_rj000141.pdf
Louisiana State University monthly weather report for May 1931	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 11x8.5""			Field notes		en	rj000138	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/9	9	52659172492004_rj000138.pdf	/RJR/image/52659172492004_rj000138.pdf
Louisiana Alexandria quadrangle	United States. War Dept. Corps of Engineers	United States. Mississippi River Commission	Engineer Reproduction Plant, U. S. Army, Washington, D. C.	Maps; Alexandria (La.); Coastal ecology--Louisiana; Louisiana--Maps;		21.63x18.27""	1935	W0923000; W0921500; N0313000; N0311500; N31°15'00""/W92°15'00""; N31d15'00""/W92d15'00""	Maps		en	rj000006	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/10	10	91616172492004_rj000006.jpg	/RJR/image/91616172492004_rj000006.jpg
Louisiana State University monthly weather report for October 1930	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 11x8.5""			Field notes		en	rj000148	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/11	11	2764172492004_rj000148.pdf	/RJR/image/2764172492004_rj000148.pdf
Louisiana Alexandria quadrangle		United States. Mississippi River Commission.	Engineer Reproduction Plant U. S. Army, Washington, D. C.	Maps; Alexandria (La.); Louisiana--Maps;		19x15.5""	1932	W0923000; W0921500;	Maps		en	rj000005	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/12	12	63516172492004_rj000005.jpg	/RJR/image/63516172492004_rj000005.jpg
False River Louisiana	Russell, Richard Joel, 1895-			Local geography; False River (La.);		2 p. 8x5""			Field notes		en	rj000159	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/13	13	9169172492004_rj000159.pdf	/RJR/image/9169172492004_rj000159.pdf
