Title	Volume	Issue	Author	Publication Date	Call Number	Subject	Publisher	Description	Copyright	Notes	Type	Format	Language	Relation	Coverage	Audience	File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
A Study of Areal and Seasonal Abundance of The American Eel (Anguilla Rostrata) At Selected Sites in Southeastern Coastal Louisiana-Technical Bulletin	34		Department of Conservation, State of Louisiana	1982	SH 11 L785	Fisheries--Louisiana.; Fishes--Louisiana.	New Orleans, La. : Dept. of Conservation	Louisiana Department of Wildlife and Fisheries Technical Bulletin no. 34.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/0	0	1.pdf	/p16313coll45/image/1.pdf
A study of estuarine sportfishes in the Biloxi Marsh Complex, Louisiana; F-8 completion report, a Dingell-Johnson project			Department of Conservation, State of Louisiana	1970	QL628 .L6 F65	Fishes--Louisiana;  Hydrology--Louisiana;  Sciaenidae--Louisiana	New Orleans, La. : Dept. of Conservation	A Completion report published by the Louisiana Wild Life and Fisheries Commission in 1970	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/1	1	2.pdf	/p16313coll45/image/2.pdf
A Survey of the Recreational Shrimp and Finfish Harvests of the Vermillion Bay Area and Their Impact on Commercial Fishery Resources-Technical Bulletin	33		Department of Conservation, State of Louisiana	1981	SH 11 L785	Shellfish fisheries--Louisiana.; Marine biology--Louisiana.; Fishery management--Louisiana.	New Orleans, La. : Dept. of Conservation	Louisiana Department of Wildlife and Fisheries Technical Bulletin no. 33.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/2	2	3.pdf	/p16313coll45/image/3.pdf
An Evaluation of Gill Nets of Various Mesh Sizes-Technical Bulletin	36		Department of Conservation, State of Louisiana	1982	SH 11 L785	Fisheries--Louisiana.; Fishes--Louisiana.	New Orleans, La. : Dept. of Conservation	Louisiana Department of Wildlife and Fisheries Technical Bulletin no. 36.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/3	3	4.pdf	/p16313coll45/image/4.pdf
Contributions of the Marine Research Laboratory-Technical Bulletin	31		Department of Conservation, State of Louisiana	1980	SK 401 .A34	Fisheries--Louisiana.; Fishes--Louisiana.; Louisiana. Marine Research Laboratory.	New Orleans, La. : Dept. of Conservation	Louisiana Department of Wildlife and Fisheries Technical Bulletin no. 31.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/4	4	5.pdf	/p16313coll45/image/5.pdf
Contributions of the Marine Research Laboratory-Technical Bulletin	35		Department of Conservation, State of Louisiana	1982	SH 11 L785	Fisheries--Louisiana.; Fishes--Louisiana.	New Orleans, La. : Dept. of Conservation	Louisiana Department of Wildlife and Fisheries Technical Bulletin no. 35.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/5	5	6.pdf	/p16313coll45/image/6.pdf
Louisiana Conservation Review	6	No. 3	Department of Conservation, State of Louisiana	1937	HC107 .L8 L5874	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/6	6	7.pdf	/p16313coll45/image/7.pdf
Louisiana Conservation Review	5	No. 2	Department of Conservation, State of Louisiana	1936	HC107 .L8 L5874	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/7	7	8.pdf	/p16313coll45/image/8.pdf
Louisiana Conservation Review	5	No. 3	Department of Conservation, State of Louisiana	1936	HC107 .L8 L5874	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/8	8	9.pdf	/p16313coll45/image/9.pdf
Louisiana Conservation Review	7	No. 2	Department of Conservation, State of Louisiana	1938	HC107 .L8 L5874	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/9	9	10.pdf	/p16313coll45/image/10.pdf
