Title	Lingustic Category	Author	Author's Gender	Author's Occupation	Author's Social Class	Author's Place of Birth	Writing Location	Date	Addressee	Addressee's Location	Document Type	Notes	Extent (Pages)	Subject	Language	Repository	Repository Collection	Repository Collection Guide	Shelf Location	Cite As	Restrictions	Digital Collection	Contact and Ordering Information	Item URL	Transcription	Related Collections	Item Number	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/0	0	1.jp2	/p15140coll41/image/1.jp2
082504191896ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/1	1	2.pdf	/p15140coll41/image/2.pdf
A. Chategnier letter, 1896 Apr. 19	Black Creole.	Chategnier, A.	M			USA	Campti (La.)	1896-04-19	Badin, Aug (Mr.).	(unknown)	personal	condolances	1	Natchitoches Parish (La.)--History.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Norbert Badin papers, 1829-1937 (bulk 1870-1890).	http://www.lib.lsu.edu/special/findaid/b825.html	U:97-98	Norbert Badin Papers, Mss. 825, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/2	2	3.cpd	/p15140coll41/image/3.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/3	3	4.jp2	/p15140coll41/image/4.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/4	4	5.jp2	/p15140coll41/image/5.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/5	5	6.jp2	/p15140coll41/image/6.jp2
000507121814ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/6	6	7.pdf	/p15140coll41/image/7.pdf
000507121814tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/7	7	8.pdf	/p15140coll41/image/8.pdf
A. D. Smith letter, 1814 July 12	Anglophone.	Smith, A. D.	M	Merchant	middle	USA	Saint Stephens	1814-07-12	Foelekel, Lewis Valentin, d. 1817?	Baton Rouge (La.)	business	request for prompt delivery of funds	2	Receipts (financial records).	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Gras-Lauzin family papers, 1783-1917 (bulk 1783-1866).		U:152, Folder 1:5	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/8	8	9.cpd	/p15140coll41/image/9.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/9	9	10.jp2	/p15140coll41/image/10.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/10	10	11.jp2	/p15140coll41/image/11.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/11	11	12.jp2	/p15140coll41/image/12.jp2
