Title	Creator	Contributors	Date	Physical Description	Notes	Railroad	City	State/Province	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Abbeville (1978): Southern Pacific			1978			Southern Pacific Company	Abbeville (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/0	0	1.jp2	/p16313coll79/image/1.jp2
Alexandria (1978): Louisiana and Arkansas			1978			Louisiana and Arkansas Railway Company	Alexandria (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Motor vehicles--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/1	1	2.jp2	/p16313coll79/image/2.jp2
Alexandria (1978): Texas and Pacific			1978			Texas & Pacific Railway	Alexandria	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder  Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/2	2	3.jp2	/p16313coll79/image/3.jp2
Alexandria (1909): Texas and Pacific/ Missouri Pacific			1909			Texas & Pacific Railway/Missouri Pacific Railway Company	Alexandria (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder  Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/3	3	4.jp2	/p16313coll79/image/4.jp2
Amite (between 1900 and 1910?): Illinois Central			1900?- 1910?			Illinois Central Railroad Company	Amite (la.)	Louisiana	English	Image	Railroad stations--Louisiana.; Muleteers--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/4	4	5.jp2	/p16313coll79/image/5.jp2
Anococo (betwen 1940 and 1960?): Kansas City Southern			1940?-1960?			Kansas City Southern Railway Company	Anococo (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/5	5	6.jp2	/p16313coll79/image/6.jp2
Archie (1940): Louisiana and Arkansas			1940			Louisiana and Arkansas Railway Company	Archie (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/6	6	7.jp2	/p16313coll79/image/7.jp2
Avon (1940)			1940				Avon (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder  Folder 1	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/7	7	8.jp2	/p16313coll79/image/8.jp2
Baldwin (1935?): Texas and New Orleans			1935?			Texas and New Orleans Railroad Company	Baldwin (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Motor vehicles--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/8	8	9.jp2	/p16313coll79/image/9.jp2
Bastrop (1984): Missouri Pacific			1984			Missouri Pacific Railroad Company	Bastrop (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/9	9	10.jp2	/p16313coll79/image/10.jp2
