Title	Date	Caption/Description	Notes	Physical description	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name(s)	File Name	Identifier	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Object File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Pass a L'Outre Club House	1930	Pass a L'outre public shooting club house.		photograph	Louisiana Conservation Review 1 (1930): 33		Hunting and fishing clubs--Louisiana--Pass a l'Outre Club; 116	Hunting	Recreational	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/293	293	294.jp2	/p15140coll21/image/294.jp2
Louisiana fur hide and wood dealers association	1930	Louisiana Fur, Hide & Wool Dealers Ass'n advertisement.		photograph	Louisiana Conservation Review 1 (1930): 1		Advertising--Louisiana; Hides and skins--Louisiana	Trapping	Hides and Skins	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/294	294	295.jp2	/p15140coll21/image/295.jp2
Shrimp trawl operated from power boat	1930	Shrimp trawl operated from power-boat.		photograph	Louisiana Conservation Review 1 (1930): 11		Boats and boating--Louisiana; Shrimp fisheries--Louisiana; Trawls and trawling--Louisiana	Fishing-commercial	Shrimp	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/295	295	296.jp2	/p15140coll21/image/296.jp2
Shrimp drying platform	1930	Shrimp on drying platform protected against rain by tarpaulins.		photograph	Louisiana Conservation Review 1 (1930): 11		Shrimp industry--Louisiana--Equipment and Supplies	Fishing-commercial	Shrimp	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/296	296	297.jp2	/p15140coll21/image/297.jp2
Oyster dredging	1930	Dredging oysters in Louisiana waters with modern equipment.		photograph	Louisiana Conservation Review 1 (1930): 13		Oyster fisheries--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/297	297	298.jp2	/p15140coll21/image/298.jp2
Oysters going to market	1930	Market-bound.		photograph	Louisiana Conservation Review 1 (1930): 14		Boats and boating--Louisiana; Oyster fisheries--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/298	298	299.jp2	/p15140coll21/image/299.jp2
Salt mine	1930	Deep in a Louisiana salt mine where pure rock salt is loaded into cars 500 feet below the surface.		photograph	Louisiana Conservation Review 1 (1930): 23		Salt mines and mining--Louisiana--Equipment and Supplies	Mineral extraction	Salt industry and trade	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/299	299	300.jp2	/p15140coll21/image/300.jp2
Traps, confiscated	1930	A deckload of 1,250 traps on the Department's patrol boat 'Eagle', confiscated because of violations of the trapping laws.		photograph	Louisiana Conservation Review 1 (1930): 26		Poaching--Louisiana; Trappers--Louisiana	Trapping	Trappers	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/300	300	301.jp2	/p15140coll21/image/301.jp2
Shrimp shell removal	1931	Dancing shrimp to remove shells on platform.		photograph	Louisiana Conservation Review 1 (1930): 6		Shrimpers (Persons)--Louisiana	Fishing	Shrimpers	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/301	301	302.jp2	/p15140coll21/image/302.jp2
Catfish operation	1931	Commercial fishing operations for the Louisiana Catfish provide employment for thousands and the annual catch of this fish is in excess of 12,000,000 pounds.		photograph	Louisiana Conservation Review 1 (1930): 14		Catfishes--Research--Louisiana--Allemands; Lac des	Fishing-recreational	Other	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/302	302	303.jp2	/p15140coll21/image/303.jp2
Steinberg and Company furs	1931	Steinberg & Company Raw Furs advertisement.		photograph	Louisiana Conservation Review 1 (1930): 38		Advertising--Louisiana; Hides and skins--Louisiana; Steinberg and Company Furs	Trapping	Hides and Skins	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/303	303	304.jp2	/p15140coll21/image/304.jp2
Paul Piazza Fish Dealer	1930	Paul Piazza Fish Dealer advertisement.		photograph	Louisiana Conservation Review 1 (1930): 146		Advertising--Food service--Louisiana	Fishing-commercial	Shrimp, Crabs, Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/304	304	305.jp2	/p15140coll21/image/305.jp2
Decatur Fur Corporation advertisement	1930	Decatur Fur Corp. advertisement.		photograph	Louisiana Conservation Review 1 (1930): 146		Advertising--Louisiana; Hides and skins--Louisiana	Trapping	Hides and Skins	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/305	305	306.jp2	/p15140coll21/image/306.jp2
Shrimp trawlers in Brunswick Georgia	1931	Shrimp trawlers at Brunswick, Ga.  The one in the foreground is very similar to the experimental vessel in the co-operative investigation.  Commercial gear is used along the whole Georgia coast.		photograph	Louisiana Conservation Review 2 (1931): 2		Shrimp fisheries--Georgia; Trawls and trawling--Georgia	Fishing-commercial		Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/306	306	307.jp2	/p15140coll21/image/307.jp2
Resident keepers camp, Bird Island Bayou, Marsh Island	1930	Resident keeper's camp, Bird Island Bayou, Marsh Island.		photograph	Louisiana Conservation Review 1 (1930): 136		Camp sites; facilities; etc--Louisiana; Wildlife refuges--Louisiana--Iberia Parish; Marsh Island (La.;	Government	Wildlife refuges	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/307	307	308.jp2	/p15140coll21/image/308.jp2
Shrimp investigations in Georgia	1931	Shrimp investigations in Georgia.  After an experimental haul of a 60-foot trawl the catch is carefully sorted according to species.		photograph	Louisiana Conservation Review 2 (1931): 2		Shrimp fisheries--Georgia; Trawls and trawling--Georgia	Fishing-commercial	Shrimp	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/308	308	309.jp2	/p15140coll21/image/309.jp2
