Title	Date	Caption/Description	Notes	Format	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name	Source	Type	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Object File Name	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Abbeville Quadrangle, NW Quarter, LA, 1932	1932	Planimetric map of Abbeville Quadrangle (NW quarter), Vermilion Parish, LA, 1932.		TIF	U.S. Geological Survey.   Abbeville Quadrangle, N.W. Quarter. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Vermilion Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/12	12	13.jp2	/p15140coll35/image/13.jp2
Abbeville Quadrangle, N.E. Quarter, LA, 1932	1932	Planimetric map of Abbeville quadrangle N.E. Quarter, Vermilion Parish, 1932.		TIF	U.S. Geological Survey.   Abbeville Quadrangle, N.E. Quarter. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Vermilion Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/13	13	14.jp2	/p15140coll35/image/14.jp2
Abbeville Quadrangle, S.E. Quarter, LA, 1932	1932	Planimetric map of Abbeville Quadrangle, S.E. Quarter, Vermilion Parish, LA, 1932.		TIF	U.S. Geological Survey.   Abbeville Quadrangle, S.E. Quarter. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Vermilion Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/14	14	15.jp2	/p15140coll35/image/15.jp2
Abbeville Quadrangle, S.W. Quarter, LA, 1932	1932	Planimetric map of Abbeville Quadrangle, S.W. Quarter, Vermilion Parish, LA.		TIF	U.S. Geological Survey.   Abbeville Quadrangle, S. W. Quarter. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Vermilion Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/15	15	16.jp2	/p15140coll35/image/16.jp2
Allemands Quadrangle, LA, 1938	1938	Planimetric map of Allemands Quadrangle, St. Charles Parish, LA., 1938.		TIF	U.S. Geological Survey.   Allemands Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1938	Brewer, W. B., Shumate, J.A.	Saint Charles Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/16	16	17.jp2	/p15140coll35/image/17.jp2
Alligator Point Quadrangle, LA, 1935	1935	Planimetric map of Alligator Point Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Alligator Point Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/17	17	18.jp2	/p15140coll35/image/18.jp2
Barataria Pass Quadrangle, LA, 1935	1935	Planimetric map of Barataria Pass quandrangle, Jefferson Parish, LA, 1935.		TIF	U.S. Geological Survey.   Barataria Pass Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Jefferson Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/18	18	19.jp2	/p15140coll35/image/19.jp2
Barataria Quadrangle, S.W. Quarter, LA, 1932	1932	Planimetric map of Barataria Quadrangle, S.W. Quarter, Lafourche Parish, LA, 1932.		TIF	U.S. Geological Survey.   Barataria Quadrangle, S.W. Quarter. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/19	19	20.jp2	/p15140coll35/image/20.jp2
Bastian Bay Quadrangle, LA, 1935	1935	Planimetric map of Bastian Bay Quadrangle, Plaquemines Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bastian Bay Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Plaquemines Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/20	20	21.jp2	/p15140coll35/image/21.jp2
Bay Batiste Quadrangle, LA, 1935.	1935	Planimetric map of Bay Batiste Quadrangle, Plaquemines Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bay Batiste Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Plaquemines Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/21	21	22.jp2	/p15140coll35/image/22.jp2
