Title	Issue	Author	Volume	Publication Date	Call Number	Subject	Contributor	Publisher	Description	Collection Information	Copyright	Type	Format	Language	Relation	Coverage	Cite As	Repository Collection Guide	File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Sugar Bulletin 1923-11-01	3	American Sugar Cane League	2	1923	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1949	1949	1950.pdf	/p16313coll31/image/1950.pdf
Sugar Bulletin 1923-10-15	2	American Sugar Cane League	2	1923	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1950	1950	1951.pdf	/p16313coll31/image/1951.pdf
Sugar Bulletin 1923-11-15	4	American Sugar Cane League	2	1923	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1951	1951	1952.pdf	/p16313coll31/image/1952.pdf
Sugar Bulletin 1923-10-01	1	American Sugar Cane League	2	1923	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-04-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1952	1952	1953.pdf	/p16313coll31/image/1953.pdf
Sugar Bulletin 1923-12-01	5	American Sugar Cane League	2	1923	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1953	1953	1954.pdf	/p16313coll31/image/1954.pdf
Sugar Bulletin 1923-12-15	6	American Sugar Cane League	2	1923	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1954	1954	1955.pdf	/p16313coll31/image/1955.pdf
Sugar Bulletin 1924-01-01	7	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1955	1955	1956.pdf	/p16313coll31/image/1956.pdf
Sugar Bulletin 1948-10-01	1	American Sugar Cane League	27	1948	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1956	1956	1957.pdf	/p16313coll31/image/1957.pdf
Sugar Bulletin 1924-01-152	8	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1957	1957	1958.pdf	/p16313coll31/image/1958.pdf
Sugar Bulletin 1924-02-01	9	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1958	1958	1959.pdf	/p16313coll31/image/1959.pdf
