Title	Creator	Date	Physical Description	Description/Notes	Language	Type	Repository	Call Number / Shelving Location	Restrictions	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Lumières November 1975	Friends of the LSU Libraries.	1975-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/0	0	1.pdf	/p16313coll85/image/1.pdf
Lumières April 1976	Friends of the LSU Libraries.	1976-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/1	1	2.pdf	/p16313coll85/image/2.pdf
Lumières November 1976	Friends of the LSU Libraries.	1976-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/2	2	3.pdf	/p16313coll85/image/3.pdf
Lumières April 1977	Friends of the LSU Libraries.	1977-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/3	3	4.pdf	/p16313coll85/image/4.pdf
Lumières April 1978	Friends of the LSU Libraries.	1978-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/4	4	5.pdf	/p16313coll85/image/5.pdf
Lumières January 1978	Friends of the LSU Libraries.	1978-01	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/5	5	6.pdf	/p16313coll85/image/6.pdf
Lumières November 1978	Friends of the LSU Libraries.	1978-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/6	6	7.pdf	/p16313coll85/image/7.pdf
Lumières [April] 1979	Friends of the LSU Libraries.	1979-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/7	7	8.pdf	/p16313coll85/image/8.pdf
Lumières November 1979	Friends of the LSU Libraries.	1979-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/8	8	9.pdf	/p16313coll85/image/9.pdf
Lumières November 1980	Friends of the LSU Libraries.	1980-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/9	9	10.pdf	/p16313coll85/image/10.pdf
