Title	Creator	Contributors	Date	Publisher	Subjects	Geographic term	Biographical Note	Description	Notes	Original Format	Format	Language	Repository	Coverage	Restrictions	Cite As	Contact and Ordering Information	Cataloger	Catalog Date	Object File Name	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Peruuiae avriferæ regionis typus	Ortelius, Abraham, 1527-1598		1584		Early maps	America--Maps--Early works to 1800		1 map 32 x 21 cm. or smaller	Shows portion of Central America, northwestern South America, southern United States, and coast of Tamaulipas in Mexico. Relief shown pictorially.  Appears in the author's Theatrum orbis terrarum. Includes illustrations. Text on verso.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G3290 1584 .O7 MAP	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000001	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/0	0	89025181862003_lm000001.jpg	/LMP/image/89025181862003_lm000001.jpg
Carte du Mexique et de la Floride, des terres angloises et des Isles Antilles, du cours et des environs de la riviere de Mississippi  dressee sur un grand nombre de memoires principalement sur ceux de Mrs. d'Iberville et le sueur i...u; par Guillaume del'Isle; I. Stemmers, senior, sculp	L'Isle, Guillaume de, 1675-1726	Stemmers, I	1722	Amsterdam, Chez Jean Covens & Corneille Mortier	Maps--North America	North America--Maps		1 map : and col.; 52 x 65 cm. ; Scale ca. [1:9,750,000]. (W 265*p0*s--W 317*p0*s/N 8*p0*s--N 44*p0*s)	Relief shown pictorially. Prime meridian:  Ferro. Possibly detached from his Atlas nouveau, v. 2, published by Jean Covens & Corneille Mortier in 1741. No. 29.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G4410 1722 .L57	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000002	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/1	1	64026181862003_lm000002.jpg	/LMP/image/64026181862003_lm000002.jpg
Carte de l'isle de Saint Domingue dressee en 1722 pour l'usage du Roy sur les memoires de Mr. Frezier, ingenieur de S. M. et autres, assujetis aux observations astronomiques par G. de l'Isle	L'Isle, Guillaume de, 1675-1726		1722	Amsterdam, Covens et Mortier	Bahamas--Maps--To 1800;Maps--To 1800	Hispaniola--Maps--To 1800;		1 map : col.; 45 x 60 cm.;Scale ca. 1:1,320,000.	Relief shown pictorially. Alternate title in upper margin: Insulae S. Dominicae tabula accuratissima. Probably from the author's Atlas nouveau. 1741. Dealer's note: 1741? "Lieues marines Francoises de 20 au degrse. Lieues Espagnoles de 17 1/2 au degrse." Plate not numbered.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000003	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/2	2	68727181862003_lm000003.jpg	/LMP/image/68727181862003_lm000003.jpg
Carte de la Louisiane et du cours du Mississipi / dressée sur un grand nombre de memoires entr'autres sur ceux de Mr. le Maire, par Guillme. de L'Isle.	L'Isle, Guillaume de, 1675-1726	Le Marie, Francois, 1675-	1718	Amsterdam, J. Covens et C. Mortier, geographes	Early maps	Louisiana--Maps;Mississippi River Region--Maps--To 1800;United States--Maps--Early Works to 1800		1 map : col.; 44 x 61 cm.;Scale ca. 1:4,752,000.	Bar graph (33/8") "Echelle de cent lievres Francoises." Hand colored. Relief shown pictorially. Inset:  Carte particuliere des embouchures de la riviere S. Louis et de la Mobile. Scale ca. 1:2,376,000	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G4010 1718B .L57 MCAGE	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000004	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/3	3	70228181862003_lm000004.jpg	/LMP/image/70228181862003_lm000004.jpg
America septentrionalis	Jansson, Jan, 1588-1664		1653	Amstelodami, excudit Ionnes Ianssonius [1653?]	North America--Discovery and exploration;Maps;North America--Maps;			col. map 47 x 55 cm.	Scale not given. Excerpt probably from vol. 2 of his Nuevo atlas.  Amsterdam, 1653	Maps			Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Maps: Selections from Louisiana State University Libraries' Special Collections, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000005	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/4	4	78029181862003_lm000005.jpg	/LMP/image/78029181862003_lm000005.jpg
Map of Louisiana from D'Anville's Atlas	Anville, Jean Baptiste Bourguignon d', 1697-1782		1767;1788		;			1 map 42 x 55 cm.		Maps		en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	OS:A	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000006	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/5	5	74930181862003_lm000006.jpg	/LMP/image/74930181862003_lm000006.jpg
Carte de la Louisiane, Cours du Mississippi et Pais voisons	Bellin, Jacques Nicolas, 1703-1772		1744		Discoveries in geography--American;United States--Maps--To 1800;Maps;			1 map : col.; 42 x 56 cm.		Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000007	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/6	6	78031181862003_lm000007.jpg	/LMP/image/78031181862003_lm000007.jpg
Costes aux environs de la Riviere de Misisipi	de Fer, Nicholas		1701		Gulf States--Discovery and exploration--French.;Maps;Mexico, Gulf of--Discovery and exploration--French.;			1 map 46 x 36 cm.		Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000008	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/7	7	78032181862003_lm000008.jpg	/LMP/image/78032181862003_lm000008.jpg
Suite du cours du fleuve St. Louis depuis la riviere d'Iberville jusqua celle des Yasous, et les parties connues de la Riviere Rouge et la Riviere Noire.	Bellin, Jacques Nicolas, 1703-1772		1764			Maps;Mississippi River--Maps--Early works to 1800;Red River (Tex.-La.)--Maps--Early works to 1800;		1 map : col. 22 x 35 cm.;Scale ca. 1:830,000.	Relief shown pictorially. Prime meridian: Paris. "Tome I, no. 46." From the author's Le petit atlas maritime. 1764. Includes "Remarques sur la Riviere Rouge" and inset "Carte de l'establissement francois sur la Riviere Rouge."	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000009	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/8	8	71833181862003_lm000009.jpg	/LMP/image/71833181862003_lm000009.jpg
L'Amerique meridionale et septentrionale	Danet, Guillaume	Luillier, J.	1731	Paris		America--Discovery and exploration;Maps;North America--Maps;Discovery and exploration;South America--Maps;		col. map 49 x 70 cm.	Scale not given. Ornamental borders	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G3300 1731 D35 MCAGE	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000010	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/9	9	62434181862003_lm000010.jpg	/LMP/image/62434181862003_lm000010.jpg
