Title	Author	Century	Date	Origin	Contents	Illustration	Scripts	Scribe/artists	Current location	Description	Bibliographical references	Publications about	Associated names	Alternative title(s)	Language	Genres	Facsimile Publisher	Extent	Call Number	Contributors	Publisher	Type	Digital Format	Repository	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Object File Name	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Dates	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Biblia judía		14th century?	Before 1506	Spain	A Hebrew Bible	Ornamentation and calligraphic medallions	Spanish-style Hebrew lettering	Unknown	Biblioteca del Monasterio de San Lorenzo del Escorial, Spain (http://rbme.patrimonionacional.es/ )	A fine example of a Mudejar (Spanish Muslim) binding, this manuscript also features fine filigree ornamentation and calligraphic medallions.  The codex was used by the Spanish Rabbi Alfonso de Zamora, one of three Jewish scholars who worked under the patronage of Cardinal Franco Jimenez de Cisneros on the production of the Complutensian Polyglot Bible and who converted to Christianity in 1506.   Alfonso wrote in the top margins of all the folios, in his own hand, the Latin names of the books of the Bible and the corresponding chapter numbers.  In the side margins he inserted the chapter divisions which appear in the Polyglot Bible.  At a later date, he removed the titles and numbers in the margin, replacing the former by the original Hebrew names and the latter by rabbinico-alphabetical numbers.     Apart from some differences in pointing, this manuscript coincides with the Textus Receptus, comprising the whole of the Palestinian canon, with the exception of Genesis 38.24-42 and 16, for which the folios have been lost.				Hebrew Bible	Hebrew; Latin		Madrid: Testimonio, 1997	1 v. in facsimile binding	Rare BS715 1988 OVER			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00004											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	1495, 1496, 1497, 1498, 1499, 1500, 1501, 1502, 1503, 1504, 1505, 1506		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/322	322	323.cpd	/MMF/image/323.cpd
Page 003r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/323	323	324.jpg	/MMF/image/324.jpg
Page 025r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/324	324	325.jpg	/MMF/image/325.jpg
Page 037r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/325	325	326.jpg	/MMF/image/326.jpg
Page 133v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/326	326	327.jpg	/MMF/image/327.jpg
Codex Aureus Escorialensis		11th century	ca. 1035	Echternach Monastery, Luxembourg	The four Gospels	Illuminated manuscript with miniatures	Carolingian minuscule	Scriptorium at Echternach	Biblioteca del Monasterio de San Lorenzo del Escorial (http://rbme.patrimonionacional.es/ )	A collection of the four Gospels, the Codex Aureus (or Golden Codex) was written around 1035, during the reign of the Emperor Conrad II, although it was commissioned by his son, Henry III.  The Codex Aureus is one of the most notable manuscripts of the post Carolingian period.				Golden Codex	Latin		Madrid: Testimonio Compania Editorial, [1995]	1 v.	Rare XX(2105261.1) FLAT			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00005											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1039, 1040		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/327	327	328.cpd	/MMF/image/328.cpd
El libro del ajedrez dados et tablas		13th century	before 1284	Spain	A treatise on chess, dice, and other games	Illuminated, with 150 full- and half-page illustrations of games	Gothic	Unknown	Biblioteca del Monasterio de San Lorenzo del Escorial, Spain (http://rbme.patrimonionacional.es/ )	Written on parchment, this manuscript consists of 200 leaves, illustrated in color and with gold leaf.  The 150 miniatures depict both men and women (veiled and unveiled) playing chess, dice, and backgammon.  The text documents the introduction of chess into Europe and was probably translated from an Arabic treatise, demonstrating the continuing impact of Arab culture on the Christian ruling classes of northern Spain.    The companion volume includes a complete transcription of the text and suggests that in addition to offering instruction in the game of chess, the treatise may also be regarded as hermetic literature, transmitting knowledge of the Far East.				Juegos diversos de axedres, dados y tablas	Latin; Spanish		[Madrid]: Patrimonio Nacional, 1987	V. 1, facsimile; V. 2, commentary (in Spanish)	Rare ND3399 .A52 C76 1987 FLAT			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00008											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	1278, 1279, 1280, 1281, 1282, 1283		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/336	336	337.cpd	/MMF/image/337.cpd
Page 018v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/338	338	339.jpg	/MMF/image/339.jpg
Theriaka y Alexipharmaka de Nicandro		10th century	10th century	Byzantium	Information on poisonous animals, anti-venoms, and other drugs	40 miniatures	Gothic	Unknown	Bibliotheque Nationale, Paris (http://www.bnf.fr/en/tools/a.welcome_to_the_bnf.html )	The physician, poet, and grammarian Nicander of Colophon lived in the 2nd century BCE, working at the court of king Attalus III of Pergamum. The poem Theriaka concerns the bites of poisonous insects, snakes and wild animals; Alexipharmaka, concerns other poisons of plant and mineral origin and contains information on precautions and antidotes.     Theriaka is divided into three sections:  descriptions of poisonous animals, symptoms of their bites and stings, and remedies for poisoning.  Alexipharmaka, also in three parts, deals with poisonous solutions, symptoms, and remedies.     This is the only extant illustrated example of Nicander’s work.  Forty of the forty-eight folios in the codex feature miniatures illustrating the text.					Latin		Barcelona: Moleiro, 1997	V. 1, facsimile; V. 2, commentary (in Spanish):  Nicander and his Works; Codicological Study; The Illustrations to Supplément Grec 247; The Poems of Nicander and the Parisinus in the Medical Sciences of Byzantium; Translation of the Theriaka and Alexipharmaka; Editorial and Philological Notes.	Rare PA4250 .N2 T5 1997 v. 1, Rare PA4250 .N2 T5 1997 v. 2 OVER			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00009											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/340	340	341.cpd	/MMF/image/341.cpd
Page 045v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/341	341	342.jpg	/MMF/image/342.jpg
