SortOrder	Title	Compound	Date	Photographer	Subjects	Notes	Original Format/Size	Digital Format	Repository	Repository Collection	Repository Collection Guide	Restrictions	Collection Source	Cite As	Relation	Contact and Ordering Information	Item URL	Item Number	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
1	First check from Federal government for rebuilding after the flood of 1927	No	ca. 1927	none	Stats; Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs	This is a photostatic copy of the first check for one half the amount which the Federal government allowed to Louisiana to re-build roads and bridges destroyed by the flood waters of '27.	Stat; 3.75" x 9.25"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730001	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/430	430	431.jpg	/LSU_MRF/image/431.jpg
2	Railroad underpass-Melville-M-18	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Melville (La.)--Photographs	View of flooded street taken from railroad overpass.	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730003a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/431	431	432.jpg	/LSU_MRF/image/432.jpg
3	Melville Crevasse-M-19	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Melville (La.)--Photographs; Crevasses--Louisiana--Melville--Photographs	none	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730003b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/432	432	433.jpg	/LSU_MRF/image/433.jpg
4	Crevasse-Melville, La.-M-30	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Melville (La.)--Photographs; Crevasses--Louisiana--Melville--Photographs	none	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730003c	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/433	433	434.jpg	/LSU_MRF/image/434.jpg
5	The remains of a school-M-33	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Flood damage--Louisiana--Photographs	Photo of desks and some debris	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730003d	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/434	434	435.jpg	/LSU_MRF/image/435.jpg
6	Hamburg levee-M-42	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Levees--Louisiana--Photographs	none	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730005a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/435	435	436.jpg	/LSU_MRF/image/436.jpg
7	Louisiana Purchase Highway-M-43	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Louisiana Purchase Highway (La.)--Photographs	View of highway under water	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730005b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/436	436	437.jpg	/LSU_MRF/image/437.jpg
8	Crevasse south of -Cotton Port-M-45	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Cotton Port (La.)--Photographs; Crevasses--Louisiana--Cotton Port--Photographs	none	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730005c	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/437	437	438.jpg	/LSU_MRF/image/438.jpg
9	Moreauville crevasse-M-47	No	ca. 1927	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Moreauville (La.)--Photographs; Crevasses--Louisiana--Moreauville--Photographs	none	Gelatin silver prints; 4.00" x 5.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730005d	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/438	438	439.jpg	/LSU_MRF/image/439.jpg
10	Street scene-Melville c. Ewing Inc M-120  7-18-27	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Flood damage--Louisiana--Photographs; Melville (La.)--Photographs; Ewing, Inc.	none	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730007a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/439	439	440.jpg	/LSU_MRF/image/440.jpg
