Title	Photographer	Date	Compound	Subjects	Notes	Original Format/Size	Digital Format	Repository	Transcript	Index Number	Collection Name	Collection Source	Restrictions	Cite As	To Order	Contact Info	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
King's Tavern	unknown	unknown	No	Natchez (Miss.)--Photographs	Image of house taken from street.  Horse-drawn buggy passing in front. Electricity pole in view.	Gelatin silver prints<br>3 1/2" x 4 7/16"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310001	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/0	0	1.jpg	/LSU_NMI/image/1.jpg
D'Evereux	unknown	unknown	Done	Natchez (Miss.)--Photographs<br>D'Evereux (Natchez, Miss.)--Photographs	Image of house and adjacent yard. Note on verso: D'evereux built by Dad's great aunt.  Wm St. John Elliott	Gelatin silver prints<br>3 1/2" x 5 5/8"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310002r	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/1	1	2.jpg	/LSU_NMI/image/2.jpg
D'Evereux	unknown	unknown	Done	Natchez (Miss.)--Photographs<br>D'Evereux (Natchez, Miss.)--Photographs	Image of house and adjacent yard. Note on verso: D'evereux built by Dad's great aunt.  Wm St. John Elliott	Gelatin silver prints<br>3 1/2" x 5 5/8"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310002v	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/2	2	3.jpg	/LSU_NMI/image/3.jpg
Gazebo Holiday Celebration	unknown	unknown	Done	Natchez (Miss.)--Photographs<br>Gazebos--Mississippi--Natchez--Photographs	View of Gazebo, with men surrounding a cannon.  Note on verso: Ready for the Fourth of July--Natchez of long ago-- K. P. La[?] in straw hat	Gelatin silver prints<br>4 13/16" x 7 5/8"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310003r	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/3	3	4.jpg	/LSU_NMI/image/4.jpg
Gazebo Holiday Celebration	unknown	unknown	Done	Natchez (Miss.)--Photographs<br>Gazebos--Mississippi--Natchez--Photographs	View of Gazebo, with men surrounding a cannon.  Note on verso: Ready for the Fourth of July--Natchez of long ago-- K. P. La[?] in straw hat	Gelatin silver prints<br>4 13/16" x 7 5/8"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310003v	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/4	4	5.jpg	/LSU_NMI/image/5.jpg
Fire Aftermath	unknown	unknown	No	Natchez (Miss.)--Photographs<br>Fire engines--Mississippi--Natchez--Photographs<br>Fires--Mississippi--Natchez--Photographs	Street scene showing fire engine, firefighters, onlookers, and destroyed buildings.  Signs on burned buildings: I & S. Moses; Natchez Coffin Company; S & A Jacobs.	Gelatin silver prints<br>4 15/16" x 7 11/16"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310004	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2008-07-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/5	5	6.jpg	/LSU_NMI/image/6.jpg
Portrait of African American Man	unknown	unknown	Done	African Americans--Mississippi--Natchez--Portrait photographs	Manuscript note on verso:  Ben Dixon or R[?] Burns	Gelatin silver prints<br>2 5/8" x 3 7/8"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310005r	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/6	6	7.jpg	/LSU_NMI/image/7.jpg
Portrait of African American Man	unknown	unknown	Done	African Americans--Mississippi--Natchez--Portrait photographs	Manuscript note on verso:  Ben Dixon or R[?] Burns	Gelatin silver prints<br>2 5/8" x 3 7/8"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310005v	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/7	7	8.jpg	/LSU_NMI/image/8.jpg
Laura Davis	unknown	unknown	Done	Brides--Mississippi--Natchez--Portrait photographs	Young woman in Bridal gown.  Note on verso: Laura Davis daughter of [?] Davis Used to come to my mother's Sunday school	Gelatin silver prints<br>3 3/4" x 5 3/4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310006r	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/8	8	9.jpg	/LSU_NMI/image/9.jpg
Laura Davis	unknown	unknown	Done	Brides--Mississippi--Natchez--Portrait photographs	Young woman in Bridal gown.  Note on verso: Laura Davis daughter of [?] Davis Used to come to my mother's Sunday school	Gelatin silver prints<br>3 3/4" x 5 3/4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310006v	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/9	9	10.jpg	/LSU_NMI/image/10.jpg
Man standing by a post	unknown	unknown	No	African Americans--Mississippi--Natchez--Photographs	African American man in a work uniform looking away from camera.	Gelatin silver prints<br>3 3/4" x 5"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310007	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/10	10	11.jpg	/LSU_NMI/image/11.jpg
Woman seated at a table	unknown	unknown	No	African Americans--Mississippi--Natchez--Portrait photographs	Studio portrait of an African American woman.	Gelatin silver prints<br>3" x 4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310008	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/11	11	12.jpg	/LSU_NMI/image/12.jpg
Woman with Hat	unknown	unknown	No	African Americans--Mississippi--Natchez--Portrait photographs	Studio portrait of an African American woman wearing a hat and leaning on a chair.	Gelatin silver prints<br>2 3/4" x 4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310009	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/12	12	13.jpg	/LSU_NMI/image/13.jpg
Three Women	unknown	unknown	Done	Women--Portrait photographs<br>Portraits, Group	Studio portrait of three women, seated.  Note on verso:  Davis.	Gelatin silver prints<br>3 3/4" x 4 1/2"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310010r	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/13	13	14.jpg	/LSU_NMI/image/14.jpg
Three Women	unknown	unknown	Done	Women--Portrait photographs<br>Portraits, Group	Studio portrait of three women, seated.  Note on verso:  Davis.	Gelatin silver prints<br>3 3/4" x 4 1/2"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310010v	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/14	14	15.jpg	/LSU_NMI/image/15.jpg
Woman with Chair	unknown	unknown	No	Women--Portrait photographs	Full-length studio portrait of a woman standing by a chair.	Gelatin silver prints<br>2 1/2" x 4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310011	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/15	15	16.jpg	/LSU_NMI/image/16.jpg
Woman Studio Portrait	unknown	unknown	No	African American--Mississippi--Natchez--Portrait photographs	Portrait of African American woman.	Gelatin silver prints<br>2 1/2" x 3 1/2"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310012	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/16	16	17.jpg	/LSU_NMI/image/17.jpg
Two boys with hats.	H. C. Norman	ca. 1880	Done	African American children--Portrait photographs<br>H. C. Norman (Studio : Natchez, Miss.)	Studio portrait of two African American boys holdings hats. Note on verso: John Stewarts boys Institute Janitor	Gelatin silver prints<br>4" x 5 3/4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310013r	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/17	17	18.jpg	/LSU_NMI/image/18.jpg
Two boys with hats.	H. C. Norman	ca. 1880	Done	African American children--Portrait photographs<br>H. C. Norman (Studio : Natchez, Miss.)	Studio portrait of two African American boys holdings hats. Note on verso: John Stewarts boys Institute Janitor	Gelatin silver prints<br>4" x 5 3/4"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310013v	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/18	18	19.jpg	/LSU_NMI/image/19.jpg
Woman and Child	Wingo	unknown	No	Children--Portrait photographs<br>African Americans--Mississippi--Natchez--Portrait photographs<br>Wingo (Studio : Natchez, Miss.)	Studio portrait of girl child and African American woman seated in a chair, looking downward.	Gelatin silver prints<br>4.25" x 6.50" (Cabinet studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310014	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/19	19	20.jpg	/LSU_NMI/image/20.jpg
Woman and Child	Wingo	unknown	No	Children--Portrait photographs<br>Wingo (Studio : Natchez, Miss.)<br>African Americans--Mississippi--Natchez--Portrait photographs	Studio portrait of girl child and African American woman seated in a chair, looking at camera.	Gelatin silver prints<br>4.25" x 6.50" (Cabinet studio card)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		13310015	Natchez Photographs	IRP	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Natchez Photographs (Mss. 1331), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/dupl.html#prices. Mention the "Item URL" or "Item number" in your request.	E-mail lsudiglib@lsu.edu with questions or comments.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NMI.php?CISOROOT=/LSU_NMI	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NMI/id/20	20	21.jpg	/LSU_NMI/image/21.jpg
