Common name (Title of work)	Scientific name (Species)	Family name (English)	Family name (Latin)	Habitat	Related drawings	Artist	Date(s) collected	Coverage-Temporal	Publisher	Place collected	Name(s) of collector(s)	Description	Notes	Language	Original Format	Original Size	Digital Format	Repository	Cataloger	Restrictions	Cite As	Cataloged Date	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Item URL	Object File Name	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Green Dragon	Arisaema dracontium (L.) Schott	Arum Family	ARACEAE			Stones, Margaret	May 1, 1979	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Morehouse Parish (flowers); West Feliciana Parish (fruit)	Thomas, R. Dale (flowers); Landry, Garrie (fruit)	"The green dragon is a close relative of the jack-in-the-pulpit, and the plants are quite similar in appearance. However, green dragon's one leaf is divided into five to fifteen segments, and jack-in-the-pulpit's, three to five segments. Green dragon's spadix is long and tapering and projects from a reduced spathe (the leaflike structure that surrounds and arches over the spadix of tiny, pollen- and seed-bearing flowers). Green dragon and jack-in-the-pulpit frequently grow together in mixed populations in moist, open woods with abundant leaf litter. Both species also have small underground corms containing calcium oxalate crystals and produce clusters of scarlet red fruit in the autumn."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.4		en	watercolor drawings	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-01	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.3 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne Capturing Software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000011	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/13	13	13.jp2	Volume12\ms000011.tif	/MSW/image/13.jp2
Red Milkweed	Asclepias lanceolata Walt.	Milkweed Family	ASCLEPIADACEAE			Stones, Margaret	May 15, 1979	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Tangipahoa Parish	Cox, Patricia Pias; Landry, Garrie	"Showy displays of the red milkweed are found in early summer in the wet pine savannas and swamps of the southeastern United States. The rarely branched stems are upright and bear narrow, lance-shaped leaves. The bicolored flowers, with orange coronas and reflexed, red petals, are striking features of this species. Characteristic of most milkweeds, the fruit is a pod, called a follicle, filled with many silky haired seeds."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.22		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-01	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.2 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne Capturing Software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000014	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/14	14	14.jp2	Volume12\ms000014.tif	/MSW/image/14.jp2
White Milkweed	Asclepias variegata L.	Milkweed Family	ASCLEPIADACEAE			Stones, Margaret	May 24, 1977	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Gloster Arboretum, Amite County, Mississippi	Gladney, Mrs. Frank	"The white milkweed is another member of the rich asclepiad flora of Louisiana. This stately plant, with its straight stems and broadly ovate, well-spaced, opposite leaves, generally grows in sandy, open woodlands. The spheroid clusters of white, bead-like buds become flowers with brilliant, white, reflexed corollas, spreading hoods, and purple columns. In the proper location, this species makes an interesting garden perennial. As with other milkweeds, transplanting is difficult, and propagation from seeds or by root cuttings is generally more successful."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.7		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-01	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.3 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne Capturing Software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000016	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/16	16	16.jp2	Volume12\ms000016.tif	/MSW/image/16.jp2
Paw Paw	Asimina triloba (L.) Dunal	Custard-Apple Family	ANNONACEAE			Stones, Margaret	March 22, 1977 (flowers); May 6, 1977 (leaves and fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Smith, Emory	"Paw paw is a large shrub to small tree that often grows in clumps in rich woods and along stream banks in the eastern United States. Its flower and leaf buds, young twigs, and leaves are covered with rusty hairs. The large leaves are obovate and, when crushed, have an odor like that of bell peppers. The unusual flowers are characterized by six greenish petals that become mauve at maturity. The berrylike fruit is flavorful. Paw paws, if grown in the landscape, will flower and fruit more heavily in a sunny location. Several tropical members of this plant family, such as the annona, bear edible fruit of considerable importance."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.1		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-01	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.2 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne Capturing Software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000017	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/17	17	17.jp2	Volume12\ms000017.tif	/MSW/image/17.jp2
Spreading Aster	Aster patens Ait.	Sunflower Family	ASTERACEAE			Stones, Margaret	October 21, 1981	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Washington Parish	Smith, Latimore	"Spreading aster is an erect perennial that grows to nearly three feet tall. It is quite common in open, dry fields and at the edges of woodlands in Louisiana and the eastern United States. The plant is readily recognizable by its nearly sessile leaves that have a basal pair of earlobe-like structures and by its branches, especially in the inflorescence, which diverge at nearly a ninety-degree angle from the main stem. The epithet refers to this branching pattern. The heads, which terminate the inflorescence, measure an inch or more across when in flower. They have a yellow disk and numerous bluish or sometimes white rays. Attached to the ovary where it joins the corolla is a series of bristles, called the pappus, which assist in the dissemination of the fruit by the wind."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.7		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-01	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.4 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne Capturing Software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000018	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/18	18	18.jp2	Volume12\ms000018.tif	/MSW/image/18.jp2
Late Blue Aster	Aster praealtus Poir.	Sunflower Family	ASTERACEAE			Stones, Margaret	October 19, 1979	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Urbatsch, Lowell E.; Landry, Garrie	"Autumn's last splash of color in Louisiana is spent on the late blue aster, which is seen around the edges of woods, along roadsides, and in old fields. Profuse masses of yellow- to purple-centered, pale blue-rayed heads cause the slender stems to arch over and to often rely on neighboring vegetation for support. The late blue aster is a widespread perennial in the eastern United States and is one of more than two dozen native species of aster found in Louisiana."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.8		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.5 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000019	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/19	19	19.jp2	Volume12\ms000019.tif	/MSW/image/19.jp2
Lundell's Locoweed	Astragalus soxmaniorum Lundell	Legume Family	FABACEAE			Stones, Margaret	April 4, 1984	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Caddo Parish	Givens, Florence M.; MacRoberts, D.T.; Urbatsch, Lowell E.	"Lundell's locoweed is a low perennial with many branches bearing featherlike leaves and terminal, compact racemes of pale lemon-yellow flowers and, later, beanlike fruit. This rare species of locoweed is restricted to deep, sandy soils in western Louisiana and eastern Texas. Because of its rareness, it had never been given a common name until the author provided it with one. Various members of the genus are called locoweed because they absorb selenium from the soil and consequently cause nervous disorders in livestock that graze on them. Astragalus, a large genus of about fifteen hundred species, grows mostly in arid regions. Because only six species of Astragalus are known in Louisiana, they are local curiosities."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.57		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.4	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-27	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000020	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/20	20	20.jp2	Volume12\ms000020.tif	/MSW/image/20.jp2
Yellow False Foxglove	Aureolaria dispersa (Small) Penn.	Figwort Family	SCROPHULARIACEAE			Stones, Margaret	September 8, 1980	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	West Feliciana Parish	Pruski, John	"Aureolaria dispersa may be found from late summer through autumn in open, sandy pine-oak woods in the lower one-half of Louisiana and also in Texas eastward to Alabama. The plant's lower leaves are often deeply pinnately lobed, and its large, glossy, yellow flowers cling solitarily or in pairs, forming racemes at the numerous branch tips of this perennial. The corollas may be as long as two inches and are suitable for visitation by certain bees. Four anthers, located near the entrance in the upper part of the corolla, are positioned to apply pollen to the backs of such visitors. Like many species in the figwort family Aureolaria is a root parasite on other kinds of plants."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.201		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-27	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000021	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/21	21	21.jp2	Volume12\ms000021.tif	/MSW/image/21.jp2
Red Chokeberry	Aronia Arbutifolia (L.) Ell.	Rose Family	ROSACEAE			Stones, Margaret	March 5, 1981 (flowers); October 22, 1981 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish (flowers); Washington Parish (fruit)	Smith, Emory (flowers); Smith, Latimore (fruit)	"In red chokeberry, pinkish buds produce clusters of small white flowers with lavender-pink anthers on wandlike stems in early spring. Rather persistent red fruits subsequently develop. This shrub, which may grow to ten feet tall, bears simple, elliptic, alternately arranged leaves with finely toothed margins and tomentose undersides. Red chokeberry is a common member of the diverse bog and wet pine savanna community in Louisiana and the Gulf and Atlantic coastal plains."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.195		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	clg	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-02-15	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000013	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/23	23	23.jp2	Volume12\ms000013.tif	/MSW/image/23.jp2
Nodding Indigo	Baptisia leaucophaea Nutt.	Legume Family	FABACEAE			Stones, Margaret	April 16, 1981 (flowers); May 8, 1981 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Tangipahoa Parish (flowers and fruit)	Urbatsch, Lowell E. (flowers); Givens, Florence M. (fruit)	"The attractive, creamy yellow flower clusters of nodding indigo arise from the base of the crown of this rounded, shrubby plant and represent a feature unique among the species of Baptisia.  Nodding indigo, like other Baptisia, is a stout, herbaceous perennial with a single stem arising at ground level and branching above, trifoliate leaves, and papilionaceous flowers.  Its leaves are green, and its flowers are yellow and are arranged differently from the white indigo's.  Nodding indigo grows on dry, upland, sandy soils along the edges of woods, and it flowers in the late springtime in the southern United States."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.58		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.5 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-31	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000022	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/24	24	24.jp2	Volume15\ms000022.tif	/MSW/image/24.jp2
