Sort order	Title	Photographer	Compound	Date	Subjects	Notes	Original Format/Size	Digital Format	Collection Name	Repository	Collection Source	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	Dates	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
	0006. Minnesota Section, G. & S. Building	Centennial Photographic Company	Yes	1885	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Buildings--Photographs<br>Interiors--Louisiana--New Orleans--Photographs	The camera stands slightly elevated looking toward the Minnesota exhibition. A model church stands in the foreground. Various products have been arranged in the space behind the model. At the back, a large, highly decorated model building features a centerpiece of wheat above a sign for Mankato, Minn.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060001r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/0	0	1.jpg	/LSU_NOE/image/1.jpg
	0006. Minnesota Section, G. & S. Building	Centennial Photographic Company	Yes	1885	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Buildings--Photographs<br>Interiors--Louisiana--New Orleans--Photographs	The camera stands slightly elevated looking toward the Minnesota exhibition. A model church stands in the foreground. Various products have been arranged in the space behind the model. At the back, a large, highly decorated model building features a centerpiece of wheat above a sign for Mankato, Minn.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060001v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/1	1	2.jpg	/LSU_NOE/image/2.jpg
	0009. Agricultural Locomotive Power	Centennial Photographic Company	Yes	1884	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Photographs<br>Exhibition buildings--Louisiana--New Orleans--Photographs<br>Carts & wagons--United States--Louisiana--New Orleans--Photographs	The camera stands at ground level looking toward a mule-drawn 2-wheel cart with driver. What appears to be a greenhouse stands in the background.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060002r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/2	2	3.jpg	/LSU_NOE/image/3.jpg
	0009. Agricultural Locomotive Power	Centennial Photographic Company	Yes	1884	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Photographs<br>Exhibition buildings--Louisiana--New Orleans--Photographs<br>Carts & wagons--United States--Louisiana--New Orleans--Photographs	The camera stands at ground level looking toward a mule-drawn 2-wheel cart with driver. What appears to be a greenhouse stands in the background.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060002v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/3	3	4.jpg	/LSU_NOE/image/4.jpg
	0023. Main Building "Through The Trees." S.	Centennial Photographic Company	Yes	1885	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Buildings--Photographs	The camera stands at ground level looking past a pair of oak trees toward the main exhibition building façade.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060003r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/4	4	5.jpg	/LSU_NOE/image/5.jpg
	0023. Main Building "Through The Trees." S.	Centennial Photographic Company	Yes	1885	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Buildings--Photographs	The camera stands at ground level looking past a pair of oak trees toward the main exhibition building façade.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060003v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/5	5	6.jpg	/LSU_NOE/image/6.jpg
	0027. Minnesota "Cartoon" Car.	Centennial Photographic Company	Yes	1884	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Photographs<br>Railroad freight cars--United States--Louisiana--New Orleans--Photographs	The camera stands at ground level looking toward a line of railcars near the Exhibition Building. Some of the cars have painted canvases hanging on their sides.	Albumen prints<br>±4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060004r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/6	6	7.jpg	/LSU_NOE/image/7.jpg
	0027. Minnesota "Cartoon" Car.	Centennial Photographic Company	Yes	1884	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Photographs<br>Railroad freight cars--United States--Louisiana--New Orleans--Photographs	The camera stands at ground level looking toward a line of railcars near the Exhibition Building. Some of the cars have painted canvases hanging on their sides.	Albumen prints<br>±4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060004v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/7	7	8.jpg	/LSU_NOE/image/8.jpg
	0028. Mexican Pulque Plants	Centennial Photographic Company	Yes	1884	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Photographs<br>Agaves--Photographs<br>Railroad cars--United States--Louisiana--New Orleans--Photographs	The camera stands at ground level looking toward a railroad flatcar marked "F.C.M." The flatcar holds a number of large agave plants in planters.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060005r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/8	8	9.jpg	/LSU_NOE/image/9.jpg
	0028. Mexican Pulque Plants	Centennial Photographic Company	Yes	1884	World's Industrial and Cotton Centennial Exposition (1884-1885 : New Orleans, La.)--Photographs<br>Agaves--Photographs<br>Railroad cars--United States--Louisiana--New Orleans--Photographs	The camera stands at ground level looking toward a railroad flatcar marked "F.C.M." The flatcar holds a number of large agave plants in planters.	Albumen prints<br>± 4.00" x 7.00" (Stereograph Studio Card)	jpeg	World's Industrial and Cotton Centennial Exposition Stereographic Views	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs:  http://www.lib.lsu.edu/special/findaid/4206.htm	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	New Orleans Centennial Exposition Stereoscopic Views, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	42060005v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_NOE.php?CISOROOT=%2FLSU_NOE	Stereographs	Image			2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_NOE/id/9	9	10.jpg	/LSU_NOE/image/10.jpg
