Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
The World's Cotton Centennial and Industrial Exposition, New Orleans	No	Exterior of Horticultural Hall.  On recto: 19 Horticultural Hall, South Front. Edward L. Wilson, Copyrighted, 1885.	1885	Edward L. Wilson	World's Industrial and Cotton Exposition (1884-1885 : New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.	03480044a	Horticultural Hall at World's Cotton Centennial and Industrial Exposition Photographs	jpg	640 x 480	Albumen prints<br>6 1/4" x 9 3/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Horticultural Hall at World's Cotton Centennial and Industrial Exposition Photographs, Mss. 0348, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/0	0	1.jpg		/NewOrleans/image/1.jpg
Horticultural Hall, New Orleans Exposition	No	Interior view of fountain.  On recto: Made by Electric Light. Edward L. Wilson.	1885	Edward L. Wilson	World's Industrial and Cotton Exposition (1884-1885 : New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.	03480044b	Horticultural Hall at World's Cotton Centennial and Industrial Exposition Photographs	jpg	640 x 480	Albumen prints<br>6 1/4" x 9 3/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Horticultural Hall at World's Cotton Centennial and Industrial Exposition Photographs, Mss. 0348, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/1	1	2.jpg		/NewOrleans/image/2.jpg
Palace Theater Cast Group Portrait, 1928.	No	In costume.  From accession file: "Miss Amos" 1928	1928	Teunnisson (New Orleans, La.)	Actors--Photographs.;Palace Theatre (New Orleans, La.)--Photographs.;Performing arts--Louisiana--New Orleans--Photographs.;Theater--Louisiana--New Orleans--Photographs.;Teunisson (New Orleans, La.)	17620007	Palace Theatre Cast, New Orleans	jpg	640 x 480	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Palace Theater Cast Photograph, Mss. 17620007, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/2	2	3.jpg		/NewOrleans/image/3.jpg
Mardi Gras ball, New Orleans, La.	No	Tinted photo	ca. 1932	Teunisson Photo, New Orleans	Photographs--Coloring;Balls (Parties)--Louisiana--New Orleans--Photographs;Carnival--Louisiana--New Orleans--Photographs	17620003	Mardi Gras Ball, New Orleans	jpg	640 x 480	Gelatin silver print<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Mardi Gras Ball, New Orleans, Photograph, Mss. 17620003, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/3	3	4.jpg		/NewOrleans/image/4.jpg
Chartres Street	No	Looking toward Jackson Square, cathedral spires in background.	ca. 1900	unknown	Vieux Carre (New Orleans, La.)--Photographs;New Orleans (La.)--Photographs.	21160066	New Orleans French Quarter Scenes	jpg	2560 x 1827	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/16	16	17.jpg		/NewOrleans/image/17.jpg
Erariste Blanc House	No	Front view of house and masonery/iron fence. On verso: Erariste Blanc House (Holy Rosary Rectory) 1342 Moss Street N. O.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Dwellings--Louisiana--New Orleans--Photographs.	21160067	New Orleans French Quarter Scenes	jpg	2560 x 1843	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/17	17	18.jpg		/NewOrleans/image/18.jpg
Home with Balconies	No	image of house with balconies, yard, and trees.  Individuals on steps.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Dwellings--Louisiana--New Orleans--Photographs.	21160069	New Orleans French Quarter Scenes	jpg	2560 x 1848	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/19	19	20.jpg		/NewOrleans/image/20.jpg
A La Renaissance Des Chenes Verts Restaurant	No	Image of restaurant with horse and buggies in front.  On verso: Restaurant at the City Park.  Currently Tavern on the Park Restaurant on City Park Ave.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Restaurants--Louisiana--New Orleans--Photographs.	21160070	New Orleans French Quarter Scenes	jpg	2560 x 1830	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/20	20	21.jpg		/NewOrleans/image/21.jpg
Upper-Level  View of Street	No	Image shows narrow street and converging buildings in background.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Buildings--Louisiana--New Orleans--Photographs.	21160071	New Orleans French Quarter Scenes	jpg	2560 x 1379	Albumen prints<br>3 1/4" x 6 1/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/21	21	22.jpg		/NewOrleans/image/22.jpg
Street Scene	No	Image of cobblestone street and buildings; people on sidewalks.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160072	New Orleans French Quarter Scenes	jpg	2560 x 2411	Albumen prints<br>4 1/4" x 4 1/2"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/22	22	23.jpg		/NewOrleans/image/23.jpg
Exterior Home Stairs.	No	Image of stairs leading to door on balcony.	ca. 1900	unknown	Dwellings--Louisiana--New Orleans--Photographs.;Stairs--Louisiana--New Orleans--Photographs.	21160073	New Orleans French Quarter Scenes	jpg	2560 x 1826	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/23	23	24.jpg		/NewOrleans/image/24.jpg
New Orleans Home	No	View of home with balconies.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Dwellings--Louisiana--New Orleans--Photographs.	21160074	New Orleans French Quarter Scenes	jpg	2560 x 1829	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/24	24	25.jpg		/NewOrleans/image/25.jpg
Street Scene with Laundry	No	View of a street and several stores with signs.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)	21160075	New Orleans French Quarter Scenes	jpg	2560 x 1861	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/25	25	26.jpg		/NewOrleans/image/26.jpg
Balcony and Stairs	No	Elevated view of interior balcony with stairs.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;Balconies--Louisiana--New Orleans--Photographs.	21160076	New Orleans French Quarter Scenes	jpg	2560 x 1812	Albumen prints<br>4 1/2" x 6 1/2"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/26	26	27.jpg		/NewOrleans/image/27.jpg
A La Renaissance des Chenes Verts Restaurant (City Park Restaurant)	No	Another view of A La Renaissance des Chenes Verts Restaurant seen at 21160070	ca. 1900	unknown	New Orleans (La.)--Photographs.;Restaurants--Louisiana--New Orleans--Photographs.	21160077	New Orleans French Quarter Scenes	jpg	2560 x 1841	Albumen prints<br>4 1/2" x 6 1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/27	27	28.jpg		/NewOrleans/image/28.jpg
Street Scene with Buggy	No	Image of street, storefronts, balconies, and a horse-drawn buggy.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160078	New Orleans French Quarter Scenes	jpg	2560 x 1822	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/28	28	29.jpg		/NewOrleans/image/29.jpg
Storefront with Children	No	Image of storefront, balcony, and children on sidewalk.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)	21160079	New Orleans French Quarter Scenes	jpg	2560 x 1846	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/29	29	30.jpg		/NewOrleans/image/30.jpg
Auclaire & Gatti	No	View of storefront with sign.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;Auclaire & Gatti (New Orleans, La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160080	New Orleans French Quarter Scenes	jpg	2560 x 1810	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/30	30	31.jpg		/NewOrleans/image/31.jpg
Lot with Building Rubble.	No	View of an alley, storefronts, and the corner of a demolished building.	ca. 1900	unknown	New Orleans (La.)--Photographs.	21160081	New Orleans French Quarter Scenes	jpg	2560 x 1822	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/31	31	32.jpg		/NewOrleans/image/32.jpg
