Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Absinthe House	No	The camera stands on the corner of Iberville and Bourbon Streets diagonally across from and focused on the Absinthe House. Bourbon Street may be seen to the right of frame, Iberville to the left.	ca. 1930	unknown	New Orleans (La.)--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Old Absinthe House (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs	17370003p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/0	0	1.jpg	/NONegExposures/image/1.jpg
Antoine's Restaurant	No	The camera stands on the corner of Royal and Saint Louis Streets across from the Absinthe House. As the camera has been placed at an obtuse angle to the front of the restaurant, the view looks down Saint Louis Street with Antoine's on the right of frame.	ca. 1925	unknown	New Orleans (La.)--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Antoine's Restaurant (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs	17370004p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/1	1	2.jpg	/NONegExposures/image/2.jpg
Cabildo	No	The camera stands on the upriver, riverside corner of Saint Peter and Chartres Streets looking back toward the Cabildo. On the far right side of frame the entrance to Pirate's Alley and a part of the Saint Louis Cathedral facade may be seen.	ca. 1930	unknown	New Orleans (La.)--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Cabildo (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs	17370005p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/2	2	3.jpg	/NONegExposures/image/3.jpg
The intersection of Saint Anne and Chartres Streets.	No	Image originally misnamed "Royal Street." The camera stands on Saint Anne looking away from the river down Saint Anne. Part of the Presbytere may be seen to the left of frame. Storefront along Saint Anne may be seen on the right.	ca. 1900	unknown	New Orleans (La.)--Photographs<br>Presbytere (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Streets--Louisiana--New Orleans--Photographs	17370006ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/3	3	4.jpg	/NONegExposures/image/4.jpg
The intersection of Saint Anne and Chartres Streets.	No	Image originally misnamed "Royal Street." In a slightly different exposure than 173706a, the camera stands on Saint Anne looking away from the river down Saint Anne. Part of the Presbytere may be seen to the left of frame. Storefront along Saint Anne may be seen on the right.	ca. 1900	unknown	Presbytere (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs<br>New Orleans (La.)--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Streets--Louisiana--New Orleans--Photographs	17370006bp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/4	4	5.jpg	/NONegExposures/image/5.jpg
Cabildo Arcade	No	In this exposure the image is oriented horizontally. The camera stands under the arcade fronting the Cabildo facing upriver. Part of the facade of the Pontalba Building may be seen through the arches to the left of frame.	May 1930	unknown	New Orleans (La.)--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Cabildo (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs	17370007ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/5	5	6.jpg	/NONegExposures/image/6.jpg
Cabildo Arcade	No	In this exposure the image is oriented vertically. The camera stands under the arcade fronting the Cabildo facing upriver. Part of the facade of the building on the corner of Saint Peter and Chartres may be seen through the arch on the right of frame.	May 1930	unknown	New Orleans (La.)--Photographs<br>Vieux Carre (New Orleans, La.)--Photographs<br>Cabildo (New Orleans, La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs	17370007bp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/6	6	7.jpg	/NONegExposures/image/7.jpg
Audubon Park Entrance	No	See also 176212b and 176213c. The camera stands in a green sward across the street from the Park entrance facing that entrance.	ca. 1928	unknown	City Park (New Orleans, La.)--Photographs<br>Outdoor photography--Louisiana--New Orleans--Photographs<br>New Orleans (La.)--Photographs	17620012ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/7	7	8.jpg	/NONegExposures/image/8.jpg
Audubon Park Entrance	No	See also 176212a and 176213c. The camera stands in a green sward across the street from the Park entrance facing that entrance. Cars line the curb on both sides of the street.	ca. 1928	unknown	City Park (New Orleans, La.)--Photographs<br>Outdoor photography--Louisiana--New Orleans--Photographs<br>New Orleans (La.)--Photographs	17620012bp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/8	8	9.jpg	/NONegExposures/image/9.jpg
Audubon Park Entrance	No	See also 176212a and 176213b. The camera stands in a green sward across the street from the Park entrance facing that entrance.	ca. 1928	unknown	Outdoor photography--Louisiana--New Orleans--Photographs<br>New Orleans (La.)--Photographs<br>City Park (New Orleans, La.)--Photographs	17620012cp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/9	9	10.jpg	/NONegExposures/image/10.jpg
