Series	Title	Interviewee	Date(s) of Interview	Interviewer	Summary	Abstract 	Biographical Note	Subjects	Physical Description	Repository	Cite As	Copyright (Terms of use / reprodcution) (all updated as of 5/5/2015)	Contact and Ordering Information 
Acadian Handicraft Oral History Project	"Rosabel Sylestine oral history interview, 1995"	"Sylestine, Rosabel, 1923-1998"	1995	"Rabalais, Pamela Pace,; Olivier, Yvonne, -1947"	"Discusses creating various shapes of pine needle baskets, learning from her mother to make them, and participating in the Acadian Handicraft Project.  Also relates family history."	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Sylestine_Rosabel_T733.abs.pdf	"Rosabel Sylestine is of Coushatta Indian heritage and produced pine needle baskets for the Acadian Handicraft Project, a project coordinated through Louisiana State University General Extension to promote and preserve Acadian heritage."	"Sylestine, Rosabel, 1923-1998--Interviews.; Olivier, Louise V.; Acadian Handicraft Project.; Louisiana State Museum.; Louisiana State University and Agricultural and Mechanical College.--General Extension Division.; Indian baskets--Louisiana.; Pine needle crafts--Louisiana.; Handicraft--Louisiana.; Weaving--Louisiana.; Koasati language--Louisiana.; Folk festivals--Louisiana."	1 sound cassette (1 hour); Transcript (59 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Rosabel Sylestine Oral History Interview, 4700.0511, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Gladys Clark oral history interview, 1995"	"Clark, Gladys, 1918-2011"	1995	"Rabalais, Pamela Pace,; Olivier, Yvonne, -1947"	"Clark details her family history along with descriptions of weaving for the Acadian Handicraft Project and traveling to demonstrate weaving in festivals around Louisiana with Louise V. Olivier, a division field representative of the project."	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Clark_Gladys_T734.abs.pdf	"Gladys Clark was born in Lafayette Parish, La., in 1918.  She wove cotton craft items such as place mats and napkins for the Acadian Handicraft Project."	"Clark, Gladys, 1918-2011--Interviews.; Olivier, Louise.; Acadian Handicraft Project.; Lions Clubs International.; International Rice Festival (Crowley, La.); Cotton weaving--Louisiana.; Acadians--Louisiana--Social life and customs--20th century.; Cotton carding--Louisiana.; Looms--Louisiana.; Palmetto weaving--Louisiana.; Crowley (La.)--Social life and customs--20th century.; Saint Martinville (La.)--Social life and customs--20th century.; Lafayette Parish (La.)--Social life and customs--20th century."	1 sound cassette (1 hour); Transcript (75 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Gladys Clark Oral History Interview, Mss. 4700.0512, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Emeritte O. Perret oral history interview, 1995"	"Perret, Emeritte O. "	1995	"Rabalais, Pamela Pace,; Olivier, Yvonne, -1947"	Perret discusses family history along with personal details of Louise V. Olivier's life including relationships between Alex Melancon and Harnet Kane as well as attending the Eucharistic Congress in Ireland.  She also describes her observations of Olivier's work with the individuals that made the handicrafts as well as the organization of the festivals that she attended.	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Perret_Emeritte_T735.abs.pdf	"Emeritte O. Perret was the cousin of Louise V. Olivier, division field representative for the Acadian Handicraft Project."	"Perret, Emeritte O.--(Emeritte Olivier)--Interviews.; Olivier, Louise.; Kane, Harnett T.--(Harnett Thomas), 1910-1984; Acadian Handicraft Project.; Acadian Bicentennial Celebration.; International Eucharistic Congress--(31st :--1932 :--Dublin, Ireland); Folk festivals--Louisiana.; Acadians--Louisiana--Social life and customs--20th century.; Saint Martinville (La.)--Social life and customs--20th century.; Grand Coteau (La.)--Social life and customs--20th century.; Louisiana--Centennial celebrations, etc."	1 sound cassette (1.5 hours); Transcript (37 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Emeritte O. Perret Oral History Interview, Mss. 4700.0513, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Lucy Romero oral history interview, 1995"	"Romero, Lucy, 1916-1998"	1995	"Rabalais, Pamela Pace,; Olivier, Yvonne, -1947"	"Lucy Romero discusses the Romero family and making patterns and sewing children's clothing for the Acadian Handicraft Project. The types of clothes that she sewed included diaper shirts, bibs, gowns and pants. Romero also describes Louise V. Olivier, district field representative for the Acadian Handicraft Project."	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Romero_Laura_Mae_T739_T970.abs.pdf	"Lucy Romero lives in Erath, La.  She sewed children's clothing for the Acadian Handicraft Project."	"Romero, Lucy, 1916-1998--Interviews.; Romero family.; Acadian Handicraft Project.; Sewing--Equipment and supplies.; Machine sewing--Louisiana.; Embroidery--Louisiana--Technique.; Infants' clothing--Louisiana.; Gift shops--Louisiana--Lafayette.; Gift shops--Louisiana--New Orleans."	1 sound cassette (.75 hours); Transcript (41 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Lucy Romero Oral History Interview, Mss. 4700.0514, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Ida Duckworth Woods oral history interview, 1995"	"Woods, Ida Duckworth, b. 1911"	1995	"Rabalais, Pamela Pace,; Olivier, Yvonne, -1947"	"Woods discusses her mother's family origins and the harvesting, drying and preparing of palmetto for braiding.  She discusses becoming involved in the Acadian Handicraft Project through her local home demonstration club.  Details include the process of making corn husk dolls and how she found the pattern.  She stopped working for the Acadian Handicraft project when Louise V. Olivier, field representative for the project, died."	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Woods_Ida_Duckworth_T737.abs.pdf	"Ida Duckworth Woods, born in 1911, worked for the Acadian Handicraft Project making palmetto fans, placemats, and cornshuck dolls during the 1940s - 1960s. She became involved with the Acadian Handicraft project through her local home demonstration agent."	"Woods, Ida Duckworth, b. 1911--Interviews.; Olivier, Louise.; Acadian Handicraft Project.; Progressive farmer.; Cornhusk craft--Louisiana.; Dollmaking--Louisiana--Technique.; Palmetto weaving--Louisiana--Technique.; Weaving--Louisiana--Technique."	1 sound cassette (20 minutes); Transcript (27 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Ida Duckworth Woods Oral History Interview, Mss. 4700.0515, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Laura Mae Romero oral history interview, 1995-1996."	"Romero, Laura Mae, 1923-2010"	1995-1996.	"Rabalais, Pamela Pace,; Olivier, Yvonne, -1947"	"Interview includes discussion of Romero's family, sewing for two companies in New Orleans, sewing for the Acadian Handicraft Project, sewing for other individuals once the Acadian Handicraft Project ended, techniques for making christening dresses, designing patterns for clothes, making a heirloom dress for her granddaughter, a dress she made was in Sew Beautiful Magazine, making christening dresses for her daughters, grandchildren, and great grandchildren, colors used for clothes made for Acadian Handicraft Project, and the materials Romero prefers."	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Romero_Laura_Mae_T739_T970.abs.pdf	"Laura Mae Romero lives in Erath, La.  She sewed infant clothing for the Acadian Handicraft Project."	"Romero, Laura Mae, 1923-2010--Interviews.; Acadian Handicraft Project.; Baltazor Fabric Boutique.; Louisiana State University (Baton Rouge, La.).--School of Home Economics.--Textile and Costume Museum.; Sew beautiful.; Sewing--Equipment and supplies.; Machine sewing--Louisiana.; Embroidery--Louisiana--Technique.; Infants' clothing--Louisiana.; Christening gowns--Louisiana."	2 sound cassettes (2 hours); Index (7 leaves); Transcript (63 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Laura Mae Romero Oral History Interview, Mss. 4700.0517, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Lorita Racca oral history interview, 1995"	"Racca, Lorita, 1914-2000"	1995	"Rabalais, Pamela Pace, -1947; Olivier, Yvonne,"	"Racca discusses her family; her weaving, including learning to weave, the people she worked with, the materials and equipment she used, the weaving process, and prices fetched for rugs and blankets; doing weaving demonstrations in Alexandria and Shreveport; and attending the opening of an exhibit at the New Orleans Museum of Art."	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Racca_Lorita_T731.abs.pdf	Lorita Racca made rag-rugs and blankets with a spinning wheel and loom in the 1930s and 1940s.	"Racca, Lorita, 1914-2000--Interviews.; Racca family.; New Orleans Museum of Art.; Hand weaving--Louisiana.; Handlooms--Louisiana.; Spinning-wheel--Louisiana.; Blankets--Louisiana.; Rag rugs--Louisiana.; Wages--Weavers--Louisiana.; Craft festivals--Louisiana."	1 sound cassette (1.5 hours); Transcript (69 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Lorita Racca Oral History Interview, Mss. 4700.0509, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Acadian Handicraft Oral History Project	"Mary Alice Fontenot oral history interview, 1995"	"Fontenot, Mary Alice "	1995	"Olivier, Yvonne,"	Fontenot discusses her friendship with Louise Olivier who promoted French language and culture in Louisiana and her own Clovis Crawfish books.	http://lib.lsu.edu/services/oralhistory/abstracts/acadian/Fontenot_Mary_Alice.t732.abs.pdf	Mary Alice Fontenot wrote for local Louisiana newspapers and educated children in the French language through her Clovis Crawfish books.	"Fontenot, Mary Alice--Interviews.; Fontenot, Mary Alice.--Clovis Crawfish series.; Olivier, Louise.; French language--Louisiana--Study and teaching--English speakers.; Louisiana--Social life and customs--20th century."	1 sound cassette (20 minutes); Transcript (25 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Mary Alice Fontenot Oral History Interview, Mss. 4700.0510, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University and the University of South Carolina in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Atchafalya Basin Oral History Project	"Aldridge Leroy McMurray Sr. oral history interview, 1979"	"McMurray, Aldridge Leroy"	1979	"Hebert, Sue."	"Interview deals with McMurray's early life and career as a river boat pilot on the Mississippi.  Focus dates of the interview are 1904-1967.  McMurray recalls his father's farming on Chopin Plantation, getting to school, the flood of 1927, and work on government survey boats on the Mississippi.; He describes the government's methods of controlling the River, life on the boats, and getting a pilot's license.  Also mentioned is the debate regarding levees and spillways. The interview was conducted as part of a local history project for the Plaquemine area."	http://lib.lsu.edu/services/oralhistory/abstracts/suehebert/McMurray_AL.pdf	"Master pilot on the Mississippi River and other rivers from the 1920s-1970s. Resident of Bayou Sorrel and Plaquemine, Louisiana, and an employee of Standard Oil, later Esso."	"McMurray, Aldridge Leroy, Sr.--Interviews.; River boats--Louisiana.; Levees--Louisiana.; Pilots and pilotage--Mississippi River."	1 sound cassette (1.5 hour); Transcript (74 p.)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Aldridge Leroy McMurray Sr. Oral History Interview, Mss. 4700.0043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewee and/or his heirs and Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Atchafalya Basin Oral History Project	"Ray W. Gilchrist Sr. oral history interview, 1979"	"Gilchrist, Ray W."	1979	"Hebert, Sue."	"Gilchrist discusses his family and early background, his father's community syrup mill near Bayou Sorrel and the community's involvement and socializing at syrup making time."	http://lib.lsu.edu/services/oralhistory/abstracts/suehebert/Gilchrist_Ray_T28.1.pdf	"Ray W. Gilchrist grew up in Iberville Parish, Louisiana, where his father operated a community syrup mill in the 1930s."	Sugarcane--Louisiana.; Syrup industry--Louisiana.; Iberville Parish (La.)--Social life and customs.	1 sound cassette (.5 hours); Index (1 p.)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Ray W. Gilchrist Sr. Oral History Interview, Mss. 4700.0024, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws. 	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
