Title	Alternative Title(s)	Composer	Arranger	Lyricist	Place of Publication	Publisher	Date of Publication	Physical Description	Performance Medium	Dedicatee	Genre	Series or Collection	Repository	Call no.	Rights	Type	File Name	Subject	Notes	Identifier	Source	Language	Coverage-Spatial	Coverage-Temporal	Cataloger	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Allegretto Polka		Tejado, Ignacio.			New Orleans	Junius Hart	1890	piano score (8 p.)	piano		polka	Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 19b	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/21	21	22.pdf	/p15140coll56/image/22.pdf
Adam and Eve	Adam y Eva		Martinez, Narciso.		New Orleans	Junius Hart	1888	piano score (7 p.)	piano		polka	Mexico	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, no. 14	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/22	22	23.pdf	/p15140coll56/image/23.pdf
Always Love Me	Aime-moi toujours	Martinez, Narciso.			New Orleans	Junius Hart	1888	piano score (7 p.)	piano		waltz	Compositions of Narciso Martinez	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 . M86 Box 3, No. 14C	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/23	23	24.pdf	/p15140coll56/image/24.pdf
Ausencia	Absence	Dàvila, J.			New Orleans	Junius Hart	1890	piano score (8 p.)	piano			Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 17	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/24	24	25.pdf	/p15140coll56/image/25.pdf
Las campanillitas	The Little Bells	Fuentes, Pedro M.			New Orleans	Junius Hart	1889	piano score (5 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/25	25	26.pdf	/p15140coll56/image/26.pdf
Carmen Waltz		Rosas, Juventino.			New Orleans	Junius Hart	1890	piano score (10 p.)	piano		waltz		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/26	26	27.pdf	/p15140coll56/image/27.pdf
El colibri	Humming Bird	Vanegas, A.			New Orleans	Junius Hart	1891	piano score (8 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/27	27	28.pdf	/p15140coll56/image/28.pdf
Cuba Libre Waltzes		Barrosse, Mrs. F. J.			New Orleans	Junius Hart	1896	piano score (5 p.)	Piano	Dedicated to Cuba's Cause	waltz		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 22	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/28	28	29.pdf	/p15140coll56/image/29.pdf
Centennial Varieties		Martinez, Narcisco.			New Orleans	Henri Wehrmann	1876	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1. M86 Box 5, No. 26	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/29	29	30.pdf	/p15140coll56/image/30.pdf
De Los Cielos	From the Skies	Bolado, Leonardo F.			New Orleans	Junius Hart	1891	piano score (8 p.)	Piano	Miss Helen Pitkin		Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 19d	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/30	30	31.pdf	/p15140coll56/image/31.pdf
