LISTEN TO AUDIO	Title	Interviewee	Date(s) of interview	Listen to Interview	Interviewer	Summary	Abstract	Biographical Information	Read Transcript	Subjects	Original Format	Digital Format	Call number/Tape number	Digital Collection	Repository	Repository Collection	Identifier	Digital reprouction information	Date Digitized	Cite as	Restrictions	Format	Cataloged date	Contact and Ordering Information	Cataloger	Item URL	LaCour Series URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Dupont_Joseph_T2037.mp3	Joseph Emile Dupont Jr. oral history interview. Session I (1 hour, 32 minutes), 2001 Feb. 14.	Dupont, Joseph Emile, 1922-2005	2001-02-14		Jennifer Abraham	Session I concerns Dupont's early life; his inspiration for joining the Marine Corps; boot camp in San Diego; and his passage through Hawaii, Guam, Midway Island, and Manila. He talks at length about being stationed in Shanghai in 1941. The interview ends	http://www.lib.lsu.edu/special/williams/abstracts/military/Dupont_Joseph_T2037-2042.abs.htm	Joseph Emile Dupont Jr. was born on February 2, 1922, in Plaquemine, La. He graduated from Plaquemine High School in 1940 and joined the U.S. Marine Corps. Dupont served in the Pacific Theater during World War II, fighting at the Battle of Corregidor where		United States. Marine Corps--History--World War, 1939-1945.; Louisiana. Dept. of Veterans' Affairs--Officials and employees.; Bilibid Prison (Manila, Philippines); Cabanatuan (Philippines : Concentration camp); Palawan Barracks (Concentration camp); World War, 1939-1945--Atrocities--Philippines--Personal narratives, American.;  World War, 1939-1945--Campaigns--Philippines--Personal narratives, American.; World War, 1939-1945--Philippines--Prisoners and prisons, Japanese--Personal narratives, American.; World War, 1939-1945--Veterans--Louisiana.;  Bataan, Battle of, Philippines, 1942--Personal narratives, American.; Palawan Massacre, Philippines, 1944.; Ex-prisoners of war--Rehabilitation--United States.; Depressions--1929--Louisiana.; Floods--Mississippi River Valley.; River life--Louisiana--Plaquemine.; Corregidor Island (Philippines)--History, Military--20th century.; Plaquemine (La.)--Social life and customs--20th century.; Manila (Philippines)--History--20th century.; Shanghai (China)--History--20th century.; China--History--1937-1945.			T2037	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Joseph Emile Dupont Jr. Oral History Interview, Mss. 4700.1409, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2009-12-03	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/0	0	1.pdf	/p120701coll22/image/1.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Dupont_Joseph_T2038.mp3	Joseph Emile Dupont Jr. oral history interview. Session II (1 hour, 30 minutes), 2001 April 26.	Dupont, Joseph Emile, 1922-2005	2001-04-26		Jennifer Abraham	Session II deals with the period between December 1941 and May 1942, during which time Dupont served on Corregidor in the Philippines. He describes details of life there while under siege by the Japanese, the fighting on Bataan and Corregidor, and his even	http://www.lib.lsu.edu/special/williams/abstracts/military/Dupont_Joseph_T2037-2042.abs.htm	Joseph Emile Dupont Jr. was born on February 2, 1922, in Plaquemine, La. He graduated from Plaquemine High School in 1940 and joined the U.S. Marine Corps. Dupont served in the Pacific Theater during World War II, fighting at the Battle of Corregidor where		United States. Marine Corps--History--World War, 1939-1945.; Louisiana. Dept. of Veterans' Affairs--Officials and employees.; Bilibid Prison (Manila, Philippines); Cabanatuan (Philippines : Concentration camp); Palawan Barracks (Concentration camp); World War, 1939-1945--Atrocities--Philippines--Personal narratives, American.;  World War, 1939-1945--Campaigns--Philippines--Personal narratives, American.; World War, 1939-1945--Philippines--Prisoners and prisons, Japanese--Personal narratives, American.; World War, 1939-1945--Veterans--Louisiana.;  Bataan, Battle of, Philippines, 1942--Personal narratives, American.; Palawan Massacre, Philippines, 1944.; Ex-prisoners of war--Rehabilitation--United States.; Depressions--1929--Louisiana.; Floods--Mississippi River Valley.; River life--Louisiana--Plaquemine.; Corregidor Island (Philippines)--History, Military--20th century.; Plaquemine (La.)--Social life and customs--20th century.; Manila (Philippines)--History--20th century.; Shanghai (China)--History--20th century.; China--History--1937-1945.			Mss. 4700.1409 / T2038	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Joseph Emile Dupont Jr. Oral History Interview, Mss. 4700.1409, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2009-12-03	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/1	1	2.pdf	/p120701coll22/image/2.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Dupont_Joseph_T2039.mp3	Joseph Emile Dupont Jr. oral history interview. Session III (1 hour, 27 minutes), 2001 May 11.	Dupont, Joseph Emile, 1922-2005	2001-05-11		Jennifer Abraham	In Sessions III & IV, Dupont describes conditions in several prison camps in the Philippines, including Bilibid Prison in Manila, the hospital at Bilibid Prison, and prison camps in Cabanatuan and Palawan Island. He recounts details of hard labor including building an airfield in the jungle on Palawan Island, lack of food and clothing, poor shelter, diseases, maltreatment by guards, and encounters with wild animals. He describes the Battle of Manila, his subsequent liberation from Bilibid Prison, readjusting to life after his freedom, and his homecoming to Louisiana. He also discusses the "hell ships," Japanese ships carrying American prisoners of war that were sunk unknowingly by American submarines, and the massacre of American POWs on Palawan Island on December 14, 1944.	http://www.lib.lsu.edu/special/williams/abstracts/military/Dupont_Joseph_T2037-2042.abs.htm	Joseph Emile Dupont Jr. was born on February 2, 1922, in Plaquemine, La. He graduated from Plaquemine High School in 1940 and joined the U.S. Marine Corps. Dupont served in the Pacific Theater during World War II, fighting at the Battle of Corregidor where		United States. Marine Corps--History--World War, 1939-1945.; Louisiana. Dept. of Veterans' Affairs--Officials and employees.; Bilibid Prison (Manila, Philippines); Cabanatuan (Philippines : Concentration camp); Palawan Barracks (Concentration camp); World War, 1939-1945--Atrocities--Philippines--Personal narratives, American.;  World War, 1939-1945--Campaigns--Philippines--Personal narratives, American.; World War, 1939-1945--Philippines--Prisoners and prisons, Japanese--Personal narratives, American.; World War, 1939-1945--Veterans--Louisiana.;  Bataan, Battle of, Philippines, 1942--Personal narratives, American.; Palawan Massacre, Philippines, 1944.; Ex-prisoners of war--Rehabilitation--United States.; Depressions--1929--Louisiana.; Floods--Mississippi River Valley.; River life--Louisiana--Plaquemine.; Corregidor Island (Philippines)--History, Military--20th century.; Plaquemine (La.)--Social life and customs--20th century.; Manila (Philippines)--History--20th century.; Shanghai (China)--History--20th century.; China--History--1937-1945.			Mss. 4700.1409 / T2039	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Joseph Emile Dupont Jr. Oral History Interview, Mss. 4700.1409, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2009-12-03	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/2	2	3.pdf	/p120701coll22/image/3.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Dupont_Joseph_T2042.mp3	Joseph Emile Dupont Jr. oral history interview. Session VI (1 hour, 30 minutes), 2002 Jan. 29.	Dupont, Joseph Emile, 1922-2005	2002-01-29		Jennifer Abraham	In Session VI, Dupont tells of his childhood in Plaquemine in the 1920s and 1930s, the Mississippi River flood of 1927, his family background, life along the river, the Depression, his schooling, activities of teenagers, and joining the Marines.	http://www.lib.lsu.edu/special/williams/abstracts/military/Dupont_Joseph_T2037-2042.abs.htm	Joseph Emile Dupont Jr. was born on February 2, 1922, in Plaquemine, La. He graduated from Plaquemine High School in 1940 and joined the U.S. Marine Corps. Dupont served in the Pacific Theater during World War II, fighting at the Battle of Corregidor where		United States. Marine Corps--History--World War, 1939-1945.; Louisiana. Dept. of Veterans' Affairs--Officials and employees.; Bilibid Prison (Manila, Philippines); Cabanatuan (Philippines : Concentration camp); Palawan Barracks (Concentration camp); World War, 1939-1945--Atrocities--Philippines--Personal narratives, American.;  World War, 1939-1945--Campaigns--Philippines--Personal narratives, American.; World War, 1939-1945--Philippines--Prisoners and prisons, Japanese--Personal narratives, American.; World War, 1939-1945--Veterans--Louisiana.;  Bataan, Battle of, Philippines, 1942--Personal narratives, American.; Palawan Massacre, Philippines, 1944.; Ex-prisoners of war--Rehabilitation--United States.; Depressions--1929--Louisiana.; Floods--Mississippi River Valley.; River life--Louisiana--Plaquemine.; Corregidor Island (Philippines)--History, Military--20th century.; Plaquemine (La.)--Social life and customs--20th century.; Manila (Philippines)--History--20th century.; Shanghai (China)--History--20th century.; China--History--1937-1945.			Mss. 4700.1409 / T2042	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Joseph Emile Dupont Jr. Oral History Interview, Mss. 4700.1409, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2009-12-03	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/3	3	4.pdf	/p120701coll22/image/4.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Dupont_Joseph_T2040.mp3	Joseph Emile Dupont Jr. oral history interview. Session IV (1 hour, 30 minutes), 2001 June 19.	Dupont, Joseph Emile, 1922-2005	2001-06-19		Jennifer Abraham	In Sessions III & IV, Dupont describes conditions in several prison camps in the Philippines, including Bilibid Prison in Manila, the hospital at Bilibid Prison, and prison camps in Cabanatuan and Palawan Island. He recounts details of hard labor including	http://www.lib.lsu.edu/special/williams/abstracts/military/Dupont_Joseph_T2037-2042.abs.htm	Joseph Emile Dupont Jr. was born on February 2, 1922, in Plaquemine, La. He graduated from Plaquemine High School in 1940 and joined the U.S. Marine Corps. Dupont served in the Pacific Theater during World War II, fighting at the Battle of Corregidor where		United States. Marine Corps--History--World War, 1939-1945.; Louisiana. Dept. of Veterans' Affairs--Officials and employees.; Bilibid Prison (Manila, Philippines); Cabanatuan (Philippines : Concentration camp); Palawan Barracks (Concentration camp); World War, 1939-1945--Atrocities--Philippines--Personal narratives, American.;  World War, 1939-1945--Campaigns--Philippines--Personal narratives, American.; World War, 1939-1945--Philippines--Prisoners and prisons, Japanese--Personal narratives, American.; World War, 1939-1945--Veterans--Louisiana.;  Bataan, Battle of, Philippines, 1942--Personal narratives, American.; Palawan Massacre, Philippines, 1944.; Ex-prisoners of war--Rehabilitation--United States.; Depressions--1929--Louisiana.; Floods--Mississippi River Valley.; River life--Louisiana--Plaquemine.; Corregidor Island (Philippines)--History, Military--20th century.; Plaquemine (La.)--Social life and customs--20th century.; Manila (Philippines)--History--20th century.; Shanghai (China)--History--20th century.; China--History--1937-1945.			Mss. 4700.1409 / T2040	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Joseph Emile Dupont Jr. Oral History Interview, Mss. 4700.1409, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2009-12-03	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/4	4	5.pdf	/p120701coll22/image/5.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Dupont_Joseph_T2041.mp3	Joseph Emile Dupont Jr. oral history interview. Session V (1 hour, 30 minutes), 2001 Sept. 5.	Dupont, Joseph Emile, 1922-2005	2001-09-05		Jennifer Abraham	Session V concerns the postwar rehabilitation of Dupont and his close friends, all of whom had war-related disabilities. He describes his homecoming, meeting and marrying his wife, creating a life as a visually impaired veteran, and his work for the Department of Veterans Affairs.	http://www.lib.lsu.edu/special/williams/abstracts/military/Dupont_Joseph_T2037-2042.abs.htm	Joseph Emile Dupont Jr. was born on February 2, 1922, in Plaquemine, La. He graduated from Plaquemine High School in 1940 and joined the U.S. Marine Corps. Dupont served in the Pacific Theater during World War II, fighting at the Battle of Corregidor where		United States. Marine Corps--History--World War, 1939-1945.; Louisiana. Dept. of Veterans' Affairs--Officials and employees.; Bilibid Prison (Manila, Philippines); Cabanatuan (Philippines : Concentration camp); Palawan Barracks (Concentration camp); World War, 1939-1945--Atrocities--Philippines--Personal narratives, American.;  World War, 1939-1945--Campaigns--Philippines--Personal narratives, American.; World War, 1939-1945--Philippines--Prisoners and prisons, Japanese--Personal narratives, American.; World War, 1939-1945--Veterans--Louisiana.;  Bataan, Battle of, Philippines, 1942--Personal narratives, American.; Palawan Massacre, Philippines, 1944.; Ex-prisoners of war--Rehabilitation--United States.; Depressions--1929--Louisiana.; Floods--Mississippi River Valley.; River life--Louisiana--Plaquemine.; Corregidor Island (Philippines)--History, Military--20th century.; Plaquemine (La.)--Social life and customs--20th century.; Manila (Philippines)--History--20th century.; Shanghai (China)--History--20th century.; China--History--1937-1945.			Mss. 4700.1409 / T2041	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Joseph Emile Dupont Jr. Oral History Interview, Mss. 4700.1409, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2009-12-03	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/5	5	6.pdf	/p120701coll22/image/6.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p120701coll22/Gueymard_Adolphe_T3444.mp3	Adolphe Gueymard oral history interview, 2005.	Adolphe Gueymard	April 29, 2005		Ann Marie Marmande	Adolphe Gueymard discusses his family, his attendance and military training at Louisiana State University, and his training after being called to active duty. Gueymard described especially his service in Europe during the war at Normandy, France; Boekel, Holland; Bastogne, Belgium; and Berchtesgaden, Germany.	http://www.lib.lsu.edu/special/williams/abstracts/military/gueymard.adolphe.1742.htm	Adolphe Gueymard was born in Carville, La., and attended Louisiana State University between 1930 and 1935. He was commissioned a second lieutenant in the Army Reserve, was called to active duty in 1942, and served in the 101st Airborne Division in Europe during World War II.		Gueymard, Adolphe, 1913- --Interviews;  Louisiana State University and Agricultural and Mechanical College—Students;  Military education--Louisiana--Baton Rouge;  World War, 1939-1945--Europe--Personal narratives, American;   World War, 1939-1945--Campaigns--France--Normandy--Personal narratives, American;   Ardennes, Battle of the, 1944-1945--Personal narratives, American.			T3444	T. Harry Williams Center for Oral History Military Series	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Analog audio files converted to wav and MP3 files using Sound Forge 9 software.		Adolphe Gueymard Oral History Interview, Mss. 4700.1742, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	PDF transcription and MP3 audio file.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.		http://www.louisianadigitallibrary.org//cdm4/index_p120701coll22.php?CISOROOT=/p120701coll22			2011-05-11	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/6	6	7.pdf	/p120701coll22/image/7.pdf
	AmmonRichardJrT1661a_Transcription																														2014-08-07	2014-08-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/7	7	8.pdf	/p120701coll22/image/8.pdf
	AmmonRichardJrT1661b_Audio																														2014-08-07	2014-08-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/8	8	9.mp3	/p120701coll22/image/9.mp3
	Richard E. Ammon Jr. oral history interview, 1999.	Ammon, Richard E., Jr.	1999	Click on Audio Link on right to listen.	Laura Pattillo	Ammon discusses his 20 years of service with the U.S. Navy on twelve different ships. He talks at length about his time on the U.S.S. Kidd, the U.S.S. Bache, and the U.S.S. McCaffery. Ammon describes the poor condition of the U.S.S. Bache, the challenge of repairing it, its sinking while anchored off Rhodes in 1968, and the work required to salvage it. He also describes the relations among sailors aboard the U.S.S. McCaffery during the Vietnam War.	http://lib.lsu.edu/oralhistory/abstracts/military/Ammon_Richard_T1661.abs.pdf	Richard E. Ammon Jr. was born in Richmond, Ind. He joined the U.S. Navy in January 1955 after graduating from high school. Ammon spent the next 20 years serving on a dozen Navy ships, sailing around the world several times over. One of his longest assignments was with the U.S.S. Kidd from 1959 to 1963. He retired in December 1974 and was residing in Winter Park, Fla., at the time of this interview.		Kidd, Isaac C. (Isaac Campbell), 1919-1999.; United States. Navy--Sea life.; Kidd (Destroyer); Bache (Destroyer); McCaffery (Destroyer); Destroyers (Warships)--United States--Maintenance and repair.; Port cities--Mediterranean Region.; Salvage--Greece--Rhodes.; Vietnam War, 1961-1975--Naval operations, American.	1 sound cassette (1 hour, 14 minutes); Transcript (48 leaves)	MP3; PDF	Mss. 4700.1135.		LSU Libraries T. Harry Williams Center for Oral History.					Richard E. Ammon Jr. Oral History Interview, Mss. 4700.1135, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.					See 'Reference URL' link.					2014-08-07	2014-08-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll22/id/9	9	10.cpd	/p120701coll22/image/10.cpd
