LISTEN TO AUDIO	Title	Date(s) of interview	Interviewee	Interviewer	Summary	Abstract	Biographical Information	Subject(s)	Original Format	Digital Collection	Call number/Tape number	Type	Digital Format	Repository	Repository Collection	Digital reproduction information	Cite as	Restrictions	Contact and Ordering Information	Collection URL	Object File Name	Item URL	Oral History collections home page	Language	Identifier	Digitized Date	Cataloger	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll14/Wright_William_T1737.mp3	William Wright Jr. oral history interview, 1987 July 21	1987-07-21	Wright, William	Huey, Gary, 1946-	Wright discusses Gillis Long's gubernatorial and Congressional campaigns, numerous Louisiana politicians of the time, civil rights as a political issue, Long's political talents and methods, and issues within the national Democratic Party.	http://www.lib.lsu.edu/special/williams/abstracts/gillis/wright.htm	William Wright Jr. was Gillis Long's cousin. Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985. He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	Long, Gillis William, 1923-1985.; United States. Congress. House--Elections.;  Democratic Party (U.S.); African Americans--Civil rights--Louisiana.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century.;					PDF transcription and MP3 audio file.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Gillis Long oral history series.	Analog audio files converted to wav and MP3 files using Sound Forge 9 software.	William Wright Jr. Oral History Interview, Mss. 4700.1190, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cgi-bin/admin/editconf.exe?CISODB=%2FTHW						2010-10-23	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/0	0	1.pdf	/p15140coll14/image/1.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll14/Bordelon_Steve_T1709.mp3	Steve Bordelon oral history interview, 1986.	1986	Steve Bordelon	Huey, Gary, 1946-	Bordelon discusses Gillis Long's skills at political organization, his election to Congress in 1972, his health, his love of fishing, and his contributions to Louisiana.	http://www.lib.lsu.edu/special/williams/abstracts/gillis/bordelon.htm	Steve Bordelon was a Louisiana politician and friend of Gillis Long. Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985. He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	Fishing--Louisiana--Anecdotes.	1 sound cassette		Mss. 4700.1174		PDF transcription and MP3 audio file.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)			Steve Bordelon Oral History Interview, Mss. 4700.1174, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.										2010-11-18	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/1	1	2.pdf	/p15140coll14/image/2.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll14/Ticheli_Joe_T1717.mp3	Joe Ticheli oral history interview, 1986 August 14	1986-08-14	Ticheli, Joe	Huey, Gary, 1946-	Ticheli discusses Gillis Long's personality and political views; his relationships with Russell, Earl, and Speedy Long and other Louisiana politicians; the members of the Long family; Gillis Long's gubernatorial campaigns; Long's opinions of several presidents; and Ticheli's work on Long's Congressional staff.	http://www.lib.lsu.edu/special/williams/abstracts/gillis/ticheli.htm	Joe Ticheli was a staff assistant to Gillis Long from 1978 to 1985. He remained on the staff of Long's widow, Cathy, after Long's death. Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985. He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	Long, Gillis William, 1923-1985.; Long, Russell B.; Long, Earl Kemp, 1895-1960.; Long, Speedy O. (Speedy Oteria), 1928-2006.; Long family.; United States. Congress. House--Officials and employees.; Louisiana--Politics and government--1951-;					PDF transcription and MP3 audio file.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Gillis Long oral history series.	Analog audio files converted to wav and MP3 files using Sound Forge 9 software.	Joe Ticheli Oral History Interview, Mss. 4700.1178, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		LSU/p15140coll14TicheliJoeT1717.mp3	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cgi-bin/admin/editconf.exe?CISODB=%2FTHW						2011-04-19	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/2	2	3.pdf	/p15140coll14/image/3.pdf
	BreauxJohnT1753													Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)															2011-04-19	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/3	3	4.pdf	/p15140coll14/image/4.pdf
Open Audio Player http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll14/Bookman_Robert_T1736.mp3	Robert Bookman  oral history interview, 1986 August 12	August 12, 1986	Bookman, Robert	Huey, Gary, 1946-		http://www.lib.lsu.edu/special/williams/abstracts/gillis/bookman.htm		Long, Gillis William, 1923-1985.; Louisiana--Politics and government--1951-;						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Gillis Long oral history series.	Analog audio files converted to wav and MP3 files using Sound Forge 9 software.	Robert Bookman Oral History Interview, Mss. 4700.1189, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.				http://www.louisianadigitallibrary.org/cgi-bin/admin/editconf.exe?CISODB=%2FTHW						2011-04-19	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/4	4	5.pdf	/p15140coll14/image/5.pdf
	Photograph																												2014-08-18	2014-08-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/5	5	6.jp2	/p15140coll14/image/6.jp2
	Session 1 Transcription																												2014-08-15	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/6	6	7.pdf	/p15140coll14/image/7.pdf
	Session 1 Audio																												2014-08-15	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/7	7	8.mp3	/p15140coll14/image/8.mp3
	Session 2 Transcription																												2014-08-15	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/8	8	9.pdf	/p15140coll14/image/9.pdf
	Session 2 Audio																												2014-08-15	2014-08-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll14/id/9	9	10.mp3	/p15140coll14/image/10.mp3
