Title	Photographer	Compound	Date	Subjects	Notes	Digital Format	Repository	Collection Name	Collection Source	Original Format/Size	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Vicksburg (Steamboat)	Norman Studio	No	c. 1890	Vicksburg (Steamer)--Photographs	The camera stands on shore looking toward the steamship Vicksburg on the Mississippi River.	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	377804xt002a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/1	1	2.jpg	/LSU_TJP/image/2.jpg
Steamship Jno. A. Scudder fully laden with cotton bales moored just off the river bank.	Norman Studio	No	c. 1890	Jno. A. Scudder (Steamer)--Photographs	The camera stands on the river bank looking down toward the steamship. A few people sit on shore, a barge lies between the bank and the steamship.	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	377804xt003a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/2	2	3.jpg	/LSU_TJP/image/3.jpg
Interior view of an Anchor Line steamboat's salon set for a meal.	Norman Studio	No	c. 1890	Steamboats--Interiors--Photographs;Anchor Line (Steamboat line)--Photographs	The camera stands left of center at one end of the salon looking down the length of the space. The room is set for a meal, the tables are empty, and servers stand along the sides of the room looking at the camera.	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	377804xt004a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/3	3	4.jpg	/LSU_TJP/image/4.jpg
Interior view of an Anchor Line steamboat's salon set for a meal, view #1. This is a different boat than that in 377804xt004.	Norman Studio	No	c. 1890	Steamboats--Interiors--Photographs;Anchor Line (Steamboat line)--Photographs	The camera stands centered at one end of the salon looking down the length of the space. The room has a few tables set for a meal, the tables are empty, and servers stand along the sides of the room looking at the camera.	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	377804xt005a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/4	4	5.jpg	/LSU_TJP/image/5.jpg
Interior view of an Anchor Line steamboat's salon set for a meal, view #2. This is a different boat than that in 377804xt004.	Norman Studio	No	c. 1890	Steamboats--Interiors--Photographs;Anchor Line (Steamboat line)--Photographs	The camera stands right of center at one end of the salon looking down the length of the space. The room has a few tables set for a meal, the tables are empty, and servers stand along the sides of the room looking at the camera.	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	377804xt006a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/5	5	6.jpg	/LSU_TJP/image/6.jpg
Woman with cups, saucers, silverware, and chandelier crystals hanging on costume with cupids on her shoulders.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Advertisement Costume, Girl Stanton	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00" X 8.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402702a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/6	6	7.jpg	/LSU_TJP/image/7.jpg
Woman with heart-shaped breastplate and spectacle lenses hanging on costume holds a sign for F. T. Bessac.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Advertisement Costume, Girl Smith	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 7.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402701a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/7	7	8.jpg	/LSU_TJP/image/8.jpg
Woman with wafers and animal crackers on costume advertising Noonan's City Bakery.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Noonan's City Bakery Woman Farnham	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402703a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/8	8	9.jpg	/LSU_TJP/image/9.jpg
Woman with The Stowers Piano & Furniture Co. signs on dress.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Girl Stowers Piano & Furnit. Co	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402704a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/9	9	10.jpg	/LSU_TJP/image/10.jpg
Woman in conductor's attire holding a kerosene lantern stands near a sign for the New Orleans & Northwestern Rail Way.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: N.O & N.W. R.Y. Popkin?	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402705a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/10	10	11.jpg	/LSU_TJP/image/11.jpg
