Title	Photographer	Date	Physical Description	Notes	Type	Subjects	Coverage	Series	Sub-series	Digital Collection	Repository	Repository Collection Guide	Call Number/ Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Second New Orleans District, Corps of Engineers, U. S. Army asphalt mattress, Mississippi River, Plaquemine Front Revetment, 1939 October 27.	Barth, William, 1898-1982, photographer.	1939-10-27	Photograph : black and white.	Caption title. &lt;br&gt;&lt;br&gt;Mattress laid during December, 1937, with government plant and hired labor. "No.3114"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Section 49, Mile R-862.8 vicinity station 4998	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4001	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/0	0	1.jp2	/p16313coll58/image/1.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt mattress, Mississippi River, Carrolton Bend Revetment, 1939 October 30.	Barth, William, 1898-1982, photographer.	1939-10-30	Photograph : black and white.	Caption title. &lt;br&gt;&lt;br&gt;Mattress laid during October 1939, with Government Plant and hired labor.	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Mile L-966.5, view upstream from vicinity Station 6582,	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4002	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/1	1	2.jp2	/p16313coll58/image/2.jp2
Second New Orleans District, Corps of Engineers, U. S. Army upper end of Carrollton Bend asphalt revetment and bank paving, Mississippi River, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title. &lt;br&gt;&lt;br&gt;Work done 1939.	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Mile 964-L	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4003	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/2	2	3.jp2	/p16313coll58/image/3.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt mattress and upper bank paving, Avondale Bend, Mississippi River, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title.  &lt;br&gt;&lt;br&gt;Government plant and hired labor.  General view upstream of recently completed work.  &lt;br&gt;&lt;br&gt;"no.3270"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Mile 962-R.	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4004	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/3	3	4.jp2	/p16313coll58/image/4.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt revetment and upper bank paving at Avondale Bend, Mississippi River, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title. &lt;br&gt;&lt;br&gt;Work done 1935-1939. Government plant and hired labor. View upstream from Huey Long Bridge.  &lt;br&gt;&lt;br&gt;"no.3265"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Mile 962-R.	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4005	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/4	4	5.jp2	/p16313coll58/image/5.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt mattress and upper bank paving, Avondale Bend, Mississippi River, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title.&lt;br&gt;&lt;br&gt;  Government and hired labor.  View from top of bank to water's edge over pavement and mattress laid Nov. 1939. Pavement by hand. &lt;br&gt;&lt;br&gt; "no.3273"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Mile 962-R.	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4006	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/5	5	6.jp2	/p16313coll58/image/6.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt mattress and upper bank paving, Avondale Bend, Mississippi River, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title.&lt;br&gt;&lt;br&gt;  Government plant and hired labor. Upper end of 1939 mattress work before upper bank paving was accomplished.  Note protective cut-back and jutting point for warding off undermining current. &lt;br&gt;&lt;br&gt; "no. 3271"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.	Mile 962-R.	I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4007	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/6	6	7.jp2	/p16313coll58/image/7.jp2
Second New Orleans District, Corp of Engineers, U. S. Army, lower end of Avondale Bend asphalt revetment and upper bank paving, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title. &lt;br&gt;&lt;br&gt; Showing effects of wave action and current on unpaved bank.  This paving done 1935. Government plant and hired labor.&lt;br&gt;&lt;br&gt;  "no.3274"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.		I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4008	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/7	7	8.jp2	/p16313coll58/image/8.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt revetment and bank paving, New Orleans Harbor, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title.&lt;br&gt;&lt;br&gt;  Right bank. Below Gretna, La.  Work done 1936 and 1937.  View upstream toward old railroad transfer landing.&lt;br&gt;&lt;br&gt;  "no.3278"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.		I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4009	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/8	8	9.jp2	/p16313coll58/image/9.jp2
Second New Orleans District, Corps of Engineers, U. S. Army asphalt revetment and bank paving, New Orleans Harbor, 1939 December 2.	Barth, William, 1898-1982, photographer.	1939-12-02	Photograph : black and white.	Caption title.&lt;br&gt;&lt;br&gt;  Right bank. Below Gretna, La.  Work done 1936 and 1937.  View downstream toward old railroad transfer landing.&lt;br&gt;&lt;br&gt;  "no.3277"	Still Image	Levees--Mississippi River--Photographs.; Revetment--Mississippi River--Photographs.		I. Engineering and Levee Revetment documents, ca. 1925-1959	I. Photographs of levee work, ca. 1928-1945	William Barth Photographs of Mississippi River and Atchafalaya River operations	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/4421.pdf	E: 109-111 box 4	William Barth Papers, Mss. 4421, Louisiana and Lower Mississippi Valley Collections, LSU Libraries.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.   Mention the “Item number” or “Item URL” in your request.   (use for graphic  materials, manuscripts, and printed items)	JPEG2000	Digitized with an Epson Expression 11000XL.	EP4421b4010	See 'reference url' on the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll58	2014-03-26 / mcm		2014-07-03	2014-08-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll58/id/9	9	10.jp2	/p16313coll58/image/10.jp2
