LISTEN TO AUDIO	Title	Composer	Performers	Date of composition	Date of perfomance	Notes/Description	Subjects	Physical Description	Type	Digital Reproduction Information	Digital Collection	Repository	Repository Collection Guide	Call Number/Location	Cite as	Restrictions	Contact and Ordering Information	Acquisition	File name	Language	Format	Coverage-Spatial	Publisher	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-51_inaugural_recital-dowd_harpsichord-copy_11-20-1966-side_1.mp3	Sonata for harpsichord.	Thornton, William.	Milhalso, Andrew.	1966	1966-11-20 (November 20, 1966)	Sonata for Harpsichord was written for the Inaugural Recital of the Dowd Harpichord. This recording is of the premiere performance by Andrew Milhalso, harpsichord.  Contents: I. (begins at :17)--II. (begins at 2:51--III. (begins at 7:55).	Sonatas (Harpsichord); Trinity University (San Antonio, Tex.)	1 sound tape reel (12 min) : analog, 7.5 ips, mono.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/rr-51_inaugural_recital-dowd_harpsichord-copy_11-20-1966-side1.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/0	0	1.pdf	/p15140coll54/image/1.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-61_elegy_for_strings_and_trumpet.mp3	Elegy for trumpet and strings.	Thornton, William.	Winters Chamber Orchestra.; Winters, George Archer.; Roller, Jan David.	1992	1992-03-19 (March 19, 1992)	Elegy for Trumpet and Strings was completed from its orginal form for trumpet and piano.  It is in dedication to the memory of Halsey Stevens, Thornton's major professor and friend at the University of Southern California.  This performance takes place at Trinity University, Ruth Taylor Concert Hall by the Winters Chamber Orchestra, George Archer Winters, conductor, and Jan David Roller, trumpet.	Trumpet with string ensemble.; Solo instrument music.	1 sound cassette (11 min) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-61_elegy_for_strings_and_trumpet.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/1	1	2.pdf	/p15140coll54/image/2.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-65_the_grasshopper-1987_choral_1987_or_after.mp3	The grasshopper.	Thornton, William.	Trinity Chamber Singers.; Vancil, Gregory.	1987	1987-11-30 (November 30, 1987)	This work was first performed by the Trinity Chamber Singers, Gregory Vancil conducting.  The text is based on a poem written in 1656 by Abraham Cowley.	Choruses, Secular (Mixed voices)	1 sound cassette (5 min) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-65_the_grasshopper-1987_choral_1987_or_after.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/2	2	3.pdf	/p15140coll54/image/3.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-74_sonata_for_piano_1955_1976.mp3	Sonata for piano.	Thornton, William.	Lott, Allen.	1955	1976-08-27 (August 27, 1976)	This recording is first of this work in its entirety at the National Federation of Music Clubs, San Antonio; performed by Allen Lott, piano.  Contents: I (begins at :00)--II. (begins at 4:44)--III. (begins at 9:53).  Note: movements II and III are attacca meaning that there is very little pause between each movement.	Sonatas (Piano); Solo instrument music.	1 sound cassette (13 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-74_sonata_for_piano_1955_1976.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/3	3	4.pdf	/p15140coll54/image/4.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-75_woodwind_quintet_5-19-1991-sidea.mp3	Woodwind quintet.	Thornton, William.	King William Winds.	1991	1991-05-19 (May 19, 1991)	This recording features the King William Winds (flute, oboe, clarinet, horn, bassoon) at the McNay Museum, San Antonio. Contents: I. (begins at 15:15)--II. (begins at 22:52)--III. (begins at 28:13).	Wind quintets (Bassoon, clarinet, flute, horn, oboe); Chamber music.	1 sound cassette (37 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-75_woodwind_quintet_5-19-1991-sidea.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/4	4	5.pdf	/p15140coll54/image/5.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-60_aperite_mihi_portas_justitiae_for_choir_satb_1959.mp3	Aperite mihi portas justitiae.	Thornton, William.	Trinity University (San Antonio, Tex.). Choir.; Zetty, Claude.	1959	1966-04-06 (April 6, 1966)	Aperite Mihi Portas Justitae was first performed by the Trinity University Choir (soprano, alto, tenor, bass) with Ben Henson, conductor.  This recording features the Trinity University Choir with Cluade Zetty, conductor.  The performance is part of the first service held in the Margarite B. Parker Chapel.	Choruses, Sacred (Mixed voices), Unaccompanied.; Trinity University (San Antonio, Tex.)	1 sound cassette (6 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-60_aperite_mihi_portas_justitiae_for_choir_satb_1959.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/5	5	6.pdf	/p15140coll54/image/6.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-14_contrastes_mexicanos_3-22-1962.mp3	Contrastes mexicanos for 2 pianos.	Thornton, William.	McGee, Marvin; Milhalso, Andrew.	1959	1962-03-22 (March 22, 1962)	Contrastes Mexicanos for 2 Pianos was composed on a commission and summer stipend from Parsons College, Iowa.  This performance is at the Inter-American Symposium, University of Texas; Marvin McGee and Andrew Milhalso, pianos. Contents: I. La Plaza Garbaldi (begins at :00)--II. La Ninfa con Arco (begins at 2:55)--III. Los Taxis (begins at 6:38)--IV. Arbol de la Noche Triste (begins at 9:13)--V. Totonacapan (begins at 13:21).	Piano music (Pianos (2)); Parsons College (Fairfield, Iowa); Inter-American Symposium of Contemporary Music (1962 : Austin, Tex.)	1 sound tape reel (16 min.) : analog, 7.5 ips, stereo.	sound; text;	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/rr-14_contrastes_mexicanos_3-22-1962.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/6	6	7.pdf	/p15140coll54/image/7.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-56_sonata_for_cello_and_piano_7-31-1951.mp3	Sonata for violoncello and piano (1951 performance).	Thornton, William.	Zes, Mary.; Carter, Donald.	1950	1951-07-31 (July 31, 1951)	This recording is of the premiere performance at the University of Southern California by Mary Zes, violoncello, and Donald Carter, piano.	Sonatas (Violoncello and piano); Violoncello and piano music.	1 sound tape reel (17 min) : analog, 7.5 ips, mono.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/rr-56_sonata_for_cello_and_piano_7-31-1951.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/8	8	9.pdf	/p15140coll54/image/9.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/disc-90_sonatine_for_violin_and_piano_I_and_II_10-26-1945.mp3	Sonatina for violin and piano.	Thornton, William.	Ferraro, Louis.; Gunderson, Helen.	1944	1945-10-20 (October 20, 1945)	Sonatina for Violin and Piano was first performed by Louis Ferraro, violin, and Helen Gunderson, piano in Shreveport, Louisiana.  This piece won first prize in the student division composition contest, National Federation of Music Clubs.	Sonatas (Violin and piano); Violin and piano music.; Solo instrument music.	1 sound disc (8 min. 32 sec.) : analog, 78 rpm.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	disc-90_sonatine_for_violin_and_piano_I_and_II_10-26-1945.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/9	9	10.pdf	/p15140coll54/image/10.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-64_fanfare_for_band-1987_2-29-1992.mp3	Fanfare for band.	Thornton, William.	University of Texas at San Antonio. Wind Ensemble.; Rustowicz, Robert.	1987	1992-02-29 (February 29, 1992)	Fanfare for Band was commissioned by Trinity University with additional support from the Texas Composers Forum.  It was first performed by the Trinity University Wind Symphony under Eugene Carinci.  This recording takes place at the University of Texas San Antonio with the UTSA Band and Robert Rustowicz, conductor.	Marches (Band); Band music.; Trinity University (San Antonio, Tex.)	1 sound cassette (3 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-64_fanfare_for_band-1987_2-29-1992.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/10	10	11.pdf	/p15140coll54/image/11.pdf
