Title	Creator	Contributors	Date	Dates	Physical Description	Notes	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
1823 Plat of land belonging to John-Baptiste Aubert.			1823		Map.	Cadastral survey, east oriented.  Identifies property owners in the downtown area, bounded on the west by the Mississippi River. Scale: 30 perches or 3 arpents. Later note in blue pencil reads: '1 perche equal to 18 French feet.'	English	Image	Real property--Louisiana--Baton Rouge--Maps.; Aubert, J. B. (Jean Baptist)		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Z: 27 Box 13	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592raz27b13f01i001_1823 Plat of land belonging to John-Baptiste Aubert	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/27/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/0	0	1.jp2	/p16313coll57/image/1.jp2
1852 Survey of Magnolia Cemetery.	Waller, Henry, 1808-1854.	Waller, William G., 1813-1891.	1852		Map.	Cadastral survey. Magnolia Cemetery survey is the original plan of the cemetery, showing plots purchased from John Christian Buhler by the City of Baton Rouge in August, 1852.  Note from title block: 'Henry & William G. Waller, Surveyors & Civil Engineers. Baton Rouge La. Sept. 10th, 1852.'	English	Image	Magnolia Cemetery (Baton Rouge, La.)--Surveys.; Baton Rouge (La.)--Surveys.; Buhler, John Christian, 1789-1866.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Z: 27 Box 13	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592raz27b13f02i001_1852 Survey of Magnolia Cemetery	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/05/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/1	1	2.jp2	/p16313coll57/image/2.jp2
1867 Map of proposed military cemetery.	Evatt, C. B. (Clayton Bayly)		1867		Map; hand drawn.	Creator's handwritten note at bottom of map: 'Plat no.1. City Surveyor’s Office, Baton Rouge, Louisiana, January 25” 1867. At the request of C. H. Roberts, Asst. Quartermaster U.S.A. I have surveyed and taken notes of the present position of the Military Graveyard, and have laid off a proposed plan for the same to correspond with our City Cemetery, as shown on the above “Plat”. The red shows City or Magnolia Cemetery, blue proposed military cemetery, the yellow shows the scattered graves which can be moved in the cemetery. The marks this [hand drawing of a grave symbol] “ “ “ shows the present position of the graves on convention street across it, and out of the corporation[?] and scattered in every other direction. (Sgd.) Clayton B. Evatt, Surveyor & Civil Eng.”'	English	Image	Magnolia Cemetery (Baton Rouge, La.)--Maps.  Cemeteries--Louisiana--Baton Rouge--Maps. Soldiers' bodies, Disposition of--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Z: 27 Box 13	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592raz27b13f02i002_1867 Map of Proposed Military Cemetery	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	07/31/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/2	2	3.jp2	/p16313coll57/image/3.jp2
Adams Park, East Baton Rouge, La., 1909	Swart, Reinier, Sr., 1845-1917.		1909		Map.	Cadastral map of planned development of Adams Park. Oriented east, with north to the left.  Bounded on the east by the Yazoo and Mississippi Railroad tracks; to the west by the Mississippi River; to the north by McKinley Street; and on the south by the intersection of Alexander Hamilton and Vermont Streets.  Much of lettering faded from age, particularly street names. Some discoloration and damage from age and folding. Scale: 1:1200. Transcription from title block: ‘Adams Park, East Baton Rouge LA, Operated by the Bonelli-Adams Co. of New York & Boston.   Laid out by R. Swart C.E., December 1909. Scale 1”=100.’	English	Image	Real property--Louisiana--Baton Rouge--Surveys.; Real estate development--Louisiana--Baton Rouge.--Surveys; Bonelli-Adams Co. (Firm).;		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i15_Adams Park	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/19/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/3	3	4.jp2	/p16313coll57/image/4.jp2
Antonio Gras and Co., T. 7 S. R. 1 W., Greensburg Dist., La.			1805? - 1811?	1805?;  1806?;  1807?;  1808?;  1809?;  1810?;  1811?	Map; hand drawn and colored.	Undated cadastral map, showing properties belonging to Antonio Gras and Company, and adjacent peoperties. Laid out in 149 numbered plats with owners' names.  Also shows U.S. garrison grounds. Scale not given.	English	Image	Baton Rouge (La.)--Surveys.; Greensburg Land District (La.)--Surveys.; Real property--Louisiana--East Baton Rouge Parish--Maps.; Spanish Town (Baton Rouge, La.)--Maps.; Gras, Antonio, d. 1811.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i08_Antonio Gras and Co	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/16/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/4	4	5.jp2	/p16313coll57/image/5.jp2
Appointment certificate of Reinier [that is, Reiner] Swart, 1895.	Dickinson, C. H. (Charles H.)		1895		1 certificate.	Certificate from Charles H. Dickinson, Surveyor General of the United States, issued to Reiner Swart, appointing Swart Deputy Land Surveyor of the United States for the District of Louisiana. Swart's Christian name misspelled "Reinier" on certificate. Has red seal of the U.S. Surveyor General.	English	Image	Swart, R. (Reiner); Dickinson, Charles H.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 09	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f09i02_Reinier_Swart	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/5	5	6.jp2	/p16313coll57/image/6.jp2
Baton Rouge Fair and Racing Association grounds.	Swart, Reinier, Sr., 1845-1917.		1912? - 1917?	1912?;  1913?;  1914?;  1915?;  1916?;  1917?	Map	Cadastral map of Baton Rouge Fair and Racing Association grounds and adjacent properties. Undated. Bounded on the west by the Yazoo and Missississippi Valley Railroad line; to the east by the Fairgrounds; to the north by Arthur Street; and to the south by Roosevelt Street and the city drainage canal. Annotations in pencil. Handwritten note in several areas of map: 'Property of R. Swart, 708 East Blvd, 2-3382.' Scale not given.	English	Image	Baton Rouge (La.)--Buildings, structures, etc.; Baton Rouge (La.)--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i12_Baton Rouge Fair and Racing Association	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/24/2014		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/10	10	11.jp2	/p16313coll57/image/11.jp2
Baton Rouge Prospect, East Baton Rouge Parish, Louisiana.			1912? - 1917?	1912?;  1913?;  1914?;  1915?;  1916?;  1917?	Map	Blueprint of survey showing properties in the area of Louisiana State University, University Gardens subdivision, Ben Hur Plantation, University Acres subdivision, and Southdowns subdivision. Map shows names of property owners; and names and percentage interests in oil and gas deposits. Oriented north. Scale: 1:9600.	English	Image	Oil fields--Louisiana--East Baton Rouge Parish--Maps.; Petroleum industry and trade--Louisiana--East Baton Rouge Parish--Maps. Historic sites--Louisiana--East Baton Rouge Parish--Maps.; Blueprints--Louisiana.; Helis, William G., Sr., 1886-1950.; Danciger Oil & Refining Co.; Louisiana Crusader Oil Inc.; Kohlmann family.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i23_Baton Rouge Prospect	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/11	11	12.jp2	/p16313coll57/image/12.jp2
Ben Hur Farms, Baton Rouge, La., 1928.	Swart, Reinier, Jr., 1885-1967.		1928		Map.	Full title: 'Ben Hur Farms, formally Ben Hur Plantation, laid out for Louisiana Investment Co., Inc., Baton Roug[e], La., October 1928.'--Title block.  Bounded on the south by the Mississippi River. Oriented north. Scale 1:6,000.	English	Image	Real property--Louisiana--East Baton Rouge Parish--Maps.; Louisiana Investment Company, Inc.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i15_Ben_Hur_Farms	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/16	16	17.jp2	/p16313coll57/image/17.jp2
Ben Hur Plantation vicinity, Baton Rouge, La., 1926.	Swart, Reinier, Jr., 1885-1967.		1926		Map.	Map of the old Ben Hur Plantation and surrounding area, East Baton Rouge Parish, Louisiana. The plantation forms the southeast portion of the map; with the Mississippi River to the south and west; and the City of Baton Rouge to the north. Gives names of some neighborhoods; shows locations of some downtown Baton Rouge buildings.	English	Image	Plantations--Louisiana--East Baton Rouge Parish--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i17_Ben_Hur_Plantation_Vicinity	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/17	17	18.jp2	/p16313coll57/image/18.jp2
