Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	Repository Collection Guide	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
[Ellen J. Wright, D. P. Augustus Wright & Mary C. Wright]	No	Ellen J. Wright (afterwards Mrs. Oscar Cheney) D. P. Augustus Wright  & Mary C. Wright, all  children  of  Dr. J. D. Wright  & his wife Sarah R. Wright, at school in New Haven, CT. Home near Cheneyviille, La. [written in back of case behind image]	1855-1856	unknown	Daguerreotypes<br><br>Wright, David Paul Augustus.<br>Wright, Ellen J.<br>Wright, Mary C.<br>Portrait photography--Connecticut--New Haven<br>Wright, David Paul Augustus--Portrait photographs<br>Wright, Ellen J.--Portrait photographs<br>Wright, Mary C.--Portrait p	33620001	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/4 plate - 3-1/8" x 4-1/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/56	56	57.jpg	/wri-boy/image/57.jpg
[Thomas J. Boyd (1804-1899)]	No	Thomas J. Boyd (1804-1899)	unknown	unknown	Boyd, Thomas G. (1804 - 1899)--Portrait photographs<br>Daguerreotypes<br>Portrait photography	33620002	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/57	57	58.jpg	/wri-boy/image/58.jpg
[W. H. Foland]	No	W. H. Foland  who married Ann Judith Grimball	[ca.1850]	unknown	Daguerreotypes<br>Foland, W. H.--Portrait photographs<br>Portrait photography	33620003	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/58	58	59.jpg	/wri-boy/image/59.jpg
[Jane D. Wright's nieces]	No	One of Jane D. Wright nieces from Conn.	[ca.1850]	unknown	Daguerreotypes<br>Nieces--Portrait photographs<br>Portrait photography--New York--New York	33620004	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/59	59	60.jpg	/wri-boy/image/60.jpg
[Mary C. Wright & Ellen Wright]	No	Mary C. Wright and Ellen Wright  who later married Oscar Cheney.  Taken in New Haven Conn. about 1854 (at school).	[ca.1854]	unknown	Daguerreotypes<br>Portrait photography--Connecticut--New Haven<br>Wright, Ellen J.--Portrait photographs<br>Wright, Mary C.--Portrait photographs	33620005	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/60	60	61.jpg	/wri-boy/image/61.jpg
[Ester Gertrude Wright]	No	Ester Gertrude Wright [Ester Wright Boyd written on four-fold enclosure.]	[ca.1850]	unknown	Daguerreotypes<br>Portrait photography<br>Wright, Ester Gertrude--Portrait photographs	33620006	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/61	61	62.jpg	/wri-boy/image/62.jpg
[David Paul Augustus Wright]	No	David Paul Augustus Wright (1842-1857), son of Dr. & Mrs. Jesse D. Wright of Rapides Parish , LA. , when a student at a preparatory school for Yale University in New Haven, Conn. He and his sisters Mary & Ellen attended schools in New Haven, Conn. 1853-1856.	[1853-1856]	unknown	Daguerreotypes<br>Portrait photography--Connecticut--New Haven<br>Wright, David Paul Augustus--Portrait photographs	33620007	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/9 plate - 2" x 2-1/2"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/62	62	63.jpg	/wri-boy/image/63.jpg
[David Paul Augustus Wright]	No	[Inside back of case reads:] D.P.A. Wright Born 1842, La. Died 1857 at Frankfort, KY	[ca.1850]	unknown	Daguerreotypes<br>Portrait photography<br>Wright, David Paul Augustus--Portrait photographs	33620008	Wright- Boyd Family Papers	jpg	640 x 480	Daguerreotypes<br>1/9 plate - 2" x 2-1/2"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/63	63	64.jpg	/wri-boy/image/64.jpg
[Three unidentified girls]	No	Three unidentified girls	[ca.1850]	unknown	Ambrotypes<br>Girls--Portrait photographs<br>Portrait photography	33620009	Wright- Boyd Family Papers	jpg	640 x 480	Ambrotypes<br>1/2 plate - 4-1/2" x 5-1/2"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/64	64	65.jpg	/wri-boy/image/65.jpg
[Antoinette Pumphrey]	No	Antoinette Pumphrey. Dau[ghter of] Otto Pumphrey & Jane S. Grimball  (Pearce) Pumphrey married _____ Granstour of Franklin, LA	[ca.1850]	unknown	Ambrotypes<br>Portrait photography<br>Pumphrey, Antoinette--Photographs	33620010	Wright- Boyd Family Papers	jpg	640 x 480	Ambrotypes<br>1/4 plate - 3-1/8" x 4-1/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/65	65	66.jpg	/wri-boy/image/66.jpg
