Title	Series	Photographer	Date	Description of Original	Notes	Type	Subjects	Digital Collection	Repository	Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Digital Reproduction Information	Image ID (from Finding Aid)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
LSU campus oak alley, between 1887 and 1900.	LSU	Lytle, Andrew David, 1834-1917.	1890?	Photograph : albumen print	'This view of one of the LSU campus buildings taken down an oak alley was created ca. 1890' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 72.	Still image	Louisiana State University and Agricultural and Mechanical College--Photographs; Oak--Louisiana--Baton Rouge--Photographs; College campuses--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UARCHIVES AA:	LSU Photograph Collection, RG# A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	UA_A5000		2011-11-19	2014-04-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/38	38	39.jp2	/p15140coll12/image/39.jp2
LSU football team, 1900.	LSU	Lytle, Andrew David, 1834-1917.	1900	Photograph : resin coated paper print from copy negative	'The LSU football team celebrated a win over Tulane in this group portrait published in the first issue of LSU's yearbook, The Gumbo, 1900. Note the score written on the football' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 76.	Still image	Louisiana State University and Agricultural and Mechanical College--Football--Photographs; Football teams--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UARCHIVES AA:	LSU Photograph Collection, RG# A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	UA_A5000		2011-11-19	2014-04-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/39	39	40.jp2	/p15140coll12/image/40.jp2
LSU tennis team portrait.	Portraits	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print	'The LSU tennis team poses on the grass court of the parade grounds of the LSU Campus, ca. 1900' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 75.	Still image	Louisiana State University and Agricultural and Mechanical College--Tennis--Photographs; Tennis teams--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UARCHIVES AA:	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	UA_A5000		2011-11-19	2014-04-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/43	43	44.jp2	/p15140coll12/image/44.jp2
Studio portrait of unidentified seated woman.	Portraits	Lytle, Andrew David, 1834-1917.	1865?-1875?	Photograph : resin coated paper print		Still image	Women--Louisiana--Baton Rouge--Portraits.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn047		2011-11-19	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/80	80	81.jp2	/p15140coll12/image/81.jp2
Baton Rouge National Cemetery entrance, 19th Street between Main and Florida Streets.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1899?	Photograph : glass plate negative / polyester interpositive	'Following the Battle of Baton Rouge in August 1862, the Federal and Confederate dead were buried next to Magnolia Cemetery. In 1867, that ground became a National Cemetery. This image shows the entrance on Nineteenth Street between Florida and Convention Streets, ca. 1875.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 12.	Still image	Baton Rouge National Cemetery--Photographs; National cemeteries, American--Louisiana--Baton Rouge--Photographs; Sepulchral monuments--Louisiana--Photographs; Gates--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn037		2012-01-26	2014-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/115	115	116.jp2	/p15140coll12/image/116.jp2
Elks' Theater building, corner of Third and Florida Streets, showing the stage set for 'The Christian.'	Baton Rouge	Lytle, Andrew David, 1834-1917.	1900	Photograph : glass plate negative / polyester interpositive	'During the nineteenth and early twentieth centuries, before radio, motion pictures, and television, a community's social life involved a diverse array of events. Lytle often photographed these events, providing us a record of the richness of that life. What follows is a sampling of those Lytle Studio images. The Benevolent and Protective Order of Elks had the Elks' Theater building constructed in 1900. The three-story structure contained a theater, lodge hall, and office and retail space. During the theater's grand opening, November 17, 1900, the Elks staged Hall Craine's drama 'The Christian.' This image of the theater's drop curtain was published in 1901 in the 'Elks Souvenir of Baton Rouge.''   Mark E. Martin, in 'Andrew D. Lytle’s Baton Rouge: photographs 1863-1910,' (Baton Rouge, LSU Press, 2008), p. 51. See "Elks' Souvenir of Baton Rouge," page 18.	Still image	Painted theater curtains--Louisiana--Baton Rouge--Photographs; Elks' Theater (Baton Rouge, La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn063		2012-01-26	2014-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/121	121	122.jp2	/p15140coll12/image/122.jp2
Pelican Hook and Ladder Company No. 1 demonstrating their new ladder. (See Photograph #16.)	Firemen	Lytle, Andrew David, 1834-1917.	1910?	Photograph : resin coated paper print	'Demonstrating their new ladder, members of the Pelican Hook and Ladder Company pose for the camera at their station house, 213 Second Street, ca. 1910.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 63.	Still image	Pelican Hook and Ladder Company (Baton Rouge, La.)--Photographs; Fire fighters--Louisiana--Baton Rouge--Photographs; Fire departments--Equipment and supplies--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn068		2012-01-26	2014-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/131	131	132.jp2	/p15140coll12/image/132.jp2
LSU cadet band.	LSU	Lytle, Andrew David, 1834-1917.	1890?-1900?	Photograph : albumen print	'The LSU band sits for a group portrait with their instruments, ca. 1900. While brass instruments predominate there are also guitars, mandolins, bass and snare drums, and a clarinet in the mix.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 77.	Still image	Louisiana State University and Agricultural and Mechanical College--Bands--Photographs; Bands (Music)--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UARCHIVES AA:	LSU Photograph Collection, RG# A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	UA_A5000		2012-01-26	2014-04-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/147	147	148.jp2	/p15140coll12/image/148.jp2
LSU baseball team group portrait, 1900.	LSU	Lytle, Andrew David, 1834-1917.	1900	Photograph : albumen print	'The LSU baseball team sits for a group portrait published in the first issue of LSU's yearbook, The Gumbo, 1900.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 74.	Still image	Louisiana State University and Agricultural and Mechanical College--Baseball--Photographs; Baseball teams--Louisiana--Baton Rouge--Photographs; Baseball players--Louisiana--Baton Rouge--Portraits.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UARCHIVES AA:	LSU Photograph Collection, RG# A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	UA_A5000		2012-01-26	2014-04-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/148	148	149.jp2	/p15140coll12/image/149.jp2
LSU cadets of Prize Company in formation on old campus.	LSU	Lytle, Andrew David, 1834-1917.	1887	Photograph : albumen print	'The second Baton Rouge campus of Louisiana State University occupied the grounds of the U. S. Army garrison in 1886, having moved from the first Baton Rouge campus on the grounds of the Louisiana State Institute for the Deaf, Dumb, and Blind. The Lytle Studio created a number of photographs for the first LSU yearbook, The Gumbo, in 1900. The university was a military institution well into the twentieth century, with classes organized into companies along army models. This image of the Prize Company, 1887, indicates one such company that may have had the fewest demerits and best performance.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 69.	Still image	Louisiana State University and Agricultural and Mechanical College--Students--Photographs; Military cadets--Louisiana--Baton Rouge--Photographs; Prize Company (Baton Rouge, La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UARCHIVES AA:	LSU Photograph Collection, RG# A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	UA_A5000		2012-01-26	2014-04-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/149	149	150.jp2	/p15140coll12/image/150.jp2
