Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Hon. Charles Francis Adams.  Minister to England	No	none	unknown	Perine & Giles, Engravers	Adams, Charles Francis, 1807-1886--Pictorial works.; Diplomats--United States--19th century--Pictorial works.	03490002	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/0	0	1.jpg	/SartainEngravings/image/1.jpg
Coronation of Alexander II. Emperor of Russia.  September 7th 1856	No	none	unknown	Perine & Giles, Engravers	Russia--History--19th century--Pictorial works.; Alexander II, Emperor of Russia, 1818-1881--Pictorial works.; Kings and rulers--19th century--Pictorial works.	03490003	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/1	1	2.jpg	/SartainEngravings/image/2.jpg
Rev. Rufus Anderson, D. D.  Sec. A. B. C. F. M. 40 Years	No	none	unknown	Perine & Giles, Engravers	Clergy--United States--19th century--Pictorial works.; Anderson, Rufus, 1796-1880--Pictorial works.	03490004	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/2	2	3.jpg	/SartainEngravings/image/3.jpg
Albert Barnes	No	none	unknown	Geo. E. Perine, Engraver	Clergy--United States--19th century--Pictorial works.; Barnes, Albert, 1798-1870--Pictorial works..	03490005	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 5/7"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/3	3	4.jpg	/SartainEngravings/image/4.jpg
Count Bismark	No	none	unknown	Perine & Giles, Engravers	Politicians--Germany--19th century--Pictorial works.; Bismarck, Otto, Furst von, 1815-1898--Pictorial works.	03490006	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/4	4	5.jpg	/SartainEngravings/image/5.jpg
Hon. Luther Bradish	No	none	unknown	Geo. E. Perine, Engraver	Politicians--United States--19th century--Pictorial works.; Bradish, Luther, 1783-1863--Pictorial works.	03490007	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/5	5	6.jpg	/SartainEngravings/image/6.jpg
John Bright, M. P.	No	none	unknown	Geo. E. Perine, Engraver	Politicians--England--19th century--Pictorial works.; Bright, John, 1811-1889--Pictorial works.	03490008	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/6	6	7.jpg	/SartainEngravings/image/7.jpg
Lord Brougham	No	none	unknown	J. Sartain, Engraver	Politicians--England--19th century--Pictorial works.; Brougham, Henry, 1778-1868--Pictorial works.	03490009	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 3/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/7	7	8.jpg	/SartainEngravings/image/8.jpg
Yours very truly, T Carlyle	No	none	unknown	Sartain, Engraver	Historians--England--19th century--Pictorial works.; Carlyle, Thomas, 1795-1881--Pictorial works.	03490010	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/8	8	9.jpg	/SartainEngravings/image/9.jpg
Count Cavour.  President of the Council of Ministers of the King of Sardinia.	No	none	unknown	John Sartain, Engraver	Politicians--Italy--19th century--Pictorial works.; Cavour, Camillo Benso, conte di, 1810-1861--Pictorial works.	03490011	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/9	9	10.jpg	/SartainEngravings/image/10.jpg
