Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Repository Collection Guide	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Cabin on Sharkey Road near Alligator Bayou, April 1935		Singer Tract, Madison Parish, LA.	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cabins--Louisiana--Madison Parish--Photographs	4171001p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1868 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/0	0	1.jpg	/Tensas/image/1.jpg
Woods in flat near John's Bayou, April 1935		Singer Tract, Madison Parish, LA.	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171002p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1863 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/1	1	2.jpg	/Tensas/image/2.jpg
Cypress, John's Bayou, April 1935		Singer Tract, Madison Parish, LA.	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cypress--Photographs;Swamps--Photographs	4171003p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1878 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/2	2	3.jpg	/Tensas/image/3.jpg
Paul Kellogg and J. J. Kuhn when sound recording of ivory-billed woodpecker was being made, April 1935		Singer Tract, Madison Parish, LA.	April 1935	James T. Tanner	Kellogg, P.P. (Peter Paul)--Photographs;Kuhn, J.J.--Photographs;Tensas River National Wildlife Refuge (La.)--Photographs	4171004p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1865 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/3	3	4.jpg	/Tensas/image/4.jpg
Female ivory-billed woodpecker at nest in red maple, April 1935. Enlargement.		Singer Tract, Madison Parish, LA. [This is a digital enlargement of a section of 4171005p.]	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs	4171005de	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1999 ppi x 2560 ppi	Digital photographs<br>1251 ppi X 1602 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/4	4	5.jpg	/Tensas/image/5.jpg
Female ivory-billed woodpecker at nest in red maple, April 1935.		Singer Tract, Madison Parish, LA.	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs;Red maple--Photographs	4171005p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1878 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/5	5	6.jpg	/Tensas/image/6.jpg
Male ivory-billed woodpecker at nest in red maple, April 1935 (1). Enlargement.		Singer Tract, Madison Parish, LA. [This is a digital enlargement of a section of 4171006p.]	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs	4171006de	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1999 ppi x 2560 ppi	Digital photographs<br>1251 ppi X 1602 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/6	6	7.jpg	/Tensas/image/7.jpg
Male ivory-billed woodpecker at nest in red maple, April 1935 (1).		Singer Tract, Madison Parish, LA. [See also 4171002 for a slightly different view of this scene.]	April 1935	James T. Tanner	Red oak--Photographs;Ivory-billed woodpecker--Photographs;Tensas River National Wildlife Refuge (La.)--Photographs	4171006p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1870 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/7	7	8.jpg	/Tensas/image/8.jpg
Male ivory-billed woodpecker at nest in red maple, April 1935 (2). Enlargement.		Singer Tract, Madison Parish, LA. [This is a digital enlargement of a section of 4171007p.]	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs	4171007de	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1999 ppi x 2560 ppi	Digital photographs<br>1251 ppi X 1602 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/8	8	9.jpg	/Tensas/image/9.jpg
Male ivory-billed woodpecker at nest in red maple, April 1935 (2).		Singer Tract, Madison Parish, LA. [See also 4171003 for a slightly different view of this scene.]	April 1935	James T. Tanner	Red oak--Photographs;Ivory-billed woodpecker--Photographs;Tensas River National Wildlife Refuge (La.)--Photographs	4171007p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1853 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/9	9	10.jpg	/Tensas/image/10.jpg
